Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",360.09,366.5,359.25,365.87,1194835,365.87,,,,,1hr
"January 03, 2022 10:30 AM",365.76,367.73,365.03,366.11,577385,366.11,365.87,0.25,0.0,0.07,1hr
"January 03, 2022 11:30 AM",366.14,367.2,365.54,366.88,395913,366.88,366.11,0.77,0.0,0.21,1hr
"January 03, 2022 12:30 PM",366.91,370.91,366.8,370.89,500360,370.89,366.88,4.01,0.01,1.09,1hr
"January 03, 2022 01:30 PM",370.93,371.73,369.35,371.7,469590,371.7,370.89,0.82,0.0,0.22,1hr
"January 03, 2022 02:30 PM",371.65,372.32,370.74,371.39,520673,371.39,371.7,-0.31,-0.0,-0.08,1hr
"January 03, 2022 03:30 PM",371.47,371.87,370.12,370.93,545833,370.93,371.39,-0.46,-0.0,-0.12,1hr
"January 04, 2022 09:30 AM",374.19,382.4,371.64,377.08,1628802,377.08,370.93,6.15,0.02,1.66,1hr
"January 04, 2022 10:30 AM",377.19,379.09,373.49,375.7,787920,375.7,377.08,-1.38,-0.0,-0.37,1hr
"January 04, 2022 11:30 AM",375.62,377.97,374.39,375.58,746807,375.58,375.7,-0.12,-0.0,-0.03,1hr
"January 04, 2022 12:30 PM",375.62,376.29,374.04,375.91,466233,375.91,375.58,0.33,0.0,0.09,1hr
"January 04, 2022 01:30 PM",375.97,376.72,375.0,376.72,388889,376.72,375.91,0.81,0.0,0.22,1hr
"January 04, 2022 02:30 PM",376.64,377.52,376.34,377.06,522792,377.06,376.72,0.34,0.0,0.09,1hr
"January 04, 2022 03:30 PM",377.09,377.48,375.17,375.42,632037,375.42,377.06,-1.64,-0.0,-0.43,1hr
"January 05, 2022 09:30 AM",374.0,381.4,372.51,379.99,834438,379.99,375.42,4.57,0.01,1.22,1hr
"January 05, 2022 10:30 AM",379.89,382.5,377.89,379.42,795954,379.42,379.99,-0.57,-0.0,-0.15,1hr
"January 05, 2022 11:30 AM",379.37,381.0,377.77,380.77,411060,380.77,379.42,1.35,0.0,0.36,1hr
"January 05, 2022 12:30 PM",380.77,381.04,378.08,379.13,350416,379.13,380.77,-1.64,-0.0,-0.43,1hr
"January 05, 2022 01:30 PM",379.18,381.32,378.46,380.62,895266,380.62,379.13,1.49,0.0,0.39,1hr
"January 05, 2022 02:30 PM",380.58,380.72,373.75,376.07,883711,376.07,380.62,-4.55,-0.01,-1.2,1hr
"January 05, 2022 03:30 PM",376.08,376.82,373.79,373.91,870973,373.91,376.07,-2.16,-0.01,-0.57,1hr
"January 06, 2022 09:30 AM",368.69,374.21,366.5,369.19,1333433,369.19,373.91,-4.72,-0.01,-1.26,1hr
"January 06, 2022 10:30 AM",369.38,371.35,368.52,370.18,932161,370.18,369.19,0.99,0.0,0.27,1hr
"January 06, 2022 11:30 AM",370.21,371.1,368.83,370.09,520241,370.09,370.18,-0.09,-0.0,-0.02,1hr
"January 06, 2022 12:30 PM",370.0,370.5,368.86,369.32,402419,369.32,370.09,-0.77,-0.0,-0.21,1hr
"January 06, 2022 01:30 PM",369.28,370.25,368.55,369.7,270863,369.7,369.32,0.39,0.0,0.11,1hr
"January 06, 2022 02:30 PM",369.65,370.22,368.74,370.18,359240,370.18,369.7,0.48,0.0,0.13,1hr
"January 06, 2022 03:30 PM",370.14,370.35,368.58,369.99,470569,369.99,370.18,-0.2,-0.0,-0.05,1hr
"January 07, 2022 09:30 AM",366.39,369.14,364.11,367.11,873699,367.11,369.99,-2.88,-0.01,-0.78,1hr
"January 07, 2022 10:30 AM",366.97,368.62,365.95,367.11,611093,367.11,367.11,-0.01,-0.0,-0.0,1hr
"January 07, 2022 11:30 AM",367.07,371.06,366.82,370.74,494147,370.74,367.11,3.63,0.01,0.99,1hr
"January 07, 2022 12:30 PM",370.82,371.46,370.19,370.59,328628,370.59,370.74,-0.15,-0.0,-0.04,1hr
"January 07, 2022 01:30 PM",370.61,371.31,369.7,370.39,426478,370.39,370.59,-0.2,-0.0,-0.05,1hr
"January 07, 2022 02:30 PM",370.33,371.4,369.6,371.33,392644,371.33,370.39,0.93,0.0,0.25,1hr
"January 07, 2022 03:30 PM",371.27,371.79,369.51,369.75,539968,369.75,371.33,-1.58,-0.0,-0.43,1hr
"January 10, 2022 09:30 AM",370.91,370.91,349.76,350.46,1387585,350.46,369.75,-19.29,-0.05,-5.22,1hr
"January 10, 2022 10:30 AM",350.37,359.7,348.77,357.66,854517,357.66,350.46,7.2,0.02,2.05,1hr
"January 10, 2022 11:30 AM",357.82,361.26,356.82,360.0,537648,360.0,357.66,2.34,0.01,0.65,1hr
"January 10, 2022 12:30 PM",360.0,362.11,359.8,361.92,347071,361.92,360.0,1.92,0.01,0.53,1hr
"January 10, 2022 01:30 PM",361.93,364.25,361.38,363.69,686897,363.69,361.92,1.77,0.0,0.49,1hr
"January 10, 2022 02:30 PM",363.6,364.26,361.99,362.93,351695,362.93,363.69,-0.76,-0.0,-0.21,1hr
"January 10, 2022 03:30 PM",363.0,364.21,362.5,364.01,484500,364.01,362.93,1.08,0.0,0.3,1hr
"January 11, 2022 09:30 AM",363.53,364.3,356.09,359.52,1008133,359.52,364.01,-4.49,-0.01,-1.23,1hr
"January 11, 2022 10:30 AM",359.57,364.56,357.86,364.27,581945,364.27,359.52,4.75,0.01,1.32,1hr
"January 11, 2022 11:30 AM",364.26,365.84,362.88,363.75,490074,363.75,364.27,-0.52,-0.0,-0.14,1hr
