Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",333.62,335.5,333.56,335.27,89641,335.27,,,,,1min,0,340.32
"May 18, 2022 09:31 AM",335.4,336.71,335.38,336.47,14791,336.47,335.27,1.2,0.0,0.36,1min,1,340.31
"May 18, 2022 09:32 AM",335.98,336.52,335.04,335.61,16428,335.61,336.47,-0.85,-0.0,-0.25,1min,2,340.3
"May 18, 2022 09:33 AM",335.34,336.33,335.32,336.05,6378,336.05,335.61,0.44,0.0,0.13,1min,3,340.29
"May 18, 2022 09:34 AM",336.23,336.69,335.89,336.53,9077,336.53,336.05,0.48,0.0,0.14,1min,4,340.28
"May 18, 2022 09:35 AM",336.62,338.12,336.05,338.12,7079,338.12,336.53,1.59,0.0,0.47,1min,5,340.27
"May 18, 2022 09:36 AM",338.24,339.18,338.24,339.17,8624,339.17,338.12,1.05,0.0,0.31,1min,6,340.26
"May 18, 2022 09:37 AM",339.47,339.77,338.85,339.38,3897,339.38,339.17,0.21,0.0,0.06,1min,7,340.25
"May 18, 2022 09:38 AM",339.89,340.25,339.28,339.63,6468,339.63,339.38,0.25,0.0,0.07,1min,8,340.24
"May 18, 2022 09:39 AM",339.47,339.53,337.63,337.63,7911,337.63,339.63,-2.0,-0.01,-0.59,1min,9,340.23
"May 18, 2022 09:40 AM",337.97,338.73,337.89,338.58,7199,338.58,337.63,0.95,0.0,0.28,1min,10,340.22
"May 18, 2022 09:41 AM",338.96,338.96,338.06,338.07,8241,338.07,338.58,-0.51,-0.0,-0.15,1min,11,340.21
"May 18, 2022 09:42 AM",337.9,338.31,337.29,337.44,10492,337.44,338.07,-0.63,-0.0,-0.19,1min,12,340.2
"May 18, 2022 09:43 AM",337.4,337.43,336.77,337.43,9226,337.43,337.44,-0.01,-0.0,-0.0,1min,13,340.19
"May 18, 2022 09:44 AM",337.83,338.75,337.59,338.55,3737,338.55,337.43,1.12,0.0,0.33,1min,14,340.18
"May 18, 2022 09:45 AM",338.75,339.27,338.56,339.17,13900,339.17,338.55,0.62,0.0,0.18,1min,15,340.17
"May 18, 2022 09:46 AM",338.96,339.14,338.69,338.82,8205,338.82,339.17,-0.36,-0.0,-0.1,1min,16,340.16
"May 18, 2022 09:47 AM",338.86,339.55,338.86,339.55,6523,339.55,338.82,0.73,0.0,0.22,1min,17,340.15
"May 18, 2022 09:48 AM",339.43,339.79,339.15,339.15,8057,339.15,339.55,-0.4,-0.0,-0.12,1min,18,340.14
"May 18, 2022 09:49 AM",339.11,339.14,338.77,338.86,10230,338.86,339.15,-0.29,-0.0,-0.08,1min,19,340.13
"May 18, 2022 09:50 AM",339.06,339.39,338.62,338.92,13242,338.92,338.86,0.05,0.0,0.01,1min,20,340.12
"May 18, 2022 09:51 AM",338.8,339.5,338.71,339.28,8948,339.28,338.92,0.36,0.0,0.11,1min,21,340.11
"May 18, 2022 09:52 AM",339.09,340.2,338.84,340.09,10788,340.09,339.28,0.81,0.0,0.24,1min,22,340.1
"May 18, 2022 09:53 AM",340.01,340.33,339.59,339.97,7705,339.97,340.09,-0.12,-0.0,-0.04,1min,23,340.09
"May 18, 2022 09:54 AM",339.73,340.12,339.56,339.82,11469,339.82,339.97,-0.15,-0.0,-0.05,1min,24,340.08
