Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",356.81,364.67,356.07,363.87,2999300,363.87,,,,,1mo
"April 20, 2022",366.66,371.89,363.87,365.29,3377300,365.29,363.87,1.42,0.0,0.39,1mo
"April 21, 2022",369.48,375.22,363.46,364.44,3605300,364.44,365.29,-0.85,-0.0,-0.23,1mo
"April 22, 2022",360.5,362.1,350.61,351.18,2968800,351.18,364.44,-13.26,-0.04,-3.64,1mo
"April 25, 2022",349.28,355.06,347.15,354.6,3380400,354.6,351.18,3.42,0.01,0.97,1mo
"April 26, 2022",347.94,350.06,343.58,344.11,3116400,344.11,354.6,-10.49,-0.03,-2.96,1mo
"April 27, 2022",357.0,373.74,356.0,361.57,5702300,361.57,344.11,17.46,0.05,5.07,1mo
"April 28, 2022",369.13,381.97,368.79,378.83,6843300,378.83,361.57,17.26,0.05,4.77,1mo
"April 29, 2022",372.05,377.12,361.75,363.38,4740700,363.38,378.83,-15.45,-0.04,-4.08,1mo
"May 02, 2022",363.0,364.93,350.59,359.04,3903800,359.04,363.38,-4.34,-0.01,-1.19,1mo
"May 03, 2022",361.59,363.44,353.44,357.79,2686900,357.79,359.04,-1.25,-0.0,-0.35,1mo
"May 04, 2022",359.37,369.24,353.66,368.52,3346600,368.52,357.79,10.73,0.03,3.0,1mo
"May 05, 2022",362.1,367.77,349.03,353.37,3424800,353.37,368.52,-15.15,-0.04,-4.11,1mo
"May 06, 2022",346.25,351.26,340.78,347.12,3635200,347.12,353.37,-6.25,-0.02,-1.77,1mo
"May 09, 2022",341.0,342.39,324.89,327.99,5777400,327.99,347.12,-19.13,-0.06,-5.51,1mo
"May 10, 2022",332.31,333.68,323.05,325.33,5003500,325.33,327.99,-2.66,-0.01,-0.81,1mo
"May 11, 2022",325.48,331.0,318.55,325.87,4263900,325.87,325.33,0.54,0.0,0.17,1mo
"May 12, 2022",321.77,325.58,312.77,321.24,3891500,321.24,325.87,-4.63,-0.01,-1.42,1mo
"May 13, 2022",327.67,335.23,326.09,332.8,3536000,332.8,321.24,11.56,0.04,3.6,1mo
"May 16, 2022",328.54,333.55,325.03,329.73,2062300,329.73,332.8,-3.07,-0.01,-0.92,1mo
"May 17, 2022",340.11,341.18,332.53,338.86,2802300,338.86,329.73,9.13,0.03,2.77,1mo
"May 18, 2022",333.62,341.6,333.56,335.9,4520800,335.9,338.86,-2.96,-0.01,-0.87,1mo
