Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2006-05-22,4.03,4.67,4.02,4.49,498387000.0,4.17,,,,,1wk
2006-05-29,4.5,4.87,4.28,4.7,179497000.0,4.36,4.17,0.19,0.05,4.58,1wk
2006-06-05,4.7,5.06,4.55,4.78,159057000.0,4.43,4.36,0.07,0.02,1.68,1wk
2006-06-12,4.8,4.82,4.44,4.5,76013000.0,4.18,4.43,-0.26,-0.06,-5.78,1wk
2006-06-19,4.55,4.79,4.35,4.7,78014000.0,4.36,4.18,0.18,0.04,4.29,1wk
2006-06-26,4.7,4.81,4.64,4.8,67581000.0,4.45,4.36,0.1,0.02,2.24,1wk
2006-07-03,4.79,4.8,4.57,4.61,36772000.0,4.28,4.45,-0.17,-0.04,-3.92,1wk
2006-07-10,4.62,4.66,4.39,4.39,47017000.0,4.08,4.28,-0.2,-0.05,-4.71,1wk
2006-07-17,4.39,4.58,4.37,4.53,52120000.0,4.2,4.08,0.12,0.03,3.03,1wk
2006-07-24,4.55,4.78,4.5,4.63,32603000.0,4.3,4.2,0.09,0.02,2.25,1wk
2006-07-31,4.63,5.15,4.47,5.01,101283000.0,4.64,4.3,0.35,0.08,8.1,1wk
2006-08-07,5.05,5.45,5.03,5.37,53837000.0,4.98,4.64,0.34,0.07,7.25,1wk
2006-08-14,5.38,5.54,5.25,5.34,49770000.0,4.96,4.98,-0.02,-0.0,-0.43,1wk
2006-08-21,5.33,5.59,5.28,5.5,46123000.0,5.1,4.96,0.14,0.03,2.9,1wk
2006-08-28,5.49,5.75,5.48,5.66,40342000.0,5.25,5.1,0.14,0.03,2.82,1wk
2006-09-04,5.69,6.12,5.62,5.97,62037000.0,5.54,5.25,0.3,0.06,5.66,1wk
2006-09-11,5.97,6.52,5.96,6.5,78735000.0,6.03,5.54,0.48,0.09,8.74,1wk
2006-09-18,6.57,6.96,6.43,6.59,113332000.0,6.12,6.03,0.09,0.01,1.48,1wk
2006-09-25,6.53,7.05,6.22,7.03,128730000.0,6.53,6.12,0.41,0.07,6.7,1wk
2006-10-02,7.03,7.59,6.84,7.51,108971000.0,6.97,6.53,0.45,0.07,6.82,1wk
2006-10-05,,,,,,,6.97,,,,1wk
2006-10-09,7.19,7.32,6.83,7.01,125769000.0,6.51,,,,,1wk
2006-10-16,7.0,7.29,6.93,7.12,45907000.0,6.62,6.51,0.1,0.02,1.61,1wk
2006-10-23,7.14,7.4,6.9,7.26,75143000.0,6.75,6.62,0.13,0.02,1.99,1wk
2006-10-30,7.26,8.98,7.18,8.95,299696000.0,8.32,6.75,1.57,0.23,23.22,1wk
2006-11-06,9.0,9.71,8.78,8.92,324308000.0,8.29,8.32,-0.03,-0.0,-0.35,1wk
