Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",333.62,340.33,333.56,338.83,348465,338.83,,,,,30min
"May 18, 2022 10:00 AM",338.84,340.56,338.28,338.91,235832,338.91,338.83,0.08,0.0,0.02,30min
"May 18, 2022 10:30 AM",338.69,341.6,338.52,341.39,292855,341.39,338.91,2.48,0.01,0.73,30min
"May 18, 2022 11:00 AM",341.19,341.2,338.3,338.5,232794,338.5,341.39,-2.89,-0.01,-0.85,30min
"May 18, 2022 11:30 AM",338.72,340.53,338.09,339.29,241803,339.29,338.5,0.79,0.0,0.23,30min
"May 18, 2022 12:00 PM",339.36,340.56,337.63,338.11,271243,338.11,339.29,-1.17,-0.0,-0.34,30min
"May 18, 2022 12:30 PM",338.11,340.39,337.85,340.0,262791,340.0,338.11,1.89,0.01,0.56,30min
"May 18, 2022 01:00 PM",340.05,340.12,337.83,337.88,275026,337.88,340.0,-2.12,-0.01,-0.62,30min
"May 18, 2022 01:30 PM",337.88,339.02,335.6,335.75,265133,335.75,337.88,-2.13,-0.01,-0.63,30min
"May 18, 2022 02:00 PM",335.85,337.64,335.53,337.58,301403,337.58,335.75,1.83,0.01,0.54,30min
"May 18, 2022 02:30 PM",337.47,337.85,336.34,336.64,233775,336.64,337.58,-0.93,-0.0,-0.28,30min
"May 18, 2022 03:00 PM",336.62,337.38,335.25,335.38,225766,335.38,336.64,-1.26,-0.0,-0.37,30min
"May 18, 2022 03:30 PM",335.27,337.09,334.79,336.24,709937,336.24,335.38,0.86,0.0,0.26,30min
"May 18, 2022 04:00 PM",335.9,335.9,335.9,335.9,0,335.9,336.24,-0.34,-0.0,-0.1,30min
