Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1966-07-05,0.0,0.27,0.27,0.27,388800,0.12,,,,,1d
1966-07-06,0.0,0.28,0.27,0.28,692550,0.13,0.12,0.01,0.05,5.34,1d
1966-07-07,0.0,0.29,0.27,0.27,1858950,0.12,0.13,-0.0,-0.04,-3.62,1d
1966-07-08,0.0,0.28,0.27,0.28,1239300,0.13,0.12,0.0,0.01,1.13,1d
1966-07-11,0.0,0.28,0.27,0.28,656100,0.13,0.13,-0.0,-0.0,-0.37,1d
1966-07-12,0.0,0.27,0.27,0.27,303750,0.12,0.13,-0.0,-0.01,-1.49,1d
1966-07-13,0.0,0.27,0.27,0.27,291600,0.12,0.12,-0.0,-0.0,-0.38,1d
1966-07-14,0.0,0.27,0.27,0.27,328050,0.12,0.12,-0.0,-0.01,-1.14,1d
1966-07-15,0.0,0.27,0.26,0.26,376650,0.12,0.12,-0.0,-0.02,-1.54,1d
1966-07-18,0.0,0.27,0.26,0.26,607500,0.12,0.12,0.0,0.0,0.0,1d
1966-07-19,0.0,0.26,0.26,0.26,413100,0.12,0.12,-0.0,-0.02,-1.56,1d
1966-07-20,0.0,0.26,0.26,0.26,230850,0.12,0.12,-0.0,-0.01,-0.79,1d
1966-07-21,0.0,0.26,0.25,0.25,230850,0.11,0.12,-0.0,-0.03,-2.8,1d
1966-07-22,0.0,0.25,0.25,0.25,303750,0.11,0.11,0.0,0.0,0.0,1d
1966-07-25,0.0,0.25,0.24,0.24,510300,0.11,0.11,-0.01,-0.05,-4.94,1d
1966-07-26,0.0,0.24,0.23,0.23,328050,0.11,0.11,-0.0,-0.01,-1.3,1d
1966-07-27,0.0,0.24,0.24,0.24,157950,0.11,0.11,0.0,0.01,1.32,1d
1966-07-28,0.0,0.24,0.24,0.24,97200,0.11,0.11,0.0,0.01,1.3,1d
1966-07-29,0.0,0.24,0.24,0.24,157950,0.11,0.11,0.0,0.01,0.85,1d
1966-08-01,0.0,0.24,0.24,0.24,182250,0.11,0.11,-0.0,-0.03,-2.97,1d
1966-08-02,0.0,0.24,0.23,0.24,85050,0.11,0.11,0.0,0.0,0.44,1d
1966-08-03,0.0,0.24,0.23,0.23,267300,0.11,0.11,-0.0,-0.02,-1.74,1d
1966-08-04,0.0,0.24,0.23,0.24,60750,0.11,0.11,0.0,0.01,1.33,1d
1966-08-05,0.0,0.25,0.24,0.24,157950,0.11,0.11,0.0,0.04,3.93,1d
1966-08-08,0.0,0.24,0.24,0.24,48600,0.11,0.11,-0.0,-0.01,-1.26,1d
1966-08-09,0.0,0.24,0.24,0.24,133650,0.11,0.11,0.0,0.0,0.43,1d
1966-08-10,0.0,0.24,0.24,0.24,170100,0.11,0.11,0.0,0.0,0.0,1d
1966-08-11,0.0,0.24,0.24,0.24,133650,0.11,0.11,-0.0,-0.01,-0.85,1d
1966-08-12,0.0,0.24,0.24,0.24,206550,0.11,0.11,-0.0,-0.01,-1.28,1d
1966-08-15,0.0,0.24,0.24,0.24,741150,0.11,0.11,0.0,0.01,1.3,1d
1966-08-16,0.0,0.24,0.23,0.23,668250,0.11,0.11,-0.0,-0.03,-2.56,1d
1966-08-17,0.0,0.24,0.22,0.22,473850,0.1,0.11,-0.0,-0.04,-4.39,1d
1966-08-18,0.0,0.22,0.22,0.22,109350,0.1,0.1,-0.0,-0.02,-2.29,1d
1966-08-19,0.0,0.22,0.21,0.21,315900,0.09,0.1,-0.01,-0.05,-5.16,1d
1966-08-22,0.0,0.21,0.2,0.2,680400,0.09,0.09,-0.0,-0.03,-3.47,1d
1966-08-23,0.0,0.2,0.2,0.2,291600,0.09,0.09,0.0,0.02,1.54,1d
1966-08-24,0.0,0.2,0.2,0.2,243000,0.09,0.09,-0.0,-0.01,-0.51,1d
1966-08-25,0.0,0.21,0.2,0.2,279450,0.09,0.09,0.0,0.01,0.51,1d
1966-08-26,0.0,0.2,0.2,0.2,413100,0.09,0.09,-0.0,-0.03,-2.53,1d
1966-08-29,0.0,0.19,0.18,0.18,400950,0.08,0.09,-0.01,-0.11,-10.88,1d
1966-08-30,0.0,0.19,0.17,0.18,789750,0.08,0.08,0.0,0.04,4.07,1d
1966-08-31,0.0,0.2,0.19,0.19,595350,0.09,0.08,0.0,0.05,5.03,1d
1966-09-01,0.0,0.2,0.19,0.2,303750,0.09,0.09,0.0,0.01,1.06,1d
1966-09-02,0.0,0.19,0.19,0.19,133650,0.09,0.09,-0.0,-0.01,-1.05,1d
1966-09-06,0.0,0.2,0.19,0.19,157950,0.09,0.09,-0.0,-0.01,-1.06,1d
1966-09-07,0.0,0.19,0.18,0.19,243000,0.08,0.09,-0.0,-0.03,-3.23,1d
1966-09-08,0.0,0.18,0.17,0.17,376650,0.08,0.08,-0.0,-0.06,-5.56,1d
1966-09-09,0.0,0.19,0.18,0.18,206550,0.08,0.08,0.0,0.05,4.71,1d
1966-09-12,0.0,0.19,0.19,0.19,413100,0.09,0.08,0.0,0.04,4.49,1d
1966-09-13,0.0,0.2,0.19,0.2,267300,0.09,0.09,0.0,0.02,2.15,1d
1966-09-14,0.0,0.2,0.19,0.2,243000,0.09,0.09,0.0,0.01,1.05,1d
1966-09-15,0.0,0.2,0.19,0.19,145800,0.09,0.09,-0.0,-0.04,-3.65,1d
1966-09-16,0.0,0.19,0.19,0.19,145800,0.09,0.09,-0.0,-0.01,-0.54,1d
1966-09-19,0.0,0.2,0.19,0.19,255150,0.09,0.09,0.0,0.0,0.0,1d
1966-09-20,0.0,0.19,0.19,0.19,72900,0.09,0.09,0.0,0.0,0.0,1d
1966-09-21,0.0,0.19,0.17,0.18,182250,0.08,0.09,-0.01,-0.07,-6.52,1d
1966-09-22,0.0,0.18,0.17,0.18,121500,0.08,0.08,0.0,0.01,1.16,1d
1966-09-23,0.0,0.18,0.18,0.18,230850,0.08,0.08,0.0,0.02,2.3,1d
1966-09-26,0.0,0.19,0.18,0.19,157950,0.08,0.08,0.0,0.02,1.69,1d
1966-09-27,0.0,0.19,0.17,0.17,230850,0.08,0.08,-0.01,-0.07,-6.63,1d
1966-09-28,0.0,0.18,0.17,0.18,206550,0.08,0.08,0.0,0.02,2.37,1d
1966-09-29,0.0,0.18,0.17,0.17,109350,0.08,0.08,-0.0,-0.02,-2.31,1d
1966-09-30,0.0,0.17,0.17,0.17,182250,0.08,0.08,-0.0,-0.01,-0.59,1d
1966-10-03,0.0,0.17,0.17,0.17,546750,0.08,0.08,-0.0,-0.04,-4.17,1d
1966-10-04,0.0,0.16,0.16,0.16,522450,0.07,0.08,-0.0,-0.04,-4.35,1d
1966-10-05,0.0,0.16,0.16,0.16,194400,0.07,0.07,0.0,0.0,0.0,1d
1966-10-06,0.0,0.16,0.15,0.15,425250,0.07,0.07,-0.0,-0.03,-2.6,1d
1966-10-07,0.0,0.16,0.16,0.16,352350,0.07,0.07,0.0,0.03,2.67,1d
1966-10-10,0.0,0.16,0.16,0.16,789750,0.07,0.07,0.0,0.01,1.3,1d
1966-10-11,0.0,0.17,0.16,0.17,571050,0.08,0.07,0.0,0.06,6.41,1d
1966-10-12,0.0,0.18,0.17,0.18,230850,0.08,0.08,0.0,0.06,6.02,1d
1966-10-13,0.0,0.18,0.17,0.17,315900,0.08,0.08,-0.0,-0.03,-3.41,1d
1966-10-14,0.0,0.18,0.17,0.17,157950,0.08,0.08,0.0,0.0,0.0,1d
1966-10-17,0.0,0.18,0.17,0.18,121500,0.08,0.08,0.0,0.01,1.18,1d
1966-10-18,0.0,0.18,0.18,0.18,315900,0.08,0.08,0.0,0.02,2.33,1d
1966-10-19,0.0,0.18,0.18,0.18,376650,0.08,0.08,0.0,0.0,0.0,1d
1966-10-20,0.0,0.18,0.17,0.18,303750,0.08,0.08,0.0,0.0,0.0,1d
1966-10-21,0.0,0.18,0.18,0.18,157950,0.08,0.08,-0.0,-0.01,-1.14,1d
1966-10-24,0.0,0.18,0.18,0.18,206550,0.08,0.08,0.0,0.0,0.0,1d
1966-10-25,0.0,0.18,0.17,0.17,315900,0.08,0.08,-0.0,-0.02,-2.3,1d
1966-10-26,0.0,0.18,0.17,0.17,352350,0.08,0.08,-0.0,-0.01,-1.18,1d
1966-10-27,0.0,0.17,0.17,0.17,218700,0.08,0.08,-0.0,-0.03,-2.98,1d
1966-10-28,0.0,0.17,0.16,0.16,558900,0.07,0.08,-0.0,-0.02,-2.45,1d
1966-10-31,0.0,0.17,0.16,0.16,425250,0.07,0.07,0.0,0.01,0.63,1d
1966-11-01,0.0,0.17,0.16,0.16,388800,0.07,0.07,0.0,0.0,0.0,1d
1966-11-02,0.0,0.17,0.16,0.16,243000,0.07,0.07,-0.0,-0.01,-1.25,1d
1966-11-03,0.0,0.16,0.16,0.16,388800,0.07,0.07,-0.0,-0.03,-3.16,1d
1966-11-04,0.0,0.16,0.16,0.16,218700,0.07,0.07,0.0,0.03,3.27,1d
1966-11-07,0.0,0.16,0.16,0.16,243000,0.07,0.07,0.0,0.01,0.63,1d
1966-11-09,0.0,0.17,0.16,0.16,449550,0.07,0.07,-0.0,-0.01,-0.63,1d
1966-11-10,0.0,0.17,0.16,0.16,279450,0.07,0.07,0.0,0.01,1.27,1d
1966-11-11,0.0,0.17,0.16,0.17,461700,0.08,0.07,0.0,0.01,0.63,1d
1966-11-14,0.0,0.17,0.16,0.17,291600,0.08,0.08,0.0,0.01,0.62,1d
1966-11-15,0.0,0.18,0.17,0.18,789750,0.08,0.08,0.0,0.06,6.17,1d
1966-11-16,0.0,0.19,0.18,0.19,656100,0.09,0.08,0.01,0.08,8.14,1d
1966-11-17,0.0,0.2,0.19,0.19,425250,0.09,0.09,0.0,0.0,0.0,1d
1966-11-18,0.0,0.19,0.19,0.19,1069200,0.08,0.09,-0.0,-0.03,-2.69,1d
1966-11-21,0.0,0.19,0.18,0.19,789750,0.08,0.08,0.0,0.0,0.0,1d
1966-11-22,0.0,0.18,0.18,0.18,218700,0.08,0.08,-0.0,-0.03,-3.32,1d
1966-11-23,0.0,0.18,0.17,0.17,619650,0.08,0.08,-0.0,-0.03,-3.43,1d
1966-11-25,0.0,0.17,0.17,0.17,522450,0.08,0.08,-0.0,-0.01,-1.18,1d
1966-11-28,0.0,0.17,0.17,0.17,413100,0.08,0.08,-0.0,-0.02,-1.8,1d
1966-11-29,0.0,0.17,0.17,0.17,704700,0.08,0.08,-0.0,-0.02,-1.83,1d
1966-11-30,0.0,0.17,0.17,0.17,595350,0.08,0.08,0.0,0.01,1.24,1d
1966-12-01,0.0,0.19,0.17,0.18,874800,0.08,0.08,0.01,0.09,8.59,1d
1966-12-02,0.0,0.18,0.18,0.18,413100,0.08,0.08,-0.0,-0.01,-0.57,1d
1966-12-05,0.0,0.18,0.18,0.18,716850,0.08,0.08,0.0,0.0,0.0,1d
1966-12-06,0.0,0.19,0.18,0.18,279450,0.08,0.08,0.0,0.01,1.14,1d
1966-12-07,0.0,0.2,0.18,0.19,741150,0.09,0.08,0.0,0.04,3.93,1d
1966-12-08,0.0,0.2,0.19,0.2,449550,0.09,0.09,0.0,0.04,3.78,1d
1966-12-09,0.0,0.2,0.2,0.2,230850,0.09,0.09,-0.0,-0.01,-1.04,1d
1966-12-12,0.0,0.22,0.2,0.22,1773900,0.1,0.09,0.01,0.12,11.58,1d
1966-12-13,0.0,0.23,0.22,0.22,534600,0.1,0.1,0.0,0.01,1.41,1d
1966-12-14,0.0,0.23,0.23,0.23,1567350,0.1,0.1,0.0,0.03,2.79,1d
1966-12-15,0.0,0.24,0.23,0.23,814050,0.11,0.1,0.0,0.02,1.81,1d
1966-12-16,0.0,0.24,0.23,0.24,534600,0.11,0.11,0.0,0.03,3.11,1d
1966-12-19,0.0,0.25,0.23,0.25,972000,0.11,0.11,0.0,0.03,3.45,1d
1966-12-20,0.0,0.25,0.25,0.25,1129950,0.11,0.11,0.0,0.0,0.42,1d
1966-12-21,0.0,0.25,0.23,0.23,777600,0.11,0.11,-0.01,-0.06,-6.22,1d
1966-12-22,0.0,0.24,0.24,0.24,850500,0.11,0.11,0.0,0.04,3.54,1d
1966-12-23,0.0,0.25,0.24,0.24,741150,0.11,0.11,-0.0,-0.02,-2.14,1d
1966-12-27,0.0,0.23,0.22,0.22,1336500,0.1,0.11,-0.01,-0.06,-5.68,1d
1966-12-28,0.0,0.23,0.22,0.22,291600,0.1,0.1,-0.0,-0.0,-0.46,1d
1966-12-29,0.0,0.23,0.22,0.23,886950,0.1,0.1,0.0,0.04,3.72,1d
1966-12-30,0.0,0.24,0.23,0.23,425250,0.11,0.1,0.0,0.01,1.35,1d
1967-01-03,0.0,0.25,0.24,0.24,1798200,0.11,0.11,0.0,0.04,4.42,1d
1967-01-04,0.0,0.24,0.24,0.24,765450,0.11,0.11,0.0,0.0,0.0,1d
1967-01-05,0.0,0.25,0.24,0.24,668250,0.11,0.11,-0.0,-0.02,-1.69,1d
1967-01-06,0.0,0.24,0.24,0.24,376650,0.11,0.11,0.0,0.02,1.72,1d
1967-01-09,0.0,0.24,0.24,0.24,328050,0.11,0.11,0.0,0.0,0.0,1d
1967-01-10,0.0,0.25,0.24,0.25,595350,0.11,0.11,0.0,0.02,1.7,1d
1967-01-11,0.0,0.25,0.23,0.25,1020600,0.11,0.11,0.0,0.01,1.25,1d
1967-01-12,0.0,0.27,0.25,0.27,2976750,0.12,0.11,0.01,0.07,7.0,1d
1967-01-13,0.0,0.28,0.26,0.27,1858950,0.12,0.12,0.0,0.02,1.92,1d
1967-01-16,0.0,0.28,0.27,0.27,1640250,0.12,0.12,0.0,0.0,0.38,1d
1967-01-17,0.0,0.29,0.27,0.28,1883250,0.13,0.12,0.0,0.04,3.76,1d
