Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",239.46,240.08,236.52,236.52,208478,236.52,,,,,15min
"May 18, 2022 09:45 AM",236.5,236.76,234.41,234.91,183105,234.91,236.52,-1.61,-0.01,-0.68,15min
"May 18, 2022 10:00 AM",234.88,234.88,233.17,234.13,154675,234.13,234.91,-0.78,-0.0,-0.33,15min
"May 18, 2022 10:15 AM",234.02,234.65,233.3,233.36,131470,233.36,234.13,-0.77,-0.0,-0.33,15min
"May 18, 2022 10:30 AM",233.29,233.48,232.55,232.85,372728,232.85,233.36,-0.51,-0.0,-0.22,15min
"May 18, 2022 10:45 AM",232.82,233.2,232.27,232.96,144118,232.96,232.85,0.1,0.0,0.05,15min
"May 18, 2022 11:00 AM",232.98,233.08,232.7,233.05,77537,233.05,232.96,0.09,0.0,0.04,15min
"May 18, 2022 11:15 AM",233.07,233.59,232.81,233.4,111851,233.4,233.05,0.35,0.0,0.15,15min
"May 18, 2022 11:30 AM",233.61,234.59,233.35,234.36,74680,234.36,233.4,0.96,0.0,0.41,15min
"May 18, 2022 11:45 AM",234.26,234.28,233.28,233.82,61480,233.82,234.36,-0.54,-0.0,-0.23,15min
"May 18, 2022 12:00 PM",233.71,234.37,233.68,234.23,55873,234.23,233.82,0.41,0.0,0.18,15min
"May 18, 2022 12:15 PM",234.24,234.66,234.21,234.34,58037,234.34,234.23,0.11,0.0,0.05,15min
"May 18, 2022 12:30 PM",234.29,234.53,234.16,234.32,45428,234.32,234.34,-0.02,-0.0,-0.01,15min
"May 18, 2022 12:45 PM",234.36,234.69,234.26,234.57,51730,234.57,234.32,0.25,0.0,0.11,15min
"May 18, 2022 01:00 PM",234.57,234.57,233.75,233.82,57711,233.82,234.57,-0.75,-0.0,-0.32,15min
"May 18, 2022 01:15 PM",233.76,234.0,233.15,233.37,64317,233.37,233.82,-0.45,-0.0,-0.19,15min
"May 18, 2022 01:30 PM",233.37,233.69,232.99,233.12,56907,233.12,233.37,-0.25,-0.0,-0.11,15min
"May 18, 2022 01:45 PM",233.19,233.27,232.4,232.48,65875,232.48,233.12,-0.64,-0.0,-0.27,15min
"May 18, 2022 02:00 PM",232.45,232.77,232.26,232.43,59251,232.43,232.48,-0.05,-0.0,-0.02,15min
"May 18, 2022 02:15 PM",232.44,232.8,232.29,232.76,53140,232.76,232.43,0.33,0.0,0.14,15min
"May 18, 2022 02:30 PM",232.73,232.76,231.9,231.9,73097,231.9,232.76,-0.86,-0.0,-0.37,15min
"May 18, 2022 02:45 PM",231.91,232.01,231.58,231.62,53259,231.62,231.9,-0.28,-0.0,-0.12,15min
"May 18, 2022 03:00 PM",231.65,231.8,231.09,231.09,76121,231.09,231.62,-0.53,-0.0,-0.23,15min
"May 18, 2022 03:15 PM",231.03,231.37,230.64,230.71,190346,230.71,231.09,-0.38,-0.0,-0.16,15min
"May 18, 2022 03:30 PM",230.7,231.37,230.38,230.96,236435,230.96,230.71,0.25,0.0,0.11,15min
"May 18, 2022 03:45 PM",230.96,231.47,230.37,230.97,645048,230.97,230.96,0.01,0.0,0.0,15min
"May 18, 2022 04:00 PM",231.05,231.05,231.05,231.05,0,231.05,230.97,0.08,0.0,0.03,15min
