Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",250.04,255.96,250.04,255.4,2324500,255.4,,,,,1mo
"April 20, 2022",256.0,257.79,254.82,255.85,2278700,255.85,255.4,0.45,0.0,0.18,1mo
"April 21, 2022",257.65,259.61,254.88,255.25,2476900,255.25,255.85,-0.6,-0.0,-0.23,1mo
"April 22, 2022",255.0,255.0,249.94,250.17,2643600,250.17,255.25,-5.08,-0.02,-1.99,1mo
"April 25, 2022",249.45,253.13,247.93,252.88,2523000,252.88,250.17,2.71,0.01,1.08,1mo
"April 26, 2022",250.13,252.41,248.33,248.58,2948500,248.58,252.88,-4.3,-0.02,-1.7,1mo
"April 27, 2022",247.98,250.97,247.05,247.14,2706500,247.14,248.58,-1.44,-0.01,-0.58,1mo
"April 28, 2022",249.94,256.38,248.08,254.19,3547400,254.19,247.14,7.05,0.03,2.85,1mo
"April 29, 2022",254.28,254.85,248.8,249.16,3388000,249.16,254.19,-5.03,-0.02,-1.98,1mo
"May 02, 2022",250.86,251.55,242.26,246.64,3418700,246.64,249.16,-2.52,-0.01,-1.01,1mo
"May 03, 2022",247.39,247.84,242.28,245.87,2562000,245.87,246.64,-0.77,-0.0,-0.31,1mo
"May 04, 2022",246.16,254.78,246.16,254.32,3289300,254.32,245.87,8.45,0.03,3.44,1mo
"May 05, 2022",252.89,254.49,246.78,248.92,2925900,248.92,254.32,-5.4,-0.02,-2.12,1mo
"May 06, 2022",248.19,252.45,247.7,250.78,2964500,250.78,248.92,1.86,0.01,0.75,1mo
"May 09, 2022",247.0,249.9,246.79,247.49,2918900,247.49,250.78,-3.29,-0.01,-1.31,1mo
"May 10, 2022",248.99,250.88,244.93,245.68,3070800,245.68,247.49,-1.81,-0.01,-0.73,1mo
"May 11, 2022",245.27,246.79,243.21,244.43,2833200,244.43,245.68,-1.25,-0.01,-0.51,1mo
"May 12, 2022",245.32,246.38,241.12,244.19,2861000,244.19,244.43,-0.24,-0.0,-0.1,1mo
"May 13, 2022",247.15,247.18,242.28,245.04,3255200,245.04,244.19,0.85,0.0,0.35,1mo
"May 16, 2022",244.46,245.48,240.73,244.04,2147100,244.04,245.04,-1.0,-0.0,-0.41,1mo
"May 17, 2022",246.0,247.0,239.46,241.63,3204900,241.63,244.04,-2.41,-0.01,-0.99,1mo
"May 18, 2022",239.46,240.08,230.37,231.05,3945400,231.05,241.63,-10.58,-0.04,-4.38,1mo
