Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1966-07-04,0.0,0.29,0.27,0.28,4179600.0,0.11,,,,,1wk
1966-07-11,0.0,0.28,0.26,0.26,1956150.0,0.11,0.11,-0.01,-0.05,-4.83,1wk
1966-07-18,0.0,0.27,0.25,0.25,1786050.0,0.1,0.11,-0.01,-0.05,-5.08,1wk
1966-07-25,0.0,0.25,0.23,0.24,1251450.0,0.1,0.1,-0.0,-0.03,-2.88,1wk
1966-08-01,0.0,0.25,0.23,0.24,753300.0,0.1,0.1,0.0,0.01,0.85,1wk
1966-08-08,0.0,0.24,0.24,0.24,692550.0,0.1,0.1,-0.0,-0.03,-2.94,1wk
1966-08-15,0.0,0.24,0.21,0.21,2308500.0,0.08,0.1,-0.01,-0.13,-12.55,1wk
1966-08-22,0.0,0.21,0.2,0.2,1907550.0,0.08,0.08,-0.0,-0.04,-4.46,1wk
1966-08-29,0.0,0.2,0.17,0.19,2223450.0,0.08,0.08,-0.0,-0.03,-2.59,1wk
1966-09-05,0.0,0.2,0.17,0.18,984150.0,0.07,0.08,-0.0,-0.05,-5.32,1wk
1966-09-12,0.0,0.2,0.19,0.19,1215000.0,0.08,0.07,0.0,0.03,3.37,1wk
1966-09-19,0.0,0.2,0.17,0.18,862650.0,0.07,0.08,-0.0,-0.03,-3.26,1wk
1966-09-26,0.0,0.19,0.17,0.17,886950.0,0.07,0.07,-0.0,-0.06,-5.62,1wk
1966-10-03,0.0,0.17,0.15,0.16,2041200.0,0.06,0.07,-0.01,-0.08,-8.33,1wk
1966-10-10,0.0,0.18,0.16,0.17,2065500.0,0.07,0.06,0.01,0.1,10.39,1wk
1966-10-17,0.0,0.18,0.17,0.18,1275750.0,0.07,0.07,0.0,0.02,2.35,1wk
1966-10-24,0.0,0.18,0.16,0.16,1652400.0,0.07,0.07,-0.01,-0.09,-8.62,1wk
1966-10-31,0.0,0.17,0.16,0.16,1664550.0,0.07,0.07,-0.0,-0.01,-0.63,1wk
1966-11-07,0.0,0.17,0.16,0.17,1433700.0,0.07,0.07,0.0,0.02,1.9,1wk
1966-11-14,0.0,0.2,0.16,0.19,3231900.0,0.08,0.07,0.01,0.12,12.42,1wk
1966-11-21,0.0,0.19,0.17,0.17,2150550.0,0.07,0.08,-0.01,-0.08,-7.73,1wk
1966-11-28,0.0,0.19,0.17,0.18,3001050.0,0.07,0.07,0.0,0.05,5.39,1wk
1966-12-05,0.0,0.2,0.18,0.2,2417850.0,0.08,0.07,0.01,0.08,7.95,1wk
1966-12-12,0.0,0.24,0.2,0.24,5224500.0,0.1,0.08,0.02,0.22,22.11,1wk
1966-12-19,0.0,0.25,0.23,0.24,4471200.0,0.1,0.1,-0.0,-0.01,-1.29,1wk
