Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-10,266.71,266.72,262.01,264.41,3122400,262.95,,,,,3mo,0,258.64
2022-01-11,263.49,263.95,260.32,262.12,3206200,260.67,262.95,-2.28,-0.01,-0.87,3mo,1,258.29
2022-01-12,263.37,263.95,260.28,260.92,3044000,259.48,260.67,-1.19,-0.0,-0.46,3mo,2,257.93
2022-01-13,261.41,263.85,260.59,261.41,2371300,259.96,259.48,0.49,0.0,0.19,3mo,3,257.58
2022-01-14,261.14,261.24,257.16,257.71,3460100,256.28,259.96,-3.68,-0.01,-1.42,3mo,4,257.23
2022-01-18,256.96,257.1,254.31,256.48,3076500,255.06,256.28,-1.22,-0.0,-0.48,3mo,5,256.88
2022-01-19,257.55,257.95,255.08,255.22,2304700,253.81,255.06,-1.25,-0.0,-0.49,3mo,6,256.52
2022-01-20,256.62,258.11,252.9,253.13,2602200,251.73,253.81,-2.08,-0.01,-0.82,3mo,7,256.17
2022-01-21,254.04,258.46,253.69,254.59,3738100,253.18,251.73,1.45,0.01,0.58,3mo,8,255.82
2022-01-24,252.38,253.92,247.78,253.61,5153100,252.21,253.18,-0.97,-0.0,-0.38,3mo,9,255.46
2022-01-25,250.83,252.53,247.07,250.68,3908600,249.29,252.21,-2.91,-0.01,-1.16,3mo,10,255.11
2022-01-26,253.0,254.21,247.86,249.85,3839000,248.47,249.29,-0.83,-0.0,-0.33,3mo,11,254.76
2022-01-27,249.6,252.46,245.25,248.74,5199000,247.36,248.47,-1.1,-0.0,-0.44,3mo,12,254.41
2022-01-28,250.0,256.35,247.16,256.09,3833200,254.67,247.36,7.31,0.03,2.95,3mo,13,254.05
2022-01-31,255.02,259.5,254.44,259.45,3174200,258.01,254.67,3.34,0.01,1.31,3mo,14,253.7
2022-02-01,259.75,259.9,255.58,258.99,2496500,257.56,258.01,-0.46,-0.0,-0.18,3mo,15,253.35
2022-02-02,258.83,262.61,258.49,262.28,2371500,260.83,257.56,3.27,0.01,1.27,3mo,16,252.99
2022-02-03,262.0,262.8,260.07,260.64,2242200,259.2,260.83,-1.63,-0.01,-0.63,3mo,17,252.64
2022-02-04,259.87,261.73,257.79,260.06,1989700,258.62,259.2,-0.58,-0.0,-0.22,3mo,18,252.29
2022-02-07,261.0,261.58,259.17,259.85,1959300,258.41,258.62,-0.21,-0.0,-0.08,3mo,19,251.94
2022-02-08,260.5,262.38,259.1,260.08,2920000,258.64,258.41,0.23,0.0,0.09,3mo,20,251.58
2022-02-09,261.99,262.88,259.41,259.86,2379300,258.42,258.64,-0.22,-0.0,-0.08,3mo,21,251.23
2022-02-10,258.6,260.44,255.97,256.87,3246600,255.45,258.42,-2.97,-0.01,-1.15,3mo,22,250.88
2022-02-11,256.87,258.76,254.73,255.16,3592700,253.75,255.45,-1.7,-0.01,-0.67,3mo,23,250.52
2022-02-14,255.91,256.25,251.68,253.39,2825800,251.99,253.75,-1.76,-0.01,-0.69,3mo,24,250.17
