Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",39.5,40.53,39.5,40.51,911930,40.51,,,,,1hr
"January 03, 2022 10:30 AM",40.51,40.55,40.07,40.35,447431,40.35,40.51,-0.16,-0.0,-0.39,1hr
"January 03, 2022 11:30 AM",40.34,40.45,40.14,40.32,437771,40.32,40.35,-0.03,-0.0,-0.07,1hr
"January 03, 2022 12:30 PM",40.32,40.54,40.21,40.22,380846,40.22,40.32,-0.1,-0.0,-0.25,1hr
"January 03, 2022 01:30 PM",40.22,40.31,40.09,40.31,298887,40.31,40.22,0.09,0.0,0.23,1hr
"January 03, 2022 02:30 PM",40.31,40.45,40.24,40.38,444899,40.38,40.31,0.06,0.0,0.16,1hr
"January 03, 2022 03:30 PM",40.38,40.43,40.15,40.2,520542,40.2,40.38,-0.17,-0.0,-0.43,1hr
"January 04, 2022 09:30 AM",40.65,40.97,40.45,40.8,676856,40.8,40.2,0.6,0.01,1.49,1hr
"January 04, 2022 10:30 AM",40.8,40.95,40.17,40.24,570528,40.24,40.8,-0.56,-0.01,-1.37,1hr
"January 04, 2022 11:30 AM",40.22,40.69,40.12,40.62,359355,40.62,40.24,0.38,0.01,0.94,1hr
"January 04, 2022 12:30 PM",40.62,40.97,40.52,40.55,370345,40.55,40.62,-0.07,-0.0,-0.17,1hr
"January 04, 2022 01:30 PM",40.55,40.6,40.38,40.57,295665,40.57,40.55,0.02,0.0,0.05,1hr
"January 04, 2022 02:30 PM",40.57,40.86,40.53,40.69,434686,40.69,40.57,0.12,0.0,0.31,1hr
"January 04, 2022 03:30 PM",40.7,40.72,40.45,40.5,624032,40.5,40.69,-0.19,-0.0,-0.48,1hr
"January 05, 2022 09:30 AM",40.86,41.15,40.55,40.93,631816,40.93,40.5,0.43,0.01,1.06,1hr
"January 05, 2022 10:30 AM",40.92,40.94,40.18,40.21,488041,40.21,40.93,-0.72,-0.02,-1.76,1hr
"January 05, 2022 11:30 AM",40.2,40.47,40.12,40.4,391534,40.4,40.21,0.19,0.0,0.48,1hr
"January 05, 2022 12:30 PM",40.4,40.41,39.9,39.97,342041,39.97,40.4,-0.43,-0.01,-1.06,1hr
"January 05, 2022 01:30 PM",39.97,40.16,39.64,39.69,691305,39.69,39.97,-0.28,-0.01,-0.7,1hr
"January 05, 2022 02:30 PM",39.7,39.78,39.05,39.09,892597,39.09,39.69,-0.6,-0.02,-1.52,1hr
"January 05, 2022 03:30 PM",39.07,39.26,38.97,39.01,746015,39.01,39.09,-0.08,-0.0,-0.2,1hr
"January 06, 2022 09:30 AM",39.48,39.61,38.01,38.35,1144165,38.35,39.01,-0.66,-0.02,-1.69,1hr
"January 06, 2022 10:30 AM",38.35,39.43,38.34,39.34,751958,39.34,38.35,0.99,0.03,2.58,1hr
"January 06, 2022 11:30 AM",39.34,39.9,39.26,39.63,376492,39.63,39.34,0.29,0.01,0.74,1hr
"January 06, 2022 12:30 PM",39.63,39.73,39.42,39.44,204449,39.44,39.63,-0.19,-0.0,-0.47,1hr
"January 06, 2022 01:30 PM",39.44,39.64,39.36,39.58,233021,39.58,39.44,0.13,0.0,0.33,1hr
"January 06, 2022 02:30 PM",39.58,39.61,39.34,39.53,361014,39.53,39.58,-0.05,-0.0,-0.11,1hr
"January 06, 2022 03:30 PM",39.52,39.55,39.34,39.42,493288,39.42,39.53,-0.11,-0.0,-0.28,1hr
"January 07, 2022 09:30 AM",39.49,40.14,39.43,40.1,520146,40.1,39.42,0.68,0.02,1.73,1hr
"January 07, 2022 10:30 AM",40.1,40.14,39.55,39.91,602114,39.91,40.1,-0.19,-0.0,-0.47,1hr
"January 07, 2022 11:30 AM",39.91,40.27,39.89,40.18,435800,40.18,39.91,0.27,0.01,0.68,1hr
"January 07, 2022 12:30 PM",40.18,40.24,40.02,40.15,245112,40.15,40.18,-0.03,-0.0,-0.07,1hr
"January 07, 2022 01:30 PM",40.14,40.31,39.92,39.99,386785,39.99,40.15,-0.16,-0.0,-0.39,1hr
"January 07, 2022 02:30 PM",39.99,40.24,39.96,40.19,533463,40.19,39.99,0.2,0.01,0.5,1hr
"January 07, 2022 03:30 PM",40.19,40.31,40.16,40.18,689890,40.18,40.19,-0.01,-0.0,-0.04,1hr
"January 10, 2022 09:30 AM",39.96,40.68,39.58,39.71,1098684,39.71,40.18,-0.47,-0.01,-1.17,1hr
"January 10, 2022 10:30 AM",39.72,40.09,39.47,39.84,741049,39.84,39.71,0.13,0.0,0.33,1hr
"January 10, 2022 11:30 AM",39.84,39.84,39.44,39.64,376016,39.64,39.84,-0.2,-0.01,-0.5,1hr
"January 10, 2022 12:30 PM",39.63,39.8,39.46,39.58,370822,39.58,39.64,-0.06,-0.0,-0.15,1hr
"January 10, 2022 01:30 PM",39.57,39.97,39.49,39.9,463364,39.9,39.58,0.32,0.01,0.81,1hr
"January 10, 2022 02:30 PM",39.89,40.01,39.77,39.77,480342,39.77,39.9,-0.13,-0.0,-0.33,1hr
"January 10, 2022 03:30 PM",39.76,40.06,39.72,40.04,609666,40.04,39.77,0.27,0.01,0.68,1hr
"January 11, 2022 09:30 AM",40.16,40.33,39.51,39.7,635281,39.7,40.04,-0.34,-0.01,-0.85,1hr
"January 11, 2022 10:30 AM",39.7,39.82,39.17,39.78,693362,39.78,39.7,0.08,0.0,0.2,1hr
"January 11, 2022 11:30 AM",39.77,40.01,39.69,39.74,303830,39.74,39.78,-0.03,-0.0,-0.09,1hr
"January 11, 2022 12:30 PM",39.74,40.03,39.72,39.99,265289,39.99,39.74,0.25,0.01,0.63,1hr
"January 11, 2022 01:30 PM",39.99,40.25,39.98,40.2,273665,40.2,39.99,0.21,0.01,0.51,1hr
"January 11, 2022 02:30 PM",40.19,40.57,40.15,40.53,377918,40.53,40.2,0.33,0.01,0.82,1hr
