Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",64.91,65.75,64.77,65.14,180446,65.14,,,,,1min,0,64.15
"May 18, 2022 09:31 AM",65.16,65.19,64.67,64.96,37437,64.96,65.14,-0.18,-0.0,-0.27,1min,1,64.14
"May 18, 2022 09:32 AM",65.06,65.21,64.51,64.57,35841,64.57,64.96,-0.39,-0.01,-0.61,1min,2,64.14
"May 18, 2022 09:33 AM",64.56,64.57,64.21,64.35,21675,64.35,64.57,-0.22,-0.0,-0.34,1min,3,64.13
"May 18, 2022 09:34 AM",64.46,64.46,64.11,64.45,33857,64.45,64.35,0.1,0.0,0.16,1min,4,64.12
"May 18, 2022 09:35 AM",64.4,64.64,63.75,63.82,80528,63.82,64.45,-0.63,-0.01,-0.98,1min,5,64.11
"May 18, 2022 09:36 AM",63.92,63.99,63.78,63.93,36747,63.93,63.82,0.11,0.0,0.17,1min,6,64.1
"May 18, 2022 09:37 AM",63.93,64.02,63.7,63.78,33993,63.78,63.93,-0.15,-0.0,-0.23,1min,7,64.09
"May 18, 2022 09:38 AM",63.83,64.07,63.39,63.43,34149,63.43,63.78,-0.35,-0.01,-0.55,1min,8,64.08
"May 18, 2022 09:39 AM",63.45,63.49,63.08,63.17,31701,63.17,63.43,-0.26,-0.0,-0.42,1min,9,64.07
"May 18, 2022 09:40 AM",63.15,63.41,63.15,63.24,16639,63.24,63.17,0.07,0.0,0.12,1min,10,64.06
"May 18, 2022 09:41 AM",63.24,63.31,63.01,63.18,20502,63.18,63.24,-0.06,-0.0,-0.09,1min,11,64.05
"May 18, 2022 09:42 AM",63.12,63.14,62.95,63.06,26084,63.06,63.18,-0.12,-0.0,-0.18,1min,12,64.04
"May 18, 2022 09:43 AM",63.09,63.15,62.94,63.06,36207,63.06,63.06,-0.01,-0.0,-0.02,1min,13,64.03
"May 18, 2022 09:44 AM",63.03,63.75,63.02,63.71,33861,63.71,63.06,0.65,0.01,1.04,1min,14,64.02
"May 18, 2022 09:45 AM",63.7,63.96,63.47,63.82,40001,63.82,63.71,0.11,0.0,0.17,1min,15,64.01
"May 18, 2022 09:46 AM",63.72,64.05,63.65,63.98,36688,63.98,63.82,0.16,0.0,0.25,1min,16,64.0
"May 18, 2022 09:47 AM",64.05,64.2,63.93,64.03,23731,64.03,63.98,0.05,0.0,0.08,1min,17,63.99
"May 18, 2022 09:48 AM",64.12,64.25,64.1,64.16,15823,64.16,64.03,0.13,0.0,0.2,1min,18,63.98
"May 18, 2022 09:49 AM",64.09,64.46,64.09,64.32,40639,64.32,64.16,0.16,0.0,0.25,1min,19,63.97
"May 18, 2022 09:50 AM",64.3,64.39,64.11,64.2,18913,64.2,64.32,-0.12,-0.0,-0.19,1min,20,63.97
"May 18, 2022 09:51 AM",64.14,64.4,64.14,64.29,12124,64.29,64.2,0.09,0.0,0.14,1min,21,63.96
"May 18, 2022 09:52 AM",64.3,64.51,64.28,64.43,16032,64.43,64.29,0.14,0.0,0.22,1min,22,63.95
"May 18, 2022 09:53 AM",64.46,64.7,64.46,64.68,18081,64.68,64.43,0.25,0.0,0.39,1min,23,63.94
"May 18, 2022 09:54 AM",64.68,64.78,64.61,64.67,16478,64.67,64.68,-0.01,-0.0,-0.02,1min,24,63.93
"May 18, 2022 09:55 AM",64.6,64.79,64.6,64.62,9776,64.62,64.67,-0.05,-0.0,-0.08,1min,25,63.92
"May 18, 2022 09:56 AM",64.61,64.66,64.28,64.3,25561,64.3,64.62,-0.32,-0.0,-0.5,1min,26,63.91
"May 18, 2022 09:57 AM",64.29,64.31,64.02,64.02,9320,64.02,64.3,-0.28,-0.0,-0.44,1min,27,63.9
"May 18, 2022 09:58 AM",64.0,64.05,63.85,64.01,21767,64.01,64.02,-0.01,-0.0,-0.02,1min,28,63.89
"May 18, 2022 09:59 AM",63.99,64.04,63.87,64.02,21328,64.02,64.01,0.01,0.0,0.02,1min,29,63.88
"May 18, 2022 10:00 AM",64.04,64.27,63.94,64.23,25046,64.23,64.02,0.21,0.0,0.33,1min,30,63.87
"May 18, 2022 10:01 AM",64.2,64.21,63.98,64.03,22212,64.03,64.23,-0.2,-0.0,-0.31,1min,31,63.86
"May 18, 2022 10:02 AM",64.04,64.04,63.92,64.03,12478,64.03,64.03,-0.0,-0.0,-0.01,1min,32,63.85
"May 18, 2022 10:03 AM",64.03,64.17,64.0,64.08,14133,64.08,64.03,0.06,0.0,0.09,1min,33,63.84
"May 18, 2022 10:04 AM",64.17,64.6,64.17,64.24,29552,64.24,64.08,0.16,0.0,0.25,1min,34,63.83
"May 18, 2022 10:05 AM",64.26,64.55,64.25,64.55,14109,64.55,64.24,0.31,0.0,0.48,1min,35,63.82
"May 18, 2022 10:06 AM",64.52,64.62,64.41,64.42,16454,64.42,64.55,-0.13,-0.0,-0.2,1min,36,63.81
"May 18, 2022 10:07 AM",64.44,64.47,64.23,64.43,14481,64.43,64.42,0.01,0.0,0.01,1min,37,63.8
"May 18, 2022 10:08 AM",64.45,64.65,64.43,64.65,31632,64.65,64.43,0.22,0.0,0.34,1min,38,63.79
"May 18, 2022 10:09 AM",64.64,64.64,64.32,64.42,24877,64.42,64.65,-0.23,-0.0,-0.36,1min,39,63.79
"May 18, 2022 10:10 AM",64.42,64.43,64.18,64.27,20391,64.27,64.42,-0.15,-0.0,-0.23,1min,40,63.78
"May 18, 2022 10:11 AM",64.26,64.26,63.94,64.02,9900,64.02,64.27,-0.25,-0.0,-0.39,1min,41,63.77
"May 18, 2022 10:12 AM",64.08,64.08,63.92,63.92,14095,63.92,64.02,-0.1,-0.0,-0.16,1min,42,63.76
"May 18, 2022 10:13 AM",63.91,64.01,63.86,63.93,12899,63.93,63.92,0.01,0.0,0.02,1min,43,63.75
"May 18, 2022 10:14 AM",63.9,64.06,63.9,64.06,12641,64.06,63.93,0.13,0.0,0.2,1min,44,63.74
"May 18, 2022 10:15 AM",64.06,64.08,63.98,64.01,5586,64.01,64.06,-0.05,-0.0,-0.08,1min,45,63.73
"May 18, 2022 10:16 AM",63.96,64.25,63.84,64.18,13958,64.18,64.01,0.17,0.0,0.27,1min,46,63.72
"May 18, 2022 10:17 AM",64.17,64.28,64.09,64.19,8390,64.19,64.18,0.01,0.0,0.02,1min,47,63.71
"May 18, 2022 10:18 AM",64.17,64.35,64.17,64.3,7663,64.3,64.19,0.11,0.0,0.17,1min,48,63.7
"May 18, 2022 10:19 AM",64.26,64.35,64.21,64.32,12455,64.32,64.3,0.02,0.0,0.03,1min,49,63.69
"May 18, 2022 10:20 AM",64.29,64.67,64.28,64.67,21574,64.67,64.32,0.35,0.01,0.54,1min,50,63.68
"May 18, 2022 10:21 AM",64.69,64.69,64.46,64.46,9780,64.46,64.67,-0.21,-0.0,-0.32,1min,51,63.67
"May 18, 2022 10:22 AM",64.44,64.52,64.44,64.46,6036,64.46,64.46,0.0,0.0,0.01,1min,52,63.66
"May 18, 2022 10:23 AM",64.43,64.49,64.4,64.42,3960,64.42,64.46,-0.04,-0.0,-0.06,1min,53,63.65
