Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",77.54,79.13,76.36,77.98,8032200,77.98,,,,,1mo
"April 20, 2022",76.49,78.06,73.42,75.77,9163300,75.77,77.98,-2.21,-0.03,-2.83,1mo
"April 21, 2022",76.12,76.33,68.26,68.66,13000600,68.66,75.77,-7.11,-0.09,-9.38,1mo
"April 22, 2022",68.3,71.02,66.2,66.77,10089900,66.77,68.66,-1.89,-0.03,-2.75,1mo
"April 25, 2022",64.13,64.78,60.71,63.61,14476800,63.61,66.77,-3.16,-0.05,-4.73,1mo
"April 26, 2022",65.35,65.65,61.8,63.67,11203600,63.67,63.61,0.06,0.0,0.09,1mo
"April 27, 2022",64.63,65.94,62.29,64.85,7014200,64.85,63.67,1.18,0.02,1.85,1mo
"April 28, 2022",65.1,65.9,63.35,65.32,5735000,65.32,64.85,0.47,0.01,0.72,1mo
"April 29, 2022",66.49,66.85,62.05,62.42,6935900,62.42,65.32,-2.9,-0.04,-4.44,1mo
"May 02, 2022",62.01,63.75,60.63,62.4,7929400,62.4,62.42,-0.02,-0.0,-0.03,1mo
"May 03, 2022",60.3,68.25,59.17,67.83,14941100,67.83,62.4,5.43,0.09,8.7,1mo
"May 04, 2022",68.34,68.74,64.22,67.12,7789000,67.12,67.83,-0.71,-0.01,-1.05,1mo
"May 05, 2022",68.12,68.65,63.33,64.73,6474400,64.73,67.12,-2.39,-0.04,-3.56,1mo
"May 06, 2022",64.64,65.25,62.18,64.05,5844900,64.05,64.73,-0.68,-0.01,-1.05,1mo
"May 09, 2022",62.1,62.27,55.34,55.86,10565400,55.86,64.05,-8.19,-0.13,-12.79,1mo
"May 10, 2022",58.72,60.49,56.0,57.64,8552700,57.64,55.86,1.78,0.03,3.19,1mo
"May 11, 2022",58.55,62.24,57.9,59.46,8585000,59.46,57.64,1.82,0.03,3.16,1mo
"May 12, 2022",59.27,59.64,56.3,58.74,6960000,58.74,59.46,-0.72,-0.01,-1.21,1mo
"May 13, 2022",61.09,63.44,61.0,62.29,5407800,62.29,58.74,3.55,0.06,6.04,1mo
"May 16, 2022",64.04,65.46,62.68,63.08,6249100,63.08,62.29,0.79,0.01,1.27,1mo
"May 17, 2022",64.26,66.6,62.64,65.64,8153300,65.64,63.08,2.56,0.04,4.06,1mo
"May 18, 2022",64.91,65.75,60.41,61.45,7660493,61.45,65.64,-4.19,-0.06,-6.38,1mo
