Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1988-01-25,11.5,12.56,11.25,12.25,14412400.0,7.8,,,,,1wk
1988-02-01,12.12,12.62,11.81,12.38,2981800.0,7.88,7.8,0.08,0.01,1.02,1wk
1988-02-08,12.12,12.81,11.88,12.75,1463400.0,8.12,7.88,0.24,0.03,3.03,1wk
1988-02-15,12.81,14.62,12.81,14.25,3099800.0,9.07,8.12,0.95,0.12,11.76,1wk
1988-02-22,14.12,14.25,13.75,14.12,2047200.0,8.99,9.07,-0.08,-0.01,-0.88,1wk
1988-02-29,14.25,15.5,14.19,15.5,2085800.0,9.87,8.99,0.88,0.1,9.73,1wk
1988-03-07,15.25,16.06,14.0,14.5,1801200.0,9.23,9.87,-0.64,-0.06,-6.45,1wk
1988-03-11,,,,,,,9.23,,,,1wk
1988-03-14,14.62,16.12,14.56,15.44,1334200.0,9.87,,,,,1wk
1988-03-21,15.38,15.38,14.0,14.19,1649000.0,9.07,9.87,-0.8,-0.08,-8.1,1wk
1988-03-28,13.81,15.12,13.81,15.06,742400.0,9.63,9.07,0.56,0.06,6.17,1wk
1988-04-04,15.0,16.0,14.94,16.0,840800.0,10.23,9.63,0.6,0.06,6.22,1wk
1988-04-11,15.94,16.0,14.38,14.75,982200.0,9.43,10.23,-0.8,-0.08,-7.81,1wk
1988-04-18,14.75,15.12,14.0,14.88,1363800.0,9.51,9.43,0.08,0.01,0.85,1wk
1988-04-25,15.0,15.62,14.5,14.75,633400.0,9.43,9.51,-0.08,-0.01,-0.84,1wk
1988-05-02,14.69,15.06,14.5,14.5,1056200.0,9.27,9.43,-0.16,-0.02,-1.69,1wk
1988-05-09,14.62,14.62,13.25,14.5,824000.0,9.27,9.27,0.0,0.0,0.0,1wk
1988-05-16,14.44,14.75,14.12,14.5,452200.0,9.27,9.27,0.0,0.0,0.0,1wk
1988-05-23,14.38,14.44,14.06,14.25,822600.0,9.11,9.27,-0.16,-0.02,-1.72,1wk
1988-05-30,14.12,16.0,14.0,15.62,1081400.0,9.99,9.11,0.88,0.1,9.65,1wk
1988-06-06,15.5,17.31,15.5,17.06,1612600.0,10.91,9.99,0.92,0.09,9.2,1wk
1988-06-13,17.0,20.0,17.0,18.62,2084400.0,11.91,10.91,1.0,0.09,9.16,1wk
1988-06-20,18.62,21.62,18.5,20.69,2661400.0,13.32,11.91,1.41,0.12,11.83,1wk
1988-06-27,20.69,20.69,19.31,19.88,1506400.0,12.8,13.32,-0.52,-0.04,-3.93,1wk
1988-07-04,19.94,21.25,19.94,20.62,1935200.0,13.28,12.8,0.48,0.04,3.77,1wk
1988-07-11,20.56,21.25,19.62,20.81,992000.0,13.4,13.28,0.12,0.01,0.91,1wk
