Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",64.91,65.75,62.94,64.02,985929,64.02,,,,,30min
"May 18, 2022 10:00 AM",64.04,64.69,63.79,63.87,425868,63.87,64.02,-0.15,-0.0,-0.23,30min
"May 18, 2022 10:30 AM",63.9,64.39,63.79,64.13,283804,64.13,63.87,0.26,0.0,0.4,30min
"May 18, 2022 11:00 AM",64.11,64.11,62.42,62.62,419460,62.62,64.13,-1.51,-0.02,-2.36,30min
"May 18, 2022 11:30 AM",62.65,62.89,62.0,62.15,392740,62.15,62.62,-0.46,-0.01,-0.74,30min
"May 18, 2022 12:00 PM",62.12,62.39,61.56,61.66,280786,61.66,62.15,-0.49,-0.01,-0.8,30min
"May 18, 2022 12:30 PM",61.62,62.74,61.59,62.59,380552,62.59,61.66,0.93,0.02,1.51,30min
"May 18, 2022 01:00 PM",62.57,62.65,61.42,61.75,364705,61.75,62.59,-0.84,-0.01,-1.34,30min
"May 18, 2022 01:30 PM",61.75,61.98,61.31,61.47,269099,61.47,61.75,-0.28,-0.0,-0.45,30min
"May 18, 2022 02:00 PM",61.49,61.91,61.22,61.8,340761,61.8,61.47,0.33,0.01,0.54,30min
"May 18, 2022 02:30 PM",61.79,61.83,60.41,60.49,449573,60.49,61.8,-1.31,-0.02,-2.11,30min
"May 18, 2022 03:00 PM",60.47,61.33,60.46,60.83,388935,60.83,60.49,0.33,0.01,0.55,30min
"May 18, 2022 03:30 PM",60.83,61.52,60.67,61.44,1391526,61.44,60.83,0.62,0.01,1.01,30min
"May 18, 2022 04:00 PM",61.45,61.45,61.45,61.45,0,61.45,61.44,0.01,0.0,0.02,30min
