Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2018-09-12,6.0,6.93,5.35,6.6,66849000,6.6,,,,,1d
2018-09-13,6.62,12.69,6.52,11.6,158346500,11.6,6.6,5.0,0.76,75.76,1d
2018-09-14,12.66,13.8,9.22,9.9,172473600,9.9,11.6,-1.7,-0.15,-14.66,1d
2018-09-17,9.61,9.75,8.5,8.5,56323900,8.5,9.9,-1.4,-0.14,-14.14,1d
2018-09-18,8.73,9.1,7.67,7.68,41827600,7.68,8.5,-0.82,-0.1,-9.65,1d
2018-09-19,7.88,9.15,7.54,8.5,48306500,8.5,7.68,0.82,0.11,10.68,1d
2018-09-20,9.07,9.47,8.42,8.78,40275000,8.78,8.5,0.28,0.03,3.29,1d
2018-09-21,9.05,9.07,8.5,8.59,15118500,8.59,8.78,-0.19,-0.02,-2.16,1d
2018-09-24,8.32,8.39,7.85,7.87,16297900,7.87,8.59,-0.72,-0.08,-8.38,1d
2018-09-25,8.06,8.19,7.5,7.58,18909300,7.58,7.87,-0.29,-0.04,-3.68,1d
2018-09-26,7.59,7.76,7.5,7.5,11088300,7.5,7.58,-0.08,-0.01,-1.06,1d
2018-09-27,7.55,7.55,7.01,7.01,16815600,7.01,7.5,-0.49,-0.07,-6.53,1d
2018-09-28,6.97,7.28,6.68,6.98,21813600,6.98,7.01,-0.03,-0.0,-0.43,1d
2018-10-01,7.06,7.08,6.6,6.6,16429100,6.6,6.98,-0.38,-0.05,-5.44,1d
2018-10-02,6.6,6.6,5.87,5.93,19440000,5.93,6.6,-0.67,-0.1,-10.15,1d
2018-10-03,6.12,6.55,6.12,6.3,13251200,6.3,5.93,0.37,0.06,6.24,1d
2018-10-04,6.19,6.25,6.0,6.25,11896600,6.25,6.3,-0.05,-0.01,-0.79,1d
2018-10-05,6.2,6.29,6.03,6.26,8378300,6.26,6.25,0.01,0.0,0.16,1d
2018-10-08,6.07,6.18,5.95,6.04,11508800,6.04,6.26,-0.22,-0.04,-3.51,1d
2018-10-09,6.19,7.4,6.1,7.39,38464400,7.39,6.04,1.35,0.22,22.35,1d
2018-10-10,8.1,8.35,7.39,7.75,74971100,7.75,7.39,0.36,0.05,4.87,1d
2018-10-11,7.44,7.55,6.92,7.18,22730000,7.18,7.75,-0.57,-0.07,-7.35,1d
2018-10-12,7.46,7.75,7.28,7.46,14545400,7.46,7.18,0.28,0.04,3.9,1d
2018-10-15,7.86,8.3,7.7,7.82,26781700,7.82,7.46,0.36,0.05,4.83,1d
2018-10-16,8.06,8.2,7.83,8.04,17490500,8.04,7.82,0.22,0.03,2.81,1d
2018-10-17,8.12,8.16,7.73,7.77,11705300,7.77,8.04,-0.27,-0.03,-3.36,1d
2018-10-18,7.6,7.67,7.26,7.5,11906000,7.5,7.77,-0.27,-0.03,-3.47,1d
2018-10-19,7.59,7.75,7.22,7.32,7336200,7.32,7.5,-0.18,-0.02,-2.4,1d
2018-10-22,7.68,7.69,7.0,7.03,12758500,7.03,7.32,-0.29,-0.04,-3.96,1d
2018-10-23,6.74,6.89,6.45,6.81,14901700,6.81,7.03,-0.22,-0.03,-3.13,1d
2018-10-24,6.85,6.85,6.13,6.17,14789900,6.17,6.81,-0.64,-0.09,-9.4,1d
2018-10-25,6.27,6.57,6.25,6.45,9188700,6.45,6.17,0.28,0.05,4.54,1d
2018-10-26,6.21,6.51,6.18,6.35,9459000,6.35,6.45,-0.1,-0.02,-1.55,1d
2018-10-29,6.53,6.79,6.05,6.19,16027600,6.19,6.35,-0.16,-0.03,-2.52,1d
2018-10-30,6.2,6.22,5.62,5.95,21823900,5.95,6.19,-0.24,-0.04,-3.88,1d
2018-10-31,6.08,6.25,5.9,5.9,15213400,5.9,5.95,-0.05,-0.01,-0.84,1d
2018-11-01,6.0,6.78,5.96,6.62,24330900,6.62,5.9,0.72,0.12,12.2,1d
2018-11-02,6.84,6.84,6.27,6.49,17988800,6.49,6.62,-0.13,-0.02,-1.96,1d
2018-11-05,6.52,6.72,6.25,6.68,13188700,6.68,6.49,0.19,0.03,2.93,1d
2018-11-06,7.22,7.32,6.4,6.4,49855800,6.4,6.68,-0.28,-0.04,-4.19,1d
2018-11-07,6.42,6.88,6.15,6.74,23761800,6.74,6.4,0.34,0.05,5.31,1d
2018-11-08,6.49,7.1,6.47,6.69,20510700,6.69,6.74,-0.05,-0.01,-0.74,1d
2018-11-09,6.59,6.93,6.52,6.77,12789800,6.77,6.69,0.08,0.01,1.2,1d
2018-11-12,6.72,6.93,6.56,6.65,12709100,6.65,6.77,-0.12,-0.02,-1.77,1d
2018-11-13,6.69,6.9,6.58,6.78,15374100,6.78,6.65,0.13,0.02,1.95,1d
2018-11-14,6.8,7.45,6.8,7.1,29585100,7.1,6.78,0.32,0.05,4.72,1d
2018-11-15,7.15,7.49,7.11,7.34,17904000,7.34,7.1,0.24,0.03,3.38,1d
2018-11-16,7.4,7.65,7.16,7.19,14972500,7.19,7.34,-0.15,-0.02,-2.04,1d
2018-11-19,7.38,8.21,7.28,7.84,49171800,7.84,7.19,0.65,0.09,9.04,1d
2018-11-20,7.65,7.91,7.15,7.67,26923200,7.67,7.84,-0.17,-0.02,-2.17,1d
2018-11-21,7.9,8.05,7.63,7.71,13993600,7.71,7.67,0.04,0.01,0.52,1d
2018-11-23,7.68,7.7,7.41,7.46,8119700,7.46,7.71,-0.25,-0.03,-3.24,1d
2018-11-26,7.61,7.63,7.16,7.37,12164900,7.37,7.46,-0.09,-0.01,-1.21,1d
2018-11-27,7.3,7.7,7.23,7.48,9084900,7.48,7.37,0.11,0.01,1.49,1d
2018-11-28,7.6,8.15,7.6,8.12,22096900,8.12,7.48,0.64,0.09,8.56,1d
2018-11-29,8.06,8.12,7.76,7.79,13207600,7.79,8.12,-0.33,-0.04,-4.06,1d
2018-11-30,7.8,8.0,7.68,7.71,10994700,7.71,7.79,-0.08,-0.01,-1.03,1d
2018-12-03,8.1,8.13,7.5,7.58,22425400,7.58,7.71,-0.13,-0.02,-1.69,1d
2018-12-04,7.6,7.64,7.05,7.08,19624700,7.08,7.58,-0.5,-0.07,-6.6,1d
2018-12-06,6.86,7.37,6.72,7.37,16688100,7.37,7.08,0.29,0.04,4.1,1d
2018-12-07,7.36,7.38,6.96,6.99,11576200,6.99,7.37,-0.38,-0.05,-5.16,1d
2018-12-10,7.03,7.12,6.74,7.03,9981000,7.03,6.99,0.04,0.01,0.57,1d
2018-12-11,7.08,7.2,6.92,7.08,8095700,7.08,7.03,0.05,0.01,0.71,1d
2018-12-12,7.2,7.55,7.12,7.54,16007500,7.54,7.08,0.46,0.06,6.5,1d
2018-12-13,7.55,7.9,7.26,7.75,14980900,7.75,7.54,0.21,0.03,2.79,1d
2018-12-14,7.53,7.89,7.4,7.7,10773600,7.7,7.75,-0.05,-0.01,-0.65,1d
2018-12-17,7.63,7.64,6.96,7.03,18132800,7.03,7.7,-0.67,-0.09,-8.7,1d
2018-12-18,7.03,7.19,6.84,7.07,10685800,7.07,7.03,0.04,0.01,0.57,1d
2018-12-19,7.01,7.15,6.8,6.83,9299700,6.83,7.07,-0.24,-0.03,-3.39,1d
2018-12-20,6.82,6.92,6.33,6.52,12080000,6.52,6.83,-0.31,-0.05,-4.54,1d
2018-12-21,6.53,6.65,6.06,6.07,13598300,6.07,6.52,-0.45,-0.07,-6.9,1d
2018-12-24,6.0,6.12,5.84,5.92,8835800,5.92,6.07,-0.15,-0.02,-2.47,1d
2018-12-26,6.11,6.37,5.96,6.36,9912300,6.36,5.92,0.44,0.07,7.43,1d
2018-12-27,6.17,6.45,6.03,6.43,8531900,6.43,6.36,0.07,0.01,1.1,1d
2018-12-28,6.5,6.56,6.3,6.47,7996500,6.47,6.43,0.04,0.01,0.62,1d
2018-12-31,6.56,6.57,6.21,6.37,8667400,6.37,6.47,-0.1,-0.02,-1.55,1d
2019-01-02,6.13,6.24,6.0,6.2,8823600,6.2,6.37,-0.17,-0.03,-2.67,1d
2019-01-03,6.1,6.15,6.02,6.05,7562900,6.05,6.2,-0.15,-0.02,-2.42,1d
