Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",33.52,33.8,31.88,32.58,28743432,32.58,,,,,1hr
"January 03, 2022 10:30 AM",32.58,33.4,32.55,33.05,12506439,33.05,32.58,0.47,0.01,1.44,1hr
"January 03, 2022 11:30 AM",33.04,33.33,32.93,33.19,6111937,33.19,33.05,0.14,0.0,0.43,1hr
"January 03, 2022 12:30 PM",33.18,33.42,33.13,33.23,4721082,33.23,33.19,0.04,0.0,0.12,1hr
"January 03, 2022 01:30 PM",33.24,33.43,33.21,33.39,3459144,33.39,33.23,0.16,0.0,0.48,1hr
"January 03, 2022 02:30 PM",33.39,33.49,33.25,33.37,3754456,33.37,33.39,-0.02,-0.0,-0.07,1hr
"January 03, 2022 03:30 PM",33.36,33.56,33.35,33.47,4156481,33.47,33.37,0.1,0.0,0.31,1hr
"January 04, 2022 09:30 AM",33.35,33.39,31.8,31.9,15911448,31.9,33.47,-1.57,-0.05,-4.69,1hr
"January 04, 2022 10:30 AM",31.89,31.94,31.11,31.38,10899870,31.38,31.9,-0.52,-0.02,-1.63,1hr
"January 04, 2022 11:30 AM",31.37,31.74,31.32,31.74,5397235,31.74,31.38,0.36,0.01,1.15,1hr
"January 04, 2022 12:30 PM",31.73,31.79,31.52,31.64,3724636,31.64,31.74,-0.1,-0.0,-0.31,1hr
"January 04, 2022 01:30 PM",31.65,31.76,31.41,31.58,3147508,31.58,31.64,-0.06,-0.0,-0.19,1hr
"January 04, 2022 02:30 PM",31.57,31.89,31.55,31.88,3649834,31.88,31.58,0.3,0.01,0.96,1hr
"January 04, 2022 03:30 PM",31.89,31.93,31.58,31.58,4065718,31.58,31.88,-0.3,-0.01,-0.95,1hr
"January 05, 2022 09:30 AM",30.97,31.94,30.83,31.15,14518558,31.15,31.58,-0.43,-0.01,-1.36,1hr
"January 05, 2022 10:30 AM",31.14,31.32,30.87,31.04,5089473,31.04,31.15,-0.11,-0.0,-0.35,1hr
"January 05, 2022 11:30 AM",31.04,31.13,30.88,30.99,2912366,30.99,31.04,-0.06,-0.0,-0.18,1hr
"January 05, 2022 12:30 PM",30.99,30.99,30.59,30.92,3544836,30.92,30.99,-0.07,-0.0,-0.21,1hr
"January 05, 2022 01:30 PM",30.91,31.21,30.39,30.57,3912905,30.57,30.92,-0.35,-0.01,-1.13,1hr
"January 05, 2022 02:30 PM",30.58,30.68,29.78,29.84,6765750,29.84,30.57,-0.73,-0.02,-2.37,1hr
"January 05, 2022 03:30 PM",29.83,30.14,29.82,29.88,4092609,29.88,29.84,0.03,0.0,0.12,1hr
"January 06, 2022 09:30 AM",30.01,30.54,28.28,28.98,17537788,28.98,29.88,-0.9,-0.03,-3.03,1hr
"January 06, 2022 10:30 AM",28.97,29.95,28.83,29.67,9500637,29.67,28.98,0.69,0.02,2.4,1hr
"January 06, 2022 11:30 AM",29.68,29.85,29.35,29.71,5166744,29.71,29.67,0.04,0.0,0.13,1hr
"January 06, 2022 12:30 PM",29.72,30.02,29.59,29.6,3805353,29.6,29.71,-0.11,-0.0,-0.37,1hr
"January 06, 2022 01:30 PM",29.6,29.85,29.48,29.62,3883033,29.62,29.6,0.02,0.0,0.07,1hr
"January 06, 2022 02:30 PM",29.62,29.73,29.46,29.52,3988561,29.52,29.62,-0.1,-0.0,-0.34,1hr
"January 06, 2022 03:30 PM",29.52,29.6,29.23,29.33,4079938,29.33,29.52,-0.19,-0.01,-0.64,1hr
"January 07, 2022 09:30 AM",29.45,30.42,29.15,29.32,13638426,29.32,29.33,-0.01,-0.0,-0.05,1hr
"January 07, 2022 10:30 AM",29.31,29.43,28.78,29.26,8096033,29.26,29.32,-0.06,-0.0,-0.19,1hr
"January 07, 2022 11:30 AM",29.25,29.62,29.24,29.41,4621759,29.41,29.26,0.15,0.01,0.52,1hr
"January 07, 2022 12:30 PM",29.4,29.59,29.23,29.32,3607415,29.32,29.41,-0.1,-0.0,-0.33,1hr
