Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",16.29,16.35,16.24,16.26,1541327,16.26,,,,,1min,0,16.63
"May 18, 2022 09:31 AM",16.27,16.44,16.24,16.36,1042141,16.36,16.26,0.1,0.01,0.65,1min,1,16.62
"May 18, 2022 09:32 AM",16.37,16.53,16.31,16.42,612736,16.42,16.36,0.05,0.0,0.31,1min,2,16.62
"May 18, 2022 09:33 AM",16.42,16.63,16.38,16.6,426754,16.6,16.42,0.19,0.01,1.16,1min,3,16.62
"May 18, 2022 09:34 AM",16.61,16.66,16.51,16.62,695637,16.62,16.6,0.02,0.0,0.09,1min,4,16.62
"May 18, 2022 09:35 AM",16.61,16.63,16.45,16.54,590401,16.54,16.62,-0.08,-0.0,-0.48,1min,5,16.61
"May 18, 2022 09:36 AM",16.53,16.58,16.38,16.42,548915,16.42,16.54,-0.12,-0.01,-0.7,1min,6,16.61
"May 18, 2022 09:37 AM",16.42,16.6,16.38,16.58,578239,16.58,16.42,0.16,0.01,0.94,1min,7,16.61
"May 18, 2022 09:38 AM",16.57,16.7,16.53,16.57,521442,16.57,16.58,-0.01,-0.0,-0.06,1min,8,16.6
"May 18, 2022 09:39 AM",16.57,16.58,16.4,16.45,586920,16.45,16.57,-0.12,-0.01,-0.72,1min,9,16.6
"May 18, 2022 09:40 AM",16.44,16.5,16.33,16.35,439869,16.35,16.45,-0.1,-0.01,-0.61,1min,10,16.6
"May 18, 2022 09:41 AM",16.36,16.43,16.29,16.3,413634,16.3,16.35,-0.05,-0.0,-0.33,1min,11,16.6
"May 18, 2022 09:42 AM",16.3,16.31,16.13,16.2,644363,16.2,16.3,-0.1,-0.01,-0.59,1min,12,16.59
"May 18, 2022 09:43 AM",16.2,16.2,16.08,16.13,562113,16.13,16.2,-0.07,-0.0,-0.43,1min,13,16.59
"May 18, 2022 09:44 AM",16.14,16.17,16.1,16.16,383827,16.16,16.13,0.03,0.0,0.16,1min,14,16.59
"May 18, 2022 09:45 AM",16.16,16.27,16.15,16.23,624984,16.23,16.16,0.07,0.0,0.44,1min,15,16.59
"May 18, 2022 09:46 AM",16.23,16.25,16.13,16.22,413371,16.22,16.23,-0.01,-0.0,-0.07,1min,16,16.58
"May 18, 2022 09:47 AM",16.22,16.42,16.22,16.41,424118,16.41,16.22,0.19,0.01,1.17,1min,17,16.58
"May 18, 2022 09:48 AM",16.41,16.45,16.3,16.38,487709,16.38,16.41,-0.03,-0.0,-0.15,1min,18,16.58
"May 18, 2022 09:49 AM",16.37,16.46,16.37,16.44,376956,16.44,16.38,0.06,0.0,0.37,1min,19,16.57
"May 18, 2022 09:50 AM",16.45,16.45,16.3,16.31,364896,16.31,16.44,-0.13,-0.01,-0.81,1min,20,16.57
"May 18, 2022 09:51 AM",16.31,16.42,16.27,16.37,309441,16.37,16.31,0.06,0.0,0.38,1min,21,16.57
"May 18, 2022 09:52 AM",16.37,16.47,16.35,16.44,346299,16.44,16.37,0.07,0.0,0.43,1min,22,16.57
"May 18, 2022 09:53 AM",16.43,16.57,16.43,16.47,422624,16.47,16.44,0.03,0.0,0.18,1min,23,16.56
"May 18, 2022 09:54 AM",16.48,16.52,16.45,16.46,235765,16.46,16.47,-0.01,-0.0,-0.06,1min,24,16.56
"May 18, 2022 09:55 AM",16.45,16.46,16.36,16.42,277509,16.42,16.46,-0.04,-0.0,-0.27,1min,25,16.56
"May 18, 2022 09:56 AM",16.42,16.43,16.3,16.31,241816,16.31,16.42,-0.11,-0.01,-0.64,1min,26,16.56
"May 18, 2022 09:57 AM",16.31,16.36,16.25,16.32,363211,16.32,16.31,0.01,0.0,0.06,1min,27,16.55
"May 18, 2022 09:58 AM",16.32,16.36,16.27,16.36,250710,16.36,16.32,0.04,0.0,0.24,1min,28,16.55
"May 18, 2022 09:59 AM",16.36,16.41,16.34,16.38,197567,16.38,16.36,0.02,0.0,0.13,1min,29,16.55
"May 18, 2022 10:00 AM",16.38,16.48,16.35,16.45,396152,16.45,16.38,0.07,0.0,0.43,1min,30,16.54
"May 18, 2022 10:01 AM",16.44,16.56,16.44,16.5,488194,16.5,16.45,0.05,0.0,0.3,1min,31,16.54
"May 18, 2022 10:02 AM",16.49,16.56,16.45,16.52,317335,16.52,16.5,0.02,0.0,0.15,1min,32,16.54
"May 18, 2022 10:03 AM",16.52,16.6,16.47,16.52,472909,16.52,16.52,0.0,0.0,0.0,1min,33,16.54
"May 18, 2022 10:04 AM",16.52,16.53,16.42,16.47,395321,16.47,16.52,-0.06,-0.0,-0.33,1min,34,16.53
"May 18, 2022 10:05 AM",16.48,16.58,16.46,16.57,312474,16.57,16.47,0.1,0.01,0.61,1min,35,16.53
"May 18, 2022 10:06 AM",16.58,16.58,16.5,16.55,314971,16.55,16.57,-0.02,-0.0,-0.15,1min,36,16.53
"May 18, 2022 10:07 AM",16.55,16.56,16.46,16.49,294354,16.49,16.55,-0.06,-0.0,-0.33,1min,37,16.53
"May 18, 2022 10:08 AM",16.49,16.53,16.43,16.49,300650,16.49,16.49,0.0,0.0,0.0,1min,38,16.52
"May 18, 2022 10:09 AM",16.49,16.49,16.39,16.4,280891,16.4,16.49,-0.09,-0.01,-0.55,1min,39,16.52
"May 18, 2022 10:10 AM",16.4,16.48,16.4,16.44,297937,16.44,16.4,0.04,0.0,0.24,1min,40,16.52
"May 18, 2022 10:11 AM",16.44,16.44,16.32,16.42,317991,16.42,16.44,-0.02,-0.0,-0.12,1min,41,16.51
"May 18, 2022 10:12 AM",16.42,16.49,16.41,16.44,237350,16.44,16.42,0.02,0.0,0.15,1min,42,16.51
"May 18, 2022 10:13 AM",16.45,16.57,16.44,16.56,258717,16.56,16.44,0.11,0.01,0.67,1min,43,16.51
"May 18, 2022 10:14 AM",16.56,16.67,16.55,16.67,601483,16.67,16.56,0.11,0.01,0.69,1min,44,16.51
"May 18, 2022 10:15 AM",16.67,16.67,16.6,16.64,280063,16.64,16.67,-0.03,-0.0,-0.21,1min,45,16.5
"May 18, 2022 10:16 AM",16.65,16.68,16.61,16.65,216063,16.65,16.64,0.01,0.0,0.06,1min,46,16.5
"May 18, 2022 10:17 AM",16.64,16.67,16.58,16.66,220160,16.66,16.65,0.02,0.0,0.1,1min,47,16.5
"May 18, 2022 10:18 AM",16.67,16.73,16.64,16.71,362746,16.71,16.66,0.05,0.0,0.29,1min,48,16.5
"May 18, 2022 10:19 AM",16.71,16.72,16.63,16.71,212924,16.71,16.71,0.0,0.0,0.0,1min,49,16.49
"May 18, 2022 10:20 AM",16.7,16.75,16.66,16.73,311998,16.73,16.71,0.02,0.0,0.12,1min,50,16.49
"May 18, 2022 10:21 AM",16.74,16.75,16.68,16.7,225310,16.7,16.73,-0.02,-0.0,-0.15,1min,51,16.49
