Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",19.05,19.89,18.36,19.87,43395000,19.87,,,,,1mo
"April 20, 2022",19.38,19.45,18.07,18.15,53336400,18.15,19.87,-1.72,-0.09,-8.66,1mo
"April 21, 2022",18.34,18.7,16.98,17.15,61501400,17.15,18.15,-1.0,-0.06,-5.51,1mo
"April 22, 2022",17.35,18.29,17.12,17.18,60727300,17.18,17.15,0.03,0.0,0.17,1mo
"April 25, 2022",16.81,17.42,16.18,17.31,54990900,17.31,17.18,0.13,0.01,0.76,1mo
"April 26, 2022",17.24,17.41,16.16,16.36,52771600,16.36,17.31,-0.95,-0.05,-5.49,1mo
"April 27, 2022",16.52,17.69,16.52,16.76,56633000,16.76,16.36,0.4,0.02,2.44,1mo
"April 28, 2022",16.9,17.24,15.91,16.93,53118500,16.93,16.76,0.17,0.01,1.01,1mo
"April 29, 2022",17.78,18.19,16.66,16.7,62812400,16.7,16.93,-0.23,-0.01,-1.36,1mo
"May 02, 2022",16.53,17.5,16.4,17.5,56156200,17.5,16.7,0.8,0.05,4.79,1mo
"May 03, 2022",17.29,17.84,16.95,17.53,44062200,17.53,17.5,0.03,0.0,0.17,1mo
"May 04, 2022",17.18,18.22,16.72,18.13,53869900,18.13,17.53,0.6,0.03,3.42,1mo
"May 05, 2022",17.41,17.52,14.87,15.38,95761700,15.38,18.13,-2.75,-0.15,-15.17,1mo
"May 06, 2022",15.61,15.81,14.46,14.92,57479800,14.92,15.38,-0.46,-0.03,-2.99,1mo
"May 09, 2022",14.33,14.53,13.48,13.55,63121000,13.55,14.92,-1.37,-0.09,-9.18,1mo
"May 10, 2022",14.26,14.68,12.86,13.44,77181800,13.44,13.55,-0.11,-0.01,-0.81,1mo
"May 11, 2022",13.79,14.36,12.64,12.71,86081300,12.71,13.44,-0.73,-0.05,-5.43,1mo
"May 12, 2022",12.48,13.75,11.67,13.1,83180600,13.1,12.71,0.39,0.03,3.07,1mo
"May 13, 2022",13.7,14.41,13.54,14.31,63361500,14.31,13.1,1.21,0.09,9.24,1mo
"May 16, 2022",14.81,15.43,14.28,14.55,82270000,14.55,14.31,0.24,0.02,1.68,1mo
"May 17, 2022",15.31,16.69,15.26,16.63,93233100,16.63,14.55,2.08,0.14,14.3,1mo
"May 18, 2022",16.29,16.93,15.66,15.83,72668900,15.83,16.63,-0.8,-0.05,-4.81,1mo
