Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2018-09-10,6.0,13.8,5.35,9.9,397669100,9.9,,,,,1wk
2018-09-17,9.61,9.75,7.54,8.59,201851500,8.59,9.9,-1.31,-0.13,-13.23,1wk
2018-09-24,8.32,8.39,6.68,6.98,84924700,6.98,8.59,-1.61,-0.19,-18.74,1wk
2018-10-01,7.06,7.08,5.87,6.26,69395200,6.26,6.98,-0.72,-0.1,-10.32,1wk
2018-10-08,6.07,8.35,5.95,7.46,162219700,7.46,6.26,1.2,0.19,19.17,1wk
2018-10-15,7.86,8.3,7.22,7.32,75219700,7.32,7.46,-0.14,-0.02,-1.88,1wk
2018-10-22,7.68,7.69,6.13,6.35,61097800,6.35,7.32,-0.97,-0.13,-13.25,1wk
2018-10-29,6.53,6.84,5.62,6.49,95384600,6.49,6.35,0.14,0.02,2.2,1wk
2018-11-05,6.52,7.32,6.15,6.77,120106800,6.77,6.49,0.28,0.04,4.31,1wk
2018-11-12,6.72,7.65,6.56,7.19,90544800,7.19,6.77,0.42,0.06,6.2,1wk
2018-11-19,7.38,8.21,7.15,7.46,98208300,7.46,7.19,0.27,0.04,3.76,1wk
2018-11-26,7.61,8.15,7.16,7.71,67549000,7.71,7.46,0.25,0.03,3.35,1wk
2018-12-03,8.1,8.13,6.72,6.99,70314400,6.99,7.71,-0.72,-0.09,-9.34,1wk
2018-12-10,7.03,7.9,6.74,7.7,59838700,7.7,6.99,0.71,0.1,10.16,1wk
2018-12-17,7.63,7.64,6.06,6.07,63796600,6.07,7.7,-1.63,-0.21,-21.17,1wk
2018-12-24,6.0,6.56,5.84,6.47,35276500,6.47,6.07,0.4,0.07,6.59,1wk
2018-12-31,6.56,6.57,6.0,6.36,34459500,6.36,6.47,-0.11,-0.02,-1.7,1wk
2019-01-07,6.41,6.73,6.17,6.59,48926100,6.59,6.36,0.23,0.04,3.62,1wk
2019-01-14,6.51,7.15,6.37,6.71,56778100,6.71,6.59,0.12,0.02,1.82,1wk
2019-01-21,6.63,6.79,6.47,6.65,24709200,6.65,6.71,-0.06,-0.01,-0.89,1wk
2019-01-28,6.56,8.11,6.48,7.9,90108800,7.9,6.65,1.25,0.19,18.8,1wk
2019-02-04,7.96,8.59,7.28,7.67,95927400,7.67,7.9,-0.23,-0.03,-2.91,1wk
2019-02-11,7.67,7.78,7.14,7.41,64231100,7.41,7.67,-0.26,-0.03,-3.39,1wk
2019-02-18,7.4,8.22,7.21,8.17,66130900,8.17,7.41,0.76,0.1,10.26,1wk
2019-02-25,9.04,10.64,8.6,10.06,270596500,10.06,8.17,1.89,0.23,23.13,1wk
2019-03-04,10.32,10.63,6.85,7.06,255467000,7.06,10.06,-3.0,-0.3,-29.82,1wk
