Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-04 09:30:00,23.31,23.9,22.78,23.48,24815506,23.48,,,,,30min
2022-04-04 10:00:00,23.47,23.72,23.16,23.22,11775580,23.22,23.48,-0.26,-0.01,-1.11,30min
2022-04-04 10:30:00,23.23,23.83,22.93,23.76,12179361,23.76,23.22,0.54,0.02,2.33,30min
2022-04-04 11:00:00,23.76,23.9,23.43,23.59,11229090,23.59,23.76,-0.17,-0.01,-0.7,30min
2022-04-04 11:30:00,23.6,23.87,23.59,23.71,6372317,23.71,23.59,0.11,0.0,0.49,30min
2022-04-04 12:00:00,23.7,23.79,23.6,23.75,3191209,23.75,23.71,0.04,0.0,0.17,30min
2022-04-04 12:30:00,23.74,23.89,23.66,23.88,3723041,23.88,23.75,0.13,0.01,0.56,30min
2022-04-04 13:00:00,23.88,23.94,23.61,23.72,5653517,23.72,23.88,-0.16,-0.01,-0.68,30min
2022-04-04 13:30:00,23.73,23.73,23.46,23.49,4419853,23.49,23.72,-0.23,-0.01,-0.99,30min
2022-04-04 14:00:00,23.48,23.72,23.45,23.67,3315876,23.67,23.49,0.19,0.01,0.8,30min
2022-04-04 14:30:00,23.67,23.86,23.61,23.74,3854424,23.74,23.67,0.07,0.0,0.28,30min
2022-04-04 15:00:00,23.74,23.82,23.67,23.75,3017012,23.75,23.74,0.01,0.0,0.04,30min
2022-04-04 15:30:00,23.75,23.85,23.67,23.84,6039592,23.84,23.75,0.09,0.0,0.38,30min
2022-04-04 16:00:00,23.85,23.85,23.85,23.85,0,23.85,23.84,0.01,0.0,0.04,30min
