Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-14,30.28,31.32,30.08,30.95,34862600,30.95,,,,,3mo,0,25.69
2022-01-18,30.03,30.91,29.6,29.61,33258200,29.61,30.95,-1.34,-0.04,-4.33,3mo,1,25.58
2022-01-19,29.72,30.15,28.61,28.63,34011800,28.63,29.61,-0.98,-0.03,-3.31,3mo,2,25.46
2022-01-20,29.46,30.88,29.05,29.13,45217100,29.13,28.63,0.5,0.02,1.75,3mo,3,25.35
2022-01-21,28.98,28.99,27.22,27.35,60210500,27.35,29.13,-1.78,-0.06,-6.11,3mo,4,25.23
2022-01-24,25.73,25.98,23.1,24.87,94119800,24.87,27.35,-2.48,-0.09,-9.07,3mo,5,25.12
2022-01-25,24.16,25.01,23.38,23.79,53047000,23.79,24.87,-1.08,-0.04,-4.34,3mo,6,25.0
2022-01-26,24.6,24.78,22.53,22.66,72125700,22.66,23.79,-1.13,-0.05,-4.75,3mo,7,24.89
2022-01-27,22.8,22.81,20.96,21.11,78287900,21.11,22.66,-1.55,-0.07,-6.84,3mo,8,24.77
2022-01-28,20.66,21.32,19.31,20.9,96701100,20.9,21.11,-0.21,-0.01,-0.99,3mo,9,24.66
2022-01-31,21.73,24.64,21.6,24.51,96028800,24.51,20.9,3.61,0.17,17.27,3mo,10,24.54
2022-02-01,24.89,25.23,23.56,24.84,81994300,24.84,24.51,0.33,0.01,1.35,3mo,11,24.43
2022-02-02,24.89,24.89,23.01,23.76,60475400,23.76,24.84,-1.08,-0.04,-4.35,3mo,12,24.31
2022-02-03,22.96,24.62,22.95,23.13,55361300,23.13,23.76,-0.63,-0.03,-2.65,3mo,13,24.2
2022-02-04,23.46,24.32,22.73,23.96,45771700,23.96,23.13,0.83,0.04,3.59,3mo,14,24.08
2022-02-07,23.78,24.78,23.53,23.99,39661800,23.99,23.96,0.03,0.0,0.13,3mo,15,23.97
2022-02-08,23.99,24.86,23.54,24.69,42607200,24.69,23.99,0.7,0.03,2.92,3mo,16,23.85
2022-02-09,25.45,26.24,25.05,26.1,56547700,26.1,24.69,1.41,0.06,5.71,3mo,17,23.74
2022-02-10,25.05,26.41,25.02,25.35,54337700,25.35,26.1,-0.75,-0.03,-2.87,3mo,18,23.62
2022-02-11,24.99,25.68,23.7,24.1,47870100,24.1,25.35,-1.25,-0.05,-4.93,3mo,19,23.51
2022-02-14,23.76,24.54,23.34,23.79,41441600,23.79,24.1,-0.31,-0.01,-1.29,3mo,20,23.39
2022-02-15,24.31,25.84,24.2,25.79,47215200,25.79,23.79,2.0,0.08,8.41,3mo,21,23.28
2022-02-16,25.4,25.84,25.05,25.61,32627200,25.61,25.79,-0.18,-0.01,-0.7,3mo,22,23.16
2022-02-17,25.24,26.27,24.65,24.72,34541600,24.72,25.61,-0.89,-0.03,-3.48,3mo,23,23.05
2022-02-18,24.78,24.79,22.74,23.21,52112700,23.21,24.72,-1.51,-0.06,-6.11,3mo,24,22.93
2022-02-22,22.36,22.96,21.32,21.77,56038200,21.77,23.21,-1.44,-0.06,-6.2,3mo,25,22.82
2022-02-23,22.02,22.5,20.45,20.46,49465100,20.46,21.77,-1.31,-0.06,-6.02,3mo,26,22.7
2022-02-24,18.5,21.31,18.47,21.22,77198400,21.22,20.46,0.76,0.04,3.71,3mo,27,22.59
2022-02-25,21.33,21.57,20.19,20.94,56994000,20.94,21.22,-0.28,-0.01,-1.32,3mo,28,22.47
2022-02-28,21.43,23.15,20.94,22.84,83996600,22.84,20.94,1.9,0.09,9.07,3mo,29,22.36
2022-03-01,22.56,23.35,21.73,21.87,50402000,21.87,22.84,-0.97,-0.04,-4.25,3mo,30,22.24
2022-03-02,21.9,22.21,20.63,21.77,47212000,21.77,21.87,-0.1,-0.0,-0.46,3mo,31,22.13
2022-03-03,21.73,21.81,19.72,19.88,69419400,19.88,21.77,-1.89,-0.09,-8.68,3mo,32,22.01
2022-03-04,20.09,20.29,18.55,18.63,68403300,18.63,19.88,-1.25,-0.06,-6.29,3mo,33,21.9
2022-03-07,18.85,20.03,18.04,18.12,79649600,18.12,18.63,-0.51,-0.03,-2.74,3mo,34,21.78
2022-03-08,18.23,18.75,17.58,17.98,74932400,17.98,18.12,-0.14,-0.01,-0.77,3mo,35,21.67
2022-03-09,18.56,20.55,18.51,20.17,84306700,20.17,17.98,2.19,0.12,12.18,3mo,36,21.55
2022-03-10,19.0,19.1,17.22,17.77,105883600,17.77,20.17,-2.4,-0.12,-11.9,3mo,37,21.44
2022-03-11,18.11,18.13,16.07,16.07,93265200,16.07,17.77,-1.7,-0.1,-9.57,3mo,38,21.32
2022-03-14,15.09,15.74,13.82,14.1,115290300,14.1,16.07,-1.97,-0.12,-12.26,3mo,39,21.21
2022-03-15,13.48,15.35,13.01,14.93,139771600,14.93,14.1,0.83,0.06,5.89,3mo,40,21.09
2022-03-16,17.64,18.77,16.78,18.75,168011700,18.75,14.93,3.82,0.26,25.59,3mo,41,20.98
2022-03-17,17.93,18.83,17.44,18.82,93328900,18.82,18.75,0.07,0.0,0.37,3mo,42,20.86
2022-03-18,18.83,21.24,18.55,20.86,128531700,20.86,18.82,2.04,0.11,10.84,3mo,43,20.75
2022-03-21,20.75,21.2,19.33,20.26,89586400,20.26,20.86,-0.6,-0.03,-2.88,3mo,44,20.63
2022-03-22,20.84,22.09,20.59,21.77,79808500,21.77,20.26,1.51,0.07,7.45,3mo,45,20.52
2022-03-23,21.6,22.6,20.89,21.87,88922000,21.87,21.77,0.1,0.0,0.46,3mo,46,20.4
2022-03-24,22.0,22.12,20.66,21.98,97155000,21.98,21.87,0.11,0.01,0.5,3mo,47,20.29
2022-03-25,20.31,20.75,19.35,19.91,106936200,19.91,21.98,-2.07,-0.09,-9.42,3mo,48,20.17
2022-03-28,20.42,21.23,20.32,21.21,75247200,21.21,19.91,1.3,0.07,6.53,3mo,49,20.06
2022-03-29,21.58,21.96,21.02,21.88,65946100,21.88,21.21,0.67,0.03,3.16,3mo,50,19.94
2022-03-30,21.83,23.86,21.63,22.17,114646500,22.17,21.88,0.29,0.01,1.33,3mo,51,19.83
2022-03-31,22.28,22.28,20.76,21.05,77641400,21.05,22.17,-1.12,-0.05,-5.05,3mo,52,19.71
2022-04-01,22.41,23.22,21.56,21.93,109846100,21.93,21.05,0.88,0.04,4.18,3mo,53,19.6
2022-04-04,23.31,23.94,22.78,23.85,101280500,23.85,21.93,1.92,0.09,8.76,3mo,54,19.48
2022-04-05,23.97,23.98,22.44,22.47,69772000,22.47,23.85,-1.38,-0.06,-5.79,3mo,55,19.37
2022-04-06,22.04,22.08,20.93,21.68,73501100,21.68,22.47,-0.79,-0.04,-3.52,3mo,56,19.25
2022-04-07,21.49,21.68,19.73,20.36,82617000,20.36,21.68,-1.32,-0.06,-6.09,3mo,57,19.14
2022-04-08,20.11,20.71,19.83,20.0,59475800,20.0,20.36,-0.36,-0.02,-1.77,3mo,58,19.02
2022-04-11,18.05,20.07,17.77,19.7,93693800,19.7,20.0,-0.3,-0.01,-1.5,3mo,59,18.91
2022-04-12,20.03,20.27,19.22,19.46,51210800,19.46,19.7,-0.24,-0.01,-1.22,3mo,60,18.79
2022-04-13,19.55,20.56,19.03,20.42,56987000,20.42,19.46,0.96,0.05,4.93,3mo,61,18.68
