ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-09-12,6.230572630710498,2.4834104850951046,10.223485096251549,6.230572630710498,6.230572630710498,-0.053264262657515715,-0.053264262657515715,-0.053264262657515715,-0.017192109335642514,-0.017192109335642514,-0.017192109335642514,-0.036072153321873204,-0.036072153321873204,-0.036072153321873204,0.0,0.0,0.0,6.177308368052982
2018-09-13,6.231464936646658,2.0799040022201956,9.984232091196489,6.231464936646658,6.231464936646658,-0.09353049803775526,-0.09353049803775526,-0.09353049803775526,-0.02388429395662573,-0.02388429395662573,-0.02388429395662573,-0.06964620408112952,-0.06964620408112952,-0.06964620408112952,0.0,0.0,0.0,6.1379344386089025
2018-09-14,6.232357242582818,2.1966013904758777,9.794384566612882,6.232357242582818,6.232357242582818,-0.29098139709686033,-0.29098139709686033,-0.29098139709686033,-0.1756226511568875,-0.1756226511568875,-0.1756226511568875,-0.11535874593997278,-0.11535874593997278,-0.11535874593997278,0.0,0.0,0.0,5.9413758454859575
2018-09-17,6.235034160391298,2.0192734050095154,9.493784371782937,6.235034160391298,6.235034160391298,-0.40261913232738117,-0.40261913232738117,-0.40261913232738117,-0.08051447063409153,-0.08051447063409153,-0.08051447063409153,-0.3221046616932896,-0.3221046616932896,-0.3221046616932896,0.0,0.0,0.0,5.832415028063917
2018-09-18,6.235926466327458,2.2345041250284785,9.830744776133328,6.235926466327458,6.235926466327458,-0.38965452884146523,-0.38965452884146523,-0.38965452884146523,0.022086194370772663,0.022086194370772663,0.022086194370772663,-0.41174072321223787,-0.41174072321223787,-0.41174072321223787,0.0,0.0,0.0,5.846271937485993
2018-09-19,6.236818772263618,1.7167162129984053,9.515528145826009,6.236818772263618,6.236818772263618,-0.5270104031227513,-0.5270104031227513,-0.5270104031227513,-0.017192109335510207,-0.017192109335510207,-0.017192109335510207,-0.509818293787241,-0.509818293787241,-0.509818293787241,0.0,0.0,0.0,5.709808369140867
2018-09-20,6.237711078199778,1.6410947977165327,9.120257877963914,6.237711078199778,6.237711078199778,-0.6386987409952731,-0.6386987409952731,-0.6386987409952731,-0.023884293956430398,-0.023884293956430398,-0.023884293956430398,-0.6148144470388427,-0.6148144470388427,-0.6148144470388427,0.0,0.0,0.0,5.599012337204505
2018-09-21,6.2386033841359385,1.3919819196691245,8.97227364887717,6.2386033841359385,6.2386033841359385,-0.9006169829009479,-0.9006169829009479,-0.9006169829009479,-0.17562265115702166,-0.17562265115702166,-0.17562265115702166,-0.7249943317439262,-0.7249943317439262,-0.7249943317439262,0.0,0.0,0.0,5.337986401234991
2018-09-24,6.2412803019444185,1.1066500042843948,9.256080759513894,6.2412803019444185,6.2412803019444185,-1.1473636059521652,-1.1473636059521652,-1.1473636059521652,-0.08051447063402845,-0.08051447063402845,-0.08051447063402845,-1.0668491353181366,-1.0668491353181366,-1.0668491353181366,0.0,0.0,0.0,5.093916695992253
2018-09-25,6.242172607880579,1.0286362864377139,8.940867587195333,6.242172607880579,6.242172607880579,-1.1553666800195312,-1.1553666800195312,-1.1553666800195312,0.02208619437094058,0.02208619437094058,0.02208619437094058,-1.1774528743904717,-1.1774528743904717,-1.1774528743904717,0.0,0.0,0.0,5.086805927861048
