Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1980-12-02,0.18,0.18,0.18,0.18,100710400,0.13,,,,,1d
1980-12-03,0.18,0.18,0.18,0.18,25177600,0.13,0.13,-0.0,-0.02,-2.17,1d
1980-12-04,0.18,0.18,0.18,0.18,22694400,0.13,0.13,0.0,0.03,3.33,1d
1980-12-05,0.18,0.18,0.17,0.17,7590400,0.13,0.13,-0.01,-0.05,-5.38,1d
1980-12-08,0.16,0.16,0.16,0.16,5414400,0.12,0.13,-0.01,-0.06,-5.68,1d
1980-12-09,0.16,0.16,0.16,0.16,5824000,0.12,0.12,-0.0,-0.02,-2.41,1d
1980-12-10,0.15,0.15,0.15,0.15,5875200,0.11,0.12,-0.01,-0.06,-6.17,1d
1980-12-11,0.14,0.14,0.14,0.14,5440000,0.1,0.11,-0.01,-0.05,-5.26,1d
1980-12-12,0.15,0.15,0.15,0.15,8153600,0.11,0.1,0.0,0.04,4.17,1d
1980-12-15,0.15,0.15,0.15,0.15,6643200,0.11,0.11,0.0,0.04,4.0,1d
1980-12-16,0.15,0.15,0.15,0.15,6630400,0.11,0.11,-0.0,-0.03,-2.56,1d
1980-12-17,0.15,0.15,0.14,0.14,4672000,0.1,0.11,-0.0,-0.04,-3.95,1d
1980-12-18,0.15,0.15,0.15,0.15,11251200,0.11,0.1,0.0,0.03,2.74,1d
1980-12-19,0.15,0.15,0.15,0.15,10035200,0.11,0.11,0.0,0.04,4.0,1d
1980-12-22,0.15,0.16,0.15,0.15,1856000,0.11,0.11,0.0,0.0,0.0,1d
1980-12-23,0.16,0.16,0.16,0.16,5696000,0.11,0.11,0.0,0.03,2.56,1d
1980-12-24,0.16,0.17,0.16,0.16,2444800,0.12,0.11,0.0,0.04,3.75,1d
1980-12-26,0.16,0.17,0.16,0.16,1459200,0.12,0.12,0.0,0.01,1.21,1d
1980-12-29,0.16,0.17,0.16,0.16,1740800,0.12,0.12,-0.0,-0.01,-1.19,1d
1980-12-30,0.17,0.17,0.17,0.17,4364800,0.12,0.12,0.0,0.02,2.41,1d
1980-12-31,0.17,0.17,0.16,0.16,2918400,0.12,0.12,-0.0,-0.01,-1.18,1d
1981-01-02,0.17,0.17,0.17,0.17,1574400,0.12,0.12,0.0,0.02,2.38,1d
1981-01-05,0.17,0.18,0.17,0.17,5824000,0.13,0.12,0.0,0.04,4.07,1d
