Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",167.53,167.91,164.0,164.53,1057225,164.53,,,,,1hr
"January 03, 2022 10:30 AM",164.42,164.49,163.33,163.76,589643,163.76,164.53,-0.77,-0.0,-0.47,1hr
"January 03, 2022 11:30 AM",163.72,163.97,163.38,163.68,406654,163.68,163.76,-0.08,-0.0,-0.05,1hr
"January 03, 2022 12:30 PM",163.66,163.73,163.31,163.32,376684,163.32,163.68,-0.36,-0.0,-0.22,1hr
"January 03, 2022 01:30 PM",163.32,163.91,163.32,163.91,378677,163.91,163.32,0.59,0.0,0.36,1hr
"January 03, 2022 02:30 PM",163.88,164.48,163.8,164.28,617002,164.28,163.91,0.37,0.0,0.23,1hr
"January 03, 2022 03:30 PM",164.29,164.8,164.25,164.67,1020174,164.67,164.28,0.39,0.0,0.24,1hr
"January 04, 2022 09:30 AM",165.88,166.85,165.0,165.8,1139808,165.8,164.67,1.13,0.01,0.69,1hr
"January 04, 2022 10:30 AM",165.8,166.24,165.09,166.01,711159,166.01,165.8,0.21,0.0,0.13,1hr
"January 04, 2022 11:30 AM",165.99,166.63,165.66,166.51,517074,166.51,166.01,0.5,0.0,0.3,1hr
"January 04, 2022 12:30 PM",166.46,166.63,166.12,166.48,365055,166.48,166.51,-0.03,-0.0,-0.02,1hr
"January 04, 2022 01:30 PM",166.47,166.73,166.05,166.41,1059598,166.41,166.48,-0.07,-0.0,-0.04,1hr
"January 04, 2022 02:30 PM",166.4,167.18,166.38,166.75,556007,166.75,166.41,0.34,0.0,0.2,1hr
"January 04, 2022 03:30 PM",166.76,166.96,166.35,166.37,630381,166.37,166.75,-0.38,-0.0,-0.23,1hr
"January 05, 2022 09:30 AM",166.49,167.01,164.77,165.17,595418,165.17,166.37,-1.2,-0.01,-0.72,1hr
"January 05, 2022 10:30 AM",165.14,165.53,164.77,165.38,307290,165.38,165.17,0.21,0.0,0.12,1hr
"January 05, 2022 11:30 AM",165.38,165.45,164.71,164.76,289015,164.76,165.38,-0.62,-0.0,-0.37,1hr
"January 05, 2022 12:30 PM",164.77,164.77,163.93,164.57,359432,164.57,164.76,-0.19,-0.0,-0.12,1hr
"January 05, 2022 01:30 PM",164.58,164.85,163.37,163.54,415259,163.54,164.57,-1.03,-0.01,-0.62,1hr
"January 05, 2022 02:30 PM",163.55,163.62,162.1,163.04,692729,163.04,163.54,-0.5,-0.0,-0.31,1hr
"January 05, 2022 03:30 PM",163.04,163.41,162.16,162.27,882383,162.27,163.04,-0.77,-0.0,-0.47,1hr
"January 06, 2022 09:30 AM",162.09,162.38,159.06,161.12,1099413,161.12,162.27,-1.15,-0.01,-0.71,1hr
"January 06, 2022 10:30 AM",161.12,162.38,161.12,162.21,631756,162.21,161.12,1.09,0.01,0.68,1hr
"January 06, 2022 11:30 AM",162.2,162.68,161.62,162.68,349047,162.68,162.21,0.47,0.0,0.29,1hr
"January 06, 2022 12:30 PM",162.66,163.19,162.01,162.23,306312,162.23,162.68,-0.45,-0.0,-0.28,1hr
"January 06, 2022 01:30 PM",162.25,162.45,161.84,161.96,271100,161.96,162.23,-0.27,-0.0,-0.17,1hr
"January 06, 2022 02:30 PM",161.94,162.06,161.29,161.56,325176,161.56,161.96,-0.4,-0.0,-0.25,1hr
"January 06, 2022 03:30 PM",161.57,161.61,161.03,161.04,535919,161.04,161.56,-0.52,-0.0,-0.32,1hr
"January 07, 2022 09:30 AM",160.77,161.14,159.07,159.19,634806,159.19,161.04,-1.85,-0.01,-1.15,1hr
"January 07, 2022 10:30 AM",159.14,159.6,158.05,158.97,684700,158.97,159.19,-0.22,-0.0,-0.14,1hr
"January 07, 2022 11:30 AM",158.96,159.19,158.14,158.21,586903,158.21,158.97,-0.76,-0.0,-0.48,1hr
"January 07, 2022 12:30 PM",158.2,158.35,157.62,157.65,739130,157.65,158.21,-0.56,-0.0,-0.35,1hr
"January 07, 2022 01:30 PM",157.62,157.88,157.31,157.45,486954,157.45,157.65,-0.2,-0.0,-0.13,1hr
"January 07, 2022 02:30 PM",157.43,158.08,157.23,157.43,425287,157.43,157.45,-0.02,-0.0,-0.01,1hr
"January 07, 2022 03:30 PM",157.41,157.54,156.86,156.97,816971,156.97,157.43,-0.46,-0.0,-0.29,1hr
"January 10, 2022 09:30 AM",150.52,151.33,149.49,150.42,3035937,150.42,156.97,-6.55,-0.04,-4.17,1hr
"January 10, 2022 10:30 AM",150.4,151.1,149.85,151.08,1131084,151.08,150.42,0.66,0.0,0.44,1hr
