Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",112.5,113.36,112.49,112.8,223524,112.8,,,,,1min,0,113.04
"May 18, 2022 09:31 AM",112.86,112.94,112.39,112.47,52730,112.47,112.8,-0.33,-0.0,-0.29,1min,1,113.03
"May 18, 2022 09:32 AM",112.4,112.65,112.3,112.58,27397,112.58,112.47,0.11,0.0,0.1,1min,2,113.02
"May 18, 2022 09:33 AM",112.58,113.0,112.49,112.94,24030,112.94,112.58,0.36,0.0,0.32,1min,3,113.01
"May 18, 2022 09:34 AM",112.97,113.21,112.47,112.47,33200,112.47,112.94,-0.47,-0.0,-0.42,1min,4,112.99
"May 18, 2022 09:35 AM",112.46,112.83,112.44,112.83,15202,112.83,112.47,0.36,0.0,0.32,1min,5,112.98
"May 18, 2022 09:36 AM",112.88,113.1,112.76,113.06,21171,113.06,112.83,0.23,0.0,0.2,1min,6,112.97
"May 18, 2022 09:37 AM",113.05,113.13,112.6,112.71,15295,112.71,113.06,-0.35,-0.0,-0.31,1min,7,112.96
"May 18, 2022 09:38 AM",112.74,112.88,112.73,112.8,14866,112.8,112.71,0.09,0.0,0.08,1min,8,112.95
"May 18, 2022 09:39 AM",112.78,112.83,112.41,112.63,28065,112.63,112.8,-0.17,-0.0,-0.15,1min,9,112.94
"May 18, 2022 09:40 AM",112.61,112.82,112.37,112.82,25538,112.82,112.63,0.19,0.0,0.17,1min,10,112.93
"May 18, 2022 09:41 AM",112.79,113.13,112.72,112.79,17376,112.79,112.82,-0.03,-0.0,-0.03,1min,11,112.92
"May 18, 2022 09:42 AM",112.77,112.8,112.41,112.53,32189,112.53,112.79,-0.26,-0.0,-0.23,1min,12,112.91
"May 18, 2022 09:43 AM",112.57,112.58,112.35,112.5,47006,112.5,112.53,-0.03,-0.0,-0.03,1min,13,112.9
"May 18, 2022 09:44 AM",112.5,112.7,112.43,112.55,31590,112.55,112.5,0.05,0.0,0.04,1min,14,112.88
"May 18, 2022 09:45 AM",112.51,112.68,112.49,112.63,20326,112.63,112.55,0.08,0.0,0.07,1min,15,112.87
"May 18, 2022 09:46 AM",112.61,112.61,112.39,112.49,11661,112.49,112.63,-0.14,-0.0,-0.12,1min,16,112.86
"May 18, 2022 09:47 AM",112.5,112.7,112.46,112.58,10331,112.58,112.49,0.09,0.0,0.08,1min,17,112.85
"May 18, 2022 09:48 AM",112.54,112.6,112.33,112.41,10085,112.41,112.58,-0.17,-0.0,-0.15,1min,18,112.84
"May 18, 2022 09:49 AM",112.44,112.5,112.24,112.39,38074,112.39,112.41,-0.02,-0.0,-0.02,1min,19,112.83
"May 18, 2022 09:50 AM",112.45,112.45,112.2,112.29,21940,112.29,112.39,-0.1,-0.0,-0.09,1min,20,112.82
"May 18, 2022 09:51 AM",112.28,112.7,112.23,112.57,15201,112.57,112.29,0.29,0.0,0.26,1min,21,112.81
"May 18, 2022 09:52 AM",112.52,112.69,112.49,112.69,13224,112.69,112.57,0.12,0.0,0.1,1min,22,112.8
"May 18, 2022 09:53 AM",112.71,112.95,112.67,112.75,13858,112.75,112.69,0.06,0.0,0.05,1min,23,112.79
"May 18, 2022 09:54 AM",112.68,112.77,112.54,112.73,8658,112.73,112.75,-0.02,-0.0,-0.02,1min,24,112.78
"May 18, 2022 09:55 AM",112.71,112.75,112.59,112.59,13456,112.59,112.73,-0.14,-0.0,-0.12,1min,25,112.76
