Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",133.09,137.48,132.78,137.05,7346100,137.05,,,,,1mo
"April 20, 2022",137.96,138.65,135.66,135.87,5309700,135.87,137.05,-1.18,-0.01,-0.86,1mo
"April 21, 2022",138.55,139.14,135.08,135.46,6562400,135.46,135.87,-0.41,-0.0,-0.3,1mo
"April 22, 2022",134.33,134.93,128.71,129.07,7321700,129.07,135.46,-6.39,-0.05,-4.72,1mo
"April 25, 2022",127.8,128.94,124.85,127.94,6512500,127.94,129.07,-1.13,-0.01,-0.88,1mo
"April 26, 2022",126.95,127.59,120.48,120.52,7977900,120.52,127.94,-7.42,-0.06,-5.8,1mo
"April 27, 2022",121.09,124.0,121.09,121.24,6007800,121.24,120.52,0.72,0.01,0.6,1mo
"April 28, 2022",123.17,127.97,122.6,127.05,6551600,127.05,121.24,5.81,0.05,4.79,1mo
"April 29, 2022",126.22,128.45,124.25,124.7,5866300,124.7,127.05,-2.35,-0.02,-1.85,1mo
"May 02, 2022",124.43,126.18,122.8,126.08,5428400,126.08,124.7,1.38,0.01,1.11,1mo
"May 03, 2022",125.02,125.76,120.22,122.86,8201200,122.86,126.08,-3.22,-0.03,-2.55,1mo
"May 04, 2022",122.54,126.2,120.08,126.06,6924000,126.06,122.86,3.2,0.03,2.6,1mo
"May 05, 2022",124.11,124.75,116.52,118.63,8411600,118.63,126.06,-7.43,-0.06,-5.89,1mo
"May 06, 2022",113.74,115.9,110.66,114.49,11237100,114.49,118.63,-4.14,-0.03,-3.49,1mo
"May 09, 2022",112.97,114.43,110.59,111.21,7506000,111.21,114.49,-3.28,-0.03,-2.86,1mo
"May 10, 2022",113.03,113.44,108.35,109.49,7526900,109.49,111.21,-1.72,-0.02,-1.55,1mo
"May 11, 2022",110.7,111.15,107.59,107.92,6611800,107.92,109.49,-1.57,-0.01,-1.43,1mo
"May 12, 2022",105.18,109.88,105.0,107.9,10245400,107.9,107.92,-0.02,-0.0,-0.02,1mo
"May 13, 2022",110.26,113.11,108.67,113.01,9618300,113.01,107.9,5.11,0.05,4.74,1mo
"May 16, 2022",112.98,113.44,111.56,112.6,5722500,112.6,113.01,-0.41,-0.0,-0.36,1mo
"May 17, 2022",115.5,117.1,113.07,115.9,6026100,115.9,112.6,3.3,0.03,2.93,1mo
"May 18, 2022",112.5,113.36,108.78,109.37,8183600,109.37,115.9,-6.53,-0.06,-5.63,1mo
