Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1980-12-01,0.18,0.18,0.17,0.17,156172800.0,0.13,,,,,1wk
1980-12-08,0.16,0.16,0.14,0.15,30707200.0,0.11,0.13,-0.02,-0.15,-14.77,1wk
1980-12-15,0.15,0.15,0.14,0.15,39232000.0,0.11,0.11,0.0,0.04,4.0,1wk
1980-12-22,0.15,0.17,0.15,0.16,11456000.0,0.12,0.11,0.01,0.08,7.69,1wk
1980-12-29,0.16,0.17,0.16,0.17,10598400.0,0.12,0.12,0.0,0.02,2.38,1wk
1981-01-05,0.17,0.18,0.16,0.16,27353600.0,0.12,0.12,-0.01,-0.05,-4.65,1wk
1981-01-12,0.16,0.18,0.16,0.17,21593600.0,0.13,0.12,0.01,0.07,7.32,1wk
1981-01-19,0.17,0.17,0.16,0.16,11225600.0,0.12,0.13,-0.01,-0.07,-6.82,1wk
1981-01-26,0.16,0.16,0.15,0.15,6502400.0,0.11,0.12,-0.01,-0.06,-6.1,1wk
1981-02-02,0.15,0.15,0.15,0.15,10355200.0,0.11,0.11,0.0,0.0,0.0,1wk
1981-02-09,0.15,0.15,0.14,0.14,5708800.0,0.1,0.11,-0.01,-0.06,-6.49,1wk
1981-02-16,0.14,0.15,0.14,0.15,6425600.0,0.11,0.1,0.0,0.04,4.17,1wk
1981-02-23,0.15,0.16,0.15,0.15,4684800.0,0.11,0.11,0.0,0.03,2.67,1wk
1981-03-02,0.15,0.16,0.15,0.15,9536000.0,0.11,0.11,0.0,0.0,0.0,1wk
1981-03-09,0.15,0.15,0.14,0.14,8870400.0,0.1,0.11,-0.01,-0.05,-5.2,1wk
1981-03-16,0.14,0.14,0.13,0.14,9062400.0,0.1,0.1,-0.0,-0.04,-4.11,1wk
1981-03-23,0.14,0.14,0.14,0.14,11968000.0,0.1,0.1,0.0,0.03,2.86,1wk
1981-03-30,0.14,0.16,0.14,0.16,16422400.0,0.12,0.1,0.01,0.14,13.89,1wk
1981-04-06,0.16,0.17,0.16,0.17,16320000.0,0.12,0.12,0.01,0.06,6.1,1wk
1981-04-13,0.17,0.18,0.16,0.17,25177600.0,0.13,0.12,0.0,0.02,2.3,1wk
1981-04-20,0.17,0.18,0.17,0.17,23283200.0,0.12,0.13,-0.01,-0.04,-4.49,1wk
1981-04-27,0.17,0.17,0.16,0.16,6425600.0,0.12,0.12,-0.0,-0.02,-2.35,1wk
1981-05-04,0.16,0.17,0.16,0.16,6131200.0,0.12,0.12,-0.0,-0.01,-1.2,1wk
1981-05-11,0.16,0.17,0.16,0.16,6400000.0,0.12,0.12,-0.0,-0.01,-1.22,1wk
1981-05-18,0.16,0.17,0.16,0.16,8409600.0,0.12,0.12,0.0,0.01,1.23,1wk
1981-05-25,0.16,0.18,0.16,0.18,21555200.0,0.13,0.12,0.01,0.11,10.98,1wk
