Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-06,162.09,163.19,159.06,161.04,4144600,160.67,,,,,3mo,0,151.53
2022-01-07,160.77,161.14,156.86,156.97,5108000,156.61,160.67,-4.06,-0.03,-2.53,3mo,1,151.12
2022-01-10,150.52,151.33,148.78,150.44,10439000,150.1,156.61,-6.52,-0.04,-4.16,3mo,2,150.71
2022-01-11,150.48,150.84,147.6,150.3,8175400,149.96,150.1,-0.14,-0.0,-0.09,3mo,3,150.3
2022-01-12,152.13,153.46,150.74,152.21,6351200,151.86,149.96,1.91,0.01,1.27,3mo,4,149.89
2022-01-13,153.2,153.6,149.02,149.59,4990900,149.25,151.86,-2.61,-0.02,-1.72,3mo,5,149.48
2022-01-14,148.39,148.84,146.85,148.18,6030500,147.84,149.25,-1.41,-0.01,-0.94,3mo,6,149.07
2022-01-18,148.06,148.83,146.3,146.95,6931000,146.62,147.84,-1.23,-0.01,-0.83,3mo,7,148.66
2022-01-19,147.76,149.1,145.02,145.11,4823800,144.78,146.62,-1.84,-0.01,-1.25,3mo,8,148.25
2022-01-20,145.46,147.38,142.5,142.73,5366500,142.41,144.78,-2.37,-0.02,-1.64,3mo,9,147.84
2022-01-21,144.32,146.36,142.85,142.95,7553400,142.62,142.41,0.22,0.0,0.15,3mo,10,147.43
2022-01-24,140.81,146.31,139.56,146.0,9733200,145.67,142.62,3.04,0.02,2.13,3mo,11,147.02
2022-01-25,144.97,147.96,142.51,145.48,8195400,145.15,145.67,-0.52,-0.0,-0.36,3mo,12,146.61
2022-01-26,147.78,148.97,142.73,143.99,7444600,143.66,145.15,-1.49,-0.01,-1.02,3mo,13,146.2
2022-01-27,144.99,147.35,143.58,144.64,6396400,144.31,143.66,0.65,0.0,0.45,3mo,14,145.79
2022-01-28,144.12,146.03,140.61,145.91,6130200,145.58,144.31,1.27,0.01,0.88,3mo,15,145.38
2022-01-31,146.27,148.18,145.22,148.07,6932200,147.73,145.58,2.16,0.01,1.48,3mo,16,144.97
2022-02-01,149.5,149.68,146.8,148.22,6695000,147.88,147.73,0.15,0.0,0.1,3mo,17,144.56
2022-02-02,148.35,149.46,147.53,148.71,5491700,148.37,147.88,0.49,0.0,0.33,3mo,18,144.15
2022-02-03,147.4,148.46,144.97,145.31,5240200,144.98,148.37,-3.39,-0.02,-2.29,3mo,19,143.74
2022-02-04,145.37,146.48,143.64,145.39,4313400,145.06,144.98,0.08,0.0,0.06,3mo,20,143.33
2022-02-07,145.3,146.12,144.22,145.14,3877500,144.81,145.06,-0.25,-0.0,-0.17,3mo,21,142.92
2022-02-08,144.74,145.5,142.3,143.53,5829400,143.2,144.81,-1.61,-0.01,-1.11,3mo,22,142.51
2022-02-09,146.11,147.36,145.67,146.26,4551000,145.93,143.2,2.72,0.02,1.9,3mo,23,142.1
2022-02-10,143.96,147.54,143.85,144.82,5142600,144.49,145.93,-1.44,-0.01,-0.98,3mo,24,141.69
2022-02-11,144.76,145.06,139.56,140.18,6710500,139.86,144.49,-4.63,-0.03,-3.2,3mo,25,141.28
