Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-05 09:30:00,134.04,134.33,133.74,134.28,351627,134.28,,,,,5min
2022-04-05 09:35:00,134.28,134.48,133.29,133.41,148076,133.41,134.28,-0.87,-0.01,-0.65,5min
2022-04-05 09:40:00,133.43,133.61,133.05,133.53,135734,133.53,133.41,0.12,0.0,0.09,5min
2022-04-05 09:45:00,133.53,133.88,133.37,133.54,67765,133.54,133.53,0.01,0.0,0.01,5min
2022-04-05 09:50:00,133.57,133.86,133.4,133.8,198051,133.8,133.54,0.26,0.0,0.19,5min
2022-04-05 09:55:00,133.8,134.22,133.71,134.22,76156,134.22,133.8,0.42,0.0,0.31,5min
2022-04-05 10:00:00,134.22,134.68,134.05,134.5,79042,134.5,134.22,0.28,0.0,0.21,5min
2022-04-05 10:05:00,134.51,134.52,133.87,133.87,91540,133.87,134.5,-0.63,-0.0,-0.47,5min
2022-04-05 10:10:00,133.87,134.15,133.61,133.95,116081,133.95,133.87,0.08,0.0,0.06,5min
2022-04-05 10:15:00,133.94,133.94,133.52,133.59,102925,133.59,133.95,-0.36,-0.0,-0.27,5min
2022-04-05 10:20:00,133.58,133.91,133.45,133.71,117346,133.71,133.59,0.12,0.0,0.09,5min
2022-04-05 10:25:00,133.68,134.11,133.68,133.86,139693,133.86,133.71,0.15,0.0,0.11,5min
2022-04-05 10:30:00,133.83,133.9,133.44,133.48,95803,133.48,133.86,-0.38,-0.0,-0.28,5min
2022-04-05 10:35:00,133.49,133.53,133.02,133.2,56945,133.2,133.48,-0.28,-0.0,-0.21,5min
2022-04-05 10:40:00,133.2,133.25,133.05,133.18,41680,133.18,133.2,-0.01,-0.0,-0.01,5min
2022-04-05 10:45:00,133.17,133.48,133.13,133.35,55679,133.35,133.18,0.17,0.0,0.12,5min
2022-04-05 10:50:00,133.36,133.71,133.2,133.71,41555,133.71,133.35,0.36,0.0,0.27,5min
2022-04-05 10:55:00,133.73,133.81,133.6,133.74,44472,133.74,133.71,0.02,0.0,0.02,5min
2022-04-05 11:00:00,133.77,133.97,133.5,133.61,68923,133.61,133.74,-0.12,-0.0,-0.09,5min
2022-04-05 11:05:00,133.62,133.75,133.46,133.71,53982,133.71,133.61,0.1,0.0,0.07,5min
2022-04-05 11:10:00,133.71,133.97,133.49,133.9,37555,133.9,133.71,0.19,0.0,0.15,5min
2022-04-05 11:15:00,133.93,134.25,133.82,133.92,88613,133.92,133.9,0.01,0.0,0.01,5min
2022-04-05 11:20:00,133.9,134.07,133.88,133.88,35310,133.88,133.92,-0.04,-0.0,-0.03,5min
2022-04-05 11:25:00,133.87,134.08,133.85,133.91,37170,133.91,133.88,0.03,0.0,0.02,5min
2022-04-05 11:30:00,133.86,134.07,133.79,133.95,35672,133.95,133.91,0.04,0.0,0.03,5min
2022-04-05 11:35:00,133.95,133.97,133.46,133.49,34762,133.49,133.95,-0.46,-0.0,-0.35,5min
2022-04-05 11:40:00,133.48,133.61,133.45,133.49,49138,133.49,133.49,0.01,0.0,0.0,5min
2022-04-05 11:45:00,133.49,133.5,133.36,133.44,41626,133.44,133.49,-0.05,-0.0,-0.04,5min
2022-04-05 11:50:00,133.43,133.58,133.25,133.37,63667,133.37,133.44,-0.07,-0.0,-0.05,5min
2022-04-05 11:55:00,133.38,133.45,133.31,133.38,22819,133.38,133.37,0.01,0.0,0.01,5min
2022-04-05 12:00:00,133.37,133.47,133.27,133.34,33634,133.34,133.38,-0.04,-0.0,-0.03,5min
2022-04-05 12:05:00,133.38,133.47,133.32,133.35,81889,133.35,133.34,0.01,0.0,0.01,5min
2022-04-05 12:10:00,133.36,133.37,133.12,133.15,64696,133.15,133.35,-0.2,-0.0,-0.15,5min
2022-04-05 12:15:00,133.14,133.27,132.96,132.96,61929,132.96,133.15,-0.19,-0.0,-0.15,5min
2022-04-05 12:20:00,132.97,133.02,132.82,132.91,34586,132.91,132.96,-0.04,-0.0,-0.03,5min
2022-04-05 12:25:00,132.89,133.15,132.84,133.15,31935,133.15,132.91,0.24,0.0,0.18,5min
2022-04-05 12:30:00,133.13,133.24,133.07,133.16,25996,133.16,133.15,0.01,0.0,0.01,5min
