Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1986-03-12,0.06,0.06,0.06,0.06,393012000,0.05,,,,,1d
1986-03-13,0.06,0.07,0.06,0.06,125290800,0.05,0.05,0.0,0.02,2.44,1d
1986-03-14,0.07,0.07,0.07,0.07,57866400,0.06,0.05,0.0,0.04,3.57,1d
1986-03-17,0.07,0.07,0.07,0.07,28285200,0.06,0.06,-0.0,-0.02,-2.3,1d
1986-03-18,0.06,0.06,0.06,0.06,32335200,0.05,0.06,-0.0,-0.02,-2.35,1d
1986-03-19,0.06,0.06,0.06,0.06,22712400,0.05,0.05,-0.0,-0.02,-2.41,1d
1986-03-20,0.06,0.06,0.06,0.06,17787600,0.05,0.05,0.0,0.0,0.0,1d
1986-03-21,0.06,0.06,0.06,0.06,16232400,0.05,0.05,-0.0,-0.04,-3.7,1d
1986-03-24,0.06,0.06,0.06,0.06,20736000,0.05,0.05,0.0,0.0,0.0,1d
1986-03-25,0.06,0.06,0.06,0.06,21675600,0.05,0.05,0.0,0.0,0.0,1d
1986-03-26,0.06,0.06,0.06,0.06,23328000,0.05,0.05,0.0,0.01,1.28,1d
1986-03-27,0.06,0.06,0.06,0.06,21513600,0.05,0.05,0.0,0.04,3.8,1d
1986-03-31,0.06,0.06,0.06,0.06,9882000,0.05,0.05,0.0,0.01,1.22,1d
1986-04-01,0.06,0.06,0.06,0.06,20314800,0.05,0.05,-0.0,-0.05,-4.82,1d
1986-04-02,0.06,0.06,0.06,0.06,12960000,0.05,0.05,-0.0,-0.01,-1.27,1d
1986-04-03,0.06,0.06,0.06,0.06,11955600,0.05,0.05,0.0,0.04,3.85,1d
1986-04-04,0.06,0.06,0.06,0.06,10659600,0.05,0.05,-0.0,-0.01,-1.24,1d
1986-04-07,0.06,0.06,0.06,0.06,9007200,0.05,0.05,0.0,0.01,1.25,1d
1986-04-08,0.06,0.06,0.06,0.06,15001200,0.05,0.05,0.0,0.0,0.0,1d
1986-04-09,0.06,0.06,0.06,0.06,8942400,0.05,0.05,0.0,0.0,0.0,1d
1986-04-10,0.06,0.06,0.06,0.06,9428400,0.05,0.05,0.0,0.0,0.0,1d
1986-04-11,0.06,0.06,0.06,0.06,18273600,0.05,0.05,0.0,0.02,2.47,1d
1986-04-14,0.06,0.06,0.06,0.06,46785600,0.05,0.05,0.0,0.0,0.0,1d
1986-04-15,0.06,0.06,0.06,0.06,12020400,0.05,0.05,0.0,0.01,1.21,1d
1986-04-16,0.06,0.07,0.06,0.07,22550400,0.06,0.05,0.0,0.05,4.76,1d
1986-04-17,0.07,0.07,0.07,0.07,19699200,0.06,0.06,0.01,0.09,9.09,1d
1986-04-18,0.07,0.08,0.07,0.08,27799200,0.07,0.06,0.01,0.08,8.33,1d
1986-04-21,0.08,0.09,0.08,0.09,33534000,0.07,0.07,0.01,0.1,9.62,1d
1986-04-22,0.09,0.09,0.08,0.08,38264400,0.07,0.07,-0.0,-0.05,-5.26,1d
1986-04-23,0.08,0.08,0.08,0.08,4114800,0.07,0.07,-0.0,-0.03,-2.78,1d
1986-04-24,0.08,0.08,0.08,0.08,10789200,0.07,0.07,0.0,0.02,1.9,1d
1986-04-25,0.08,0.08,0.08,0.08,4633200,0.07,0.07,0.0,0.02,1.87,1d
1986-04-28,0.08,0.09,0.08,0.08,46008000,0.07,0.07,0.0,0.01,0.92,1d
1986-04-29,0.08,0.09,0.08,0.08,2786400,0.07,0.07,-0.0,-0.01,-0.91,1d
1986-04-30,0.08,0.08,0.08,0.08,9720000,0.07,0.07,-0.01,-0.08,-8.26,1d
1986-05-01,0.08,0.08,0.08,0.08,21546000,0.07,0.07,0.0,0.02,2.0,1d
1986-05-02,0.08,0.08,0.07,0.07,10627200,0.06,0.07,-0.0,-0.06,-5.88,1d
1986-05-05,0.07,0.08,0.07,0.08,4924800,0.06,0.06,0.0,0.02,2.08,1d
1986-05-06,0.08,0.08,0.07,0.08,7257600,0.07,0.06,0.0,0.03,3.06,1d
