Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-04 09:30:00,82.25,83.74,82.0,83.72,965627,83.72,,,,,15min
2022-04-04 09:45:00,83.74,84.13,83.6,83.95,362798,83.95,83.72,0.23,0.0,0.27,15min
2022-04-04 10:00:00,83.95,83.99,83.63,83.63,772066,83.63,83.95,-0.32,-0.0,-0.38,15min
2022-04-04 10:15:00,83.64,83.71,83.4,83.61,240022,83.61,83.63,-0.02,-0.0,-0.03,15min
2022-04-04 10:30:00,83.62,83.66,83.42,83.42,172972,83.42,83.61,-0.19,-0.0,-0.22,15min
2022-04-04 10:45:00,83.41,83.79,83.39,83.79,280461,83.79,83.42,0.37,0.0,0.44,15min
2022-04-04 11:00:00,83.79,84.03,83.76,83.98,257349,83.98,83.79,0.19,0.0,0.23,15min
2022-04-04 11:15:00,83.99,84.15,83.96,84.11,229301,84.11,83.98,0.13,0.0,0.16,15min
2022-04-04 11:30:00,84.11,84.12,83.97,84.07,239970,84.07,84.11,-0.04,-0.0,-0.05,15min
2022-04-04 11:45:00,84.08,84.21,84.06,84.18,151169,84.18,84.07,0.11,0.0,0.14,15min
2022-04-04 12:00:00,84.17,84.25,84.0,84.17,206822,84.17,84.18,-0.01,-0.0,-0.02,15min
2022-04-04 12:15:00,84.17,84.27,84.13,84.24,187092,84.24,84.17,0.07,0.0,0.08,15min
2022-04-04 12:30:00,84.25,84.29,84.12,84.21,229727,84.21,84.24,-0.03,-0.0,-0.04,15min
2022-04-04 12:45:00,84.2,84.29,84.1,84.25,159987,84.25,84.21,0.04,0.0,0.04,15min
2022-04-04 13:00:00,84.24,84.28,84.11,84.24,156140,84.24,84.25,-0.01,-0.0,-0.01,15min
2022-04-04 13:15:00,84.23,84.27,84.08,84.09,136860,84.09,84.24,-0.15,-0.0,-0.18,15min
2022-04-04 13:30:00,84.1,84.1,83.89,84.0,159561,84.0,84.09,-0.09,-0.0,-0.1,15min
2022-04-04 13:45:00,84.0,84.04,83.97,83.99,91821,83.99,84.0,-0.01,-0.0,-0.01,15min
2022-04-04 14:00:00,83.98,84.09,83.82,83.89,110897,83.89,83.99,-0.1,-0.0,-0.12,15min
2022-04-04 14:15:00,83.9,84.03,83.89,83.96,98285,83.96,83.89,0.07,0.0,0.08,15min
2022-04-04 14:30:00,83.95,83.99,83.91,83.93,109124,83.93,83.96,-0.03,-0.0,-0.03,15min
2022-04-04 14:45:00,83.93,84.05,83.92,83.94,110605,83.94,83.93,0.01,0.0,0.02,15min
2022-04-04 15:00:00,83.95,84.11,83.93,84.11,167683,84.11,83.94,0.17,0.0,0.2,15min
2022-04-04 15:15:00,84.11,84.17,84.05,84.07,198596,84.07,84.11,-0.04,-0.0,-0.04,15min
2022-04-04 15:30:00,84.07,84.15,83.92,83.92,296383,83.92,84.07,-0.16,-0.0,-0.19,15min
2022-04-04 15:45:00,83.91,84.09,83.9,84.08,747611,84.08,83.92,0.17,0.0,0.2,15min
2022-04-04 16:00:00,84.07,84.07,84.07,84.07,0,84.07,84.08,-0.01,-0.0,-0.01,15min
