Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-01-03 09:30:00,87.33,87.74,86.14,86.61,1490536,86.61,,,,,1hr
2022-01-03 10:30:00,86.62,86.76,85.76,86.74,1544030,86.74,86.61,0.12,0.0,0.14,1hr
2022-01-03 11:30:00,86.73,87.37,86.33,87.11,1456947,87.11,86.74,0.37,0.0,0.43,1hr
2022-01-03 12:30:00,87.12,87.77,87.06,87.56,1402539,87.56,87.11,0.44,0.01,0.51,1hr
2022-01-03 13:30:00,87.56,87.92,87.54,87.8,907889,87.8,87.56,0.25,0.0,0.28,1hr
2022-01-03 14:30:00,87.81,87.93,87.48,87.71,987500,87.71,87.8,-0.1,-0.0,-0.11,1hr
2022-01-03 15:30:00,87.71,87.94,87.6,87.91,1491654,87.91,87.71,0.21,0.0,0.23,1hr
2022-01-04 09:30:00,87.9,89.58,87.73,89.48,2713274,89.48,87.91,1.57,0.02,1.79,1hr
2022-01-04 10:30:00,89.48,89.58,88.66,88.72,1697266,88.72,89.48,-0.76,-0.01,-0.85,1hr
2022-01-04 11:30:00,88.72,88.85,88.33,88.64,961195,88.64,88.72,-0.08,-0.0,-0.09,1hr
2022-01-04 12:30:00,88.65,88.84,88.13,88.28,871254,88.28,88.64,-0.36,-0.0,-0.41,1hr
2022-01-04 13:30:00,88.28,88.58,88.15,88.42,1019013,88.42,88.28,0.14,0.0,0.16,1hr
2022-01-04 14:30:00,88.43,88.82,88.42,88.69,902925,88.69,88.42,0.27,0.0,0.31,1hr
2022-01-04 15:30:00,88.68,89.09,88.55,88.88,1629609,88.88,88.69,0.19,0.0,0.21,1hr
2022-01-05 09:30:00,88.49,88.6,87.22,87.9,2558525,87.9,88.88,-0.98,-0.01,-1.1,1hr
2022-01-05 10:30:00,87.88,88.28,87.67,88.04,912262,88.04,87.9,0.14,0.0,0.16,1hr
2022-01-05 11:30:00,88.04,88.08,87.43,87.48,815212,87.48,88.04,-0.56,-0.01,-0.64,1hr
2022-01-05 12:30:00,87.48,87.5,86.97,86.98,1018898,86.98,87.48,-0.5,-0.01,-0.57,1hr
2022-01-05 13:30:00,86.99,87.33,86.81,87.2,1195860,87.2,86.98,0.22,0.0,0.25,1hr
2022-01-05 14:30:00,87.22,87.26,86.22,86.3,1567143,86.3,87.2,-0.9,-0.01,-1.03,1hr
2022-01-05 15:30:00,86.29,86.7,86.27,86.47,1846172,86.47,86.3,0.17,0.0,0.2,1hr
2022-01-06 09:30:00,86.0,87.42,85.55,86.43,1612957,86.43,86.47,-0.04,-0.0,-0.05,1hr
2022-01-06 10:30:00,86.44,86.54,85.89,86.24,902860,86.24,86.43,-0.19,-0.0,-0.22,1hr
2022-01-06 11:30:00,86.24,86.39,86.01,86.02,788457,86.02,86.24,-0.22,-0.0,-0.26,1hr
2022-01-06 12:30:00,86.03,86.69,85.88,86.26,736603,86.26,86.02,0.24,0.0,0.28,1hr
2022-01-06 13:30:00,86.27,86.48,86.21,86.29,653735,86.29,86.26,0.03,0.0,0.04,1hr
2022-01-06 14:30:00,86.29,86.76,86.24,86.65,980107,86.65,86.29,0.36,0.0,0.41,1hr
2022-01-06 15:30:00,86.65,86.67,86.13,86.33,1257855,86.33,86.65,-0.32,-0.0,-0.37,1hr
2022-01-07 09:30:00,86.45,87.18,86.28,86.92,2224497,86.92,86.33,0.59,0.01,0.68,1hr
2022-01-07 10:30:00,86.94,87.66,86.91,87.61,1622536,87.61,86.92,0.69,0.01,0.8,1hr
2022-01-07 11:30:00,87.6,87.91,87.21,87.35,960435,87.35,87.61,-0.26,-0.0,-0.3,1hr
2022-01-07 12:30:00,87.35,88.0,87.24,87.67,829984,87.67,87.35,0.32,0.0,0.37,1hr
2022-01-07 13:30:00,87.66,87.92,87.57,87.68,825064,87.68,87.67,0.01,0.0,0.01,1hr
2022-01-07 14:30:00,87.67,87.96,87.52,87.68,915425,87.68,87.68,0.0,0.0,0.0,1hr
2022-01-07 15:30:00,87.68,87.92,87.49,87.5,1373747,87.5,87.68,-0.18,-0.0,-0.2,1hr
2022-01-10 09:30:00,87.38,88.19,86.95,87.21,1789347,87.21,87.5,-0.29,-0.0,-0.33,1hr
2022-01-10 10:30:00,87.22,88.24,87.0,88.08,1060566,88.08,87.21,0.87,0.01,1.0,1hr
2022-01-10 11:30:00,88.08,88.69,87.5,88.39,1242510,88.39,88.08,0.31,0.0,0.35,1hr
2022-01-10 12:30:00,88.38,89.11,88.26,89.04,911871,89.04,88.39,0.65,0.01,0.74,1hr
2022-01-10 13:30:00,89.04,89.3,88.55,88.59,998906,88.59,89.04,-0.45,-0.01,-0.51,1hr
2022-01-10 14:30:00,88.59,88.76,88.16,88.47,959716,88.47,88.59,-0.12,-0.0,-0.14,1hr
2022-01-10 15:30:00,88.47,89.38,88.45,89.31,2151805,89.31,88.47,0.84,0.01,0.95,1hr
2022-01-11 09:30:00,88.64,89.0,87.78,88.11,1466167,88.11,89.31,-1.2,-0.01,-1.34,1hr
2022-01-11 10:30:00,88.12,88.27,87.41,87.87,1114977,87.87,88.11,-0.24,-0.0,-0.27,1hr
2022-01-11 11:30:00,87.87,88.16,87.73,87.81,686236,87.81,87.87,-0.06,-0.0,-0.07,1hr
2022-01-11 12:30:00,87.82,88.01,87.63,87.95,604140,87.95,87.81,0.14,0.0,0.16,1hr
2022-01-11 13:30:00,87.95,88.39,87.82,88.36,573224,88.36,87.95,0.41,0.0,0.47,1hr
2022-01-11 14:30:00,88.35,88.61,88.24,88.58,774936,88.58,88.36,0.22,0.0,0.25,1hr
2022-01-11 15:30:00,88.59,88.67,88.35,88.51,1057339,88.51,88.58,-0.07,-0.0,-0.08,1hr
2022-01-12 09:30:00,88.89,89.52,87.67,88.43,1144896,88.43,88.51,-0.08,-0.0,-0.09,1hr
2022-01-12 10:30:00,88.46,88.57,87.74,88.13,644403,88.13,88.43,-0.3,-0.0,-0.34,1hr
2022-01-12 11:30:00,88.14,88.28,87.9,88.14,393916,88.14,88.13,0.01,0.0,0.01,1hr
2022-01-12 12:30:00,88.14,88.29,87.99,88.12,369150,88.12,88.14,-0.02,-0.0,-0.02,1hr
2022-01-12 13:30:00,88.11,88.14,87.83,88.06,361478,88.06,88.12,-0.06,-0.0,-0.07,1hr
2022-01-12 14:30:00,88.05,88.37,87.96,88.12,631630,88.12,88.06,0.07,0.0,0.08,1hr
2022-01-12 15:30:00,88.12,88.48,88.07,88.34,985343,88.34,88.12,0.21,0.0,0.24,1hr
2022-01-13 09:30:00,88.73,88.9,87.78,88.1,818116,88.1,88.34,-0.24,-0.0,-0.28,1hr
2022-01-13 10:30:00,88.08,88.32,87.92,88.24,545388,88.24,88.1,0.14,0.0,0.16,1hr
2022-01-13 11:30:00,88.24,88.78,88.17,88.5,816641,88.5,88.24,0.27,0.0,0.3,1hr
2022-01-13 12:30:00,88.5,88.92,88.37,88.8,699084,88.8,88.5,0.3,0.0,0.34,1hr
2022-01-13 13:30:00,88.78,88.83,88.26,88.28,388135,88.28,88.8,-0.53,-0.01,-0.59,1hr
2022-01-13 14:30:00,88.28,88.28,87.95,88.06,639715,88.06,88.28,-0.22,-0.0,-0.24,1hr
2022-01-13 15:30:00,88.07,88.11,87.55,87.8,1246080,87.8,88.06,-0.26,-0.0,-0.3,1hr
2022-01-14 09:30:00,87.48,88.1,86.93,87.06,1366423,87.06,87.8,-0.74,-0.01,-0.84,1hr
2022-01-14 10:30:00,87.06,87.12,86.66,86.94,810155,86.94,87.06,-0.12,-0.0,-0.14,1hr
2022-01-14 11:30:00,86.96,87.35,86.96,87.15,620823,87.15,86.94,0.21,0.0,0.24,1hr
2022-01-14 12:30:00,87.15,87.3,86.78,86.9,420619,86.9,87.15,-0.25,-0.0,-0.29,1hr
