Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-04-04 09:30:00,82.25,82.62,82.0,82.45,607979,82.45,,,,,1min,0,83.7
2022-04-04 09:31:00,82.47,82.68,82.43,82.62,20991,82.62,82.45,0.17,0.0,0.21,1min,1,83.7
2022-04-04 09:32:00,82.64,82.65,82.52,82.52,19026,82.52,82.62,-0.1,-0.0,-0.12,1min,2,83.7
2022-04-04 09:33:00,82.54,82.68,82.48,82.59,21984,82.59,82.52,0.07,0.0,0.08,1min,3,83.7
2022-04-04 09:34:00,82.64,82.73,82.64,82.66,19051,82.66,82.59,0.07,0.0,0.08,1min,4,83.71
2022-04-04 09:35:00,82.7,82.88,82.67,82.7,34776,82.7,82.66,0.04,0.0,0.05,1min,5,83.71
2022-04-04 09:36:00,82.73,82.78,82.63,82.77,12347,82.77,82.7,0.07,0.0,0.08,1min,6,83.71
2022-04-04 09:37:00,82.76,82.94,82.74,82.94,21216,82.94,82.77,0.17,0.0,0.21,1min,7,83.71
2022-04-04 09:38:00,82.98,83.09,82.98,83.05,35272,83.05,82.94,0.11,0.0,0.13,1min,8,83.71
2022-04-04 09:39:00,83.06,83.11,83.01,83.02,12281,83.02,83.05,-0.03,-0.0,-0.04,1min,9,83.71
2022-04-04 09:40:00,83.02,83.18,83.0,83.18,19014,83.18,83.02,0.16,0.0,0.19,1min,10,83.71
2022-04-04 09:41:00,83.19,83.37,83.19,83.27,25784,83.27,83.18,0.09,0.0,0.11,1min,11,83.71
2022-04-04 09:42:00,83.28,83.48,83.28,83.47,37317,83.47,83.27,0.2,0.0,0.24,1min,12,83.72
2022-04-04 09:43:00,83.48,83.48,83.36,83.4,14326,83.4,83.47,-0.07,-0.0,-0.08,1min,13,83.72
2022-04-04 09:44:00,83.4,83.74,83.4,83.72,64263,83.72,83.4,0.32,0.0,0.38,1min,14,83.72
2022-04-04 09:45:00,83.74,83.88,83.73,83.81,55568,83.81,83.72,0.09,0.0,0.11,1min,15,83.72
2022-04-04 09:46:00,83.83,83.83,83.61,83.61,23168,83.61,83.81,-0.2,-0.0,-0.24,1min,16,83.72
2022-04-04 09:47:00,83.61,83.76,83.6,83.69,13415,83.69,83.61,0.08,0.0,0.1,1min,17,83.72
2022-04-04 09:48:00,83.65,83.73,83.6,83.71,12377,83.71,83.69,0.02,0.0,0.02,1min,18,83.72
2022-04-04 09:49:00,83.7,83.79,83.69,83.75,17946,83.75,83.71,0.04,0.0,0.05,1min,19,83.72
2022-04-04 09:50:00,83.76,83.79,83.7,83.77,16414,83.77,83.75,0.02,0.0,0.02,1min,20,83.73
2022-04-04 09:51:00,83.76,83.88,83.76,83.83,25220,83.83,83.77,0.07,0.0,0.08,1min,21,83.73
2022-04-04 09:52:00,83.82,83.88,83.78,83.8,11303,83.8,83.83,-0.03,-0.0,-0.04,1min,22,83.73
2022-04-04 09:53:00,83.8,83.8,83.72,83.78,15234,83.78,83.8,-0.02,-0.0,-0.02,1min,23,83.73
2022-04-04 09:54:00,83.82,83.93,83.8,83.92,20493,83.92,83.78,0.14,0.0,0.17,1min,24,83.73
2022-04-04 09:55:00,83.92,83.98,83.86,83.98,46544,83.98,83.92,0.06,0.0,0.07,1min,25,83.73
2022-04-04 09:56:00,83.97,84.05,83.94,84.05,29066,84.05,83.98,0.07,0.0,0.08,1min,26,83.73
2022-04-04 09:57:00,84.08,84.12,84.04,84.08,25110,84.08,84.05,0.03,0.0,0.04,1min,27,83.73
2022-04-04 09:58:00,84.09,84.13,84.05,84.07,30795,84.07,84.08,-0.01,-0.0,-0.02,1min,28,83.74
2022-04-04 09:59:00,84.06,84.06,83.93,83.95,20145,83.95,84.07,-0.12,-0.0,-0.14,1min,29,83.74
2022-04-04 10:00:00,83.95,83.95,83.76,83.92,22825,83.92,83.95,-0.03,-0.0,-0.04,1min,30,83.74
2022-04-04 10:01:00,83.9,83.94,83.85,83.89,14856,83.89,83.92,-0.03,-0.0,-0.04,1min,31,83.74
2022-04-04 10:02:00,83.89,83.98,83.83,83.97,15903,83.97,83.89,0.08,0.0,0.1,1min,32,83.74
2022-04-04 10:03:00,83.99,83.99,83.87,83.94,12341,83.94,83.97,-0.03,-0.0,-0.04,1min,33,83.74
2022-04-04 10:04:00,83.95,83.97,83.92,83.94,12519,83.94,83.94,0.0,0.0,0.0,1min,34,83.74
2022-04-04 10:05:00,83.94,83.96,83.84,83.89,539753,83.89,83.94,-0.05,-0.0,-0.05,1min,35,83.74
2022-04-04 10:06:00,83.88,83.92,83.85,83.87,9640,83.87,83.89,-0.02,-0.0,-0.03,1min,36,83.75
2022-04-04 10:07:00,83.86,83.86,83.68,83.78,28178,83.78,83.87,-0.09,-0.0,-0.11,1min,37,83.75
2022-04-04 10:08:00,83.79,83.82,83.69,83.71,13264,83.71,83.78,-0.07,-0.0,-0.08,1min,38,83.75
2022-04-04 10:09:00,83.73,83.75,83.69,83.75,12815,83.75,83.71,0.04,0.0,0.04,1min,39,83.75
2022-04-04 10:10:00,83.76,83.76,83.65,83.66,16112,83.66,83.75,-0.08,-0.0,-0.1,1min,40,83.75
2022-04-04 10:11:00,83.66,83.85,83.63,83.85,14011,83.85,83.66,0.19,0.0,0.23,1min,41,83.75
2022-04-04 10:12:00,83.86,83.88,83.73,83.77,18315,83.77,83.85,-0.08,-0.0,-0.1,1min,42,83.75
2022-04-04 10:13:00,83.77,83.77,83.65,83.68,26852,83.68,83.77,-0.09,-0.0,-0.11,1min,43,83.75
2022-04-04 10:14:00,83.69,83.71,83.63,83.63,14682,83.63,83.68,-0.05,-0.0,-0.06,1min,44,83.76
2022-04-04 10:15:00,83.64,83.65,83.54,83.54,14349,83.54,83.63,-0.08,-0.0,-0.1,1min,45,83.76
2022-04-04 10:16:00,83.57,83.57,83.47,83.51,12351,83.51,83.54,-0.03,-0.0,-0.04,1min,46,83.76
2022-04-04 10:17:00,83.5,83.5,83.46,83.47,22110,83.47,83.51,-0.04,-0.0,-0.05,1min,47,83.76
2022-04-04 10:18:00,83.47,83.54,83.47,83.54,9250,83.54,83.47,0.07,0.0,0.08,1min,48,83.76
2022-04-04 10:19:00,83.54,83.56,83.43,83.43,14858,83.43,83.54,-0.11,-0.0,-0.13,1min,49,83.76
2022-04-04 10:20:00,83.42,83.58,83.4,83.58,14774,83.58,83.43,0.15,0.0,0.18,1min,50,83.76
2022-04-04 10:21:00,83.58,83.68,83.54,83.67,22817,83.67,83.58,0.09,0.0,0.1,1min,51,83.77
2022-04-04 10:22:00,83.69,83.71,83.62,83.62,17687,83.62,83.67,-0.05,-0.0,-0.06,1min,52,83.77
2022-04-04 10:23:00,83.63,83.64,83.62,83.62,6892,83.62,83.62,0.0,0.0,0.0,1min,53,83.77
2022-04-04 10:24:00,83.62,83.64,83.54,83.64,15213,83.64,83.62,0.02,0.0,0.02,1min,54,83.77
2022-04-04 10:25:00,83.65,83.7,83.63,83.63,11588,83.63,83.64,-0.01,-0.0,-0.01,1min,55,83.77
2022-04-04 10:26:00,83.65,83.7,83.62,83.62,18151,83.62,83.63,-0.01,-0.0,-0.01,1min,56,83.77
2022-04-04 10:27:00,83.64,83.64,83.59,83.62,18780,83.62,83.62,0.0,0.0,0.0,1min,57,83.77
2022-04-04 10:28:00,83.61,83.69,83.58,83.68,16203,83.68,83.62,0.06,0.0,0.07,1min,58,83.77
2022-04-04 10:29:00,83.67,83.69,83.59,83.61,24999,83.61,83.68,-0.07,-0.0,-0.09,1min,59,83.78
2022-04-04 10:30:00,83.62,83.66,83.6,83.66,8457,83.66,83.61,0.05,0.0,0.06,1min,60,83.78
2022-04-04 10:31:00,83.64,83.64,83.54,83.58,16087,83.58,83.66,-0.08,-0.0,-0.09,1min,61,83.78
2022-04-04 10:32:00,83.59,83.59,83.54,83.58,13793,83.58,83.58,0.0,0.0,0.01,1min,62,83.78
2022-04-04 10:33:00,83.59,83.59,83.45,83.45,11292,83.45,83.58,-0.14,-0.0,-0.16,1min,63,83.78
2022-04-04 10:34:00,83.45,83.49,83.42,83.49,8687,83.49,83.45,0.04,0.0,0.05,1min,64,83.78
2022-04-04 10:35:00,83.49,83.51,83.42,83.48,10207,83.48,83.49,-0.01,-0.0,-0.01,1min,65,83.78
2022-04-04 10:36:00,83.48,83.5,83.46,83.5,8038,83.5,83.48,0.02,0.0,0.02,1min,66,83.78
2022-04-04 10:37:00,83.51,83.55,83.5,83.55,6792,83.55,83.5,0.05,0.0,0.06,1min,67,83.79
2022-04-04 10:38:00,83.54,83.57,83.49,83.56,7187,83.56,83.55,0.01,0.0,0.01,1min,68,83.79
2022-04-04 10:39:00,83.56,83.56,83.48,83.52,11642,83.52,83.56,-0.04,-0.0,-0.04,1min,69,83.79
2022-04-04 10:40:00,83.53,83.53,83.47,83.51,13315,83.51,83.52,-0.01,-0.0,-0.02,1min,70,83.79
2022-04-04 10:41:00,83.5,83.52,83.46,83.47,8294,83.47,83.51,-0.04,-0.0,-0.05,1min,71,83.79
2022-04-04 10:42:00,83.47,83.61,83.46,83.59,20171,83.59,83.47,0.12,0.0,0.14,1min,72,83.79
2022-04-04 10:43:00,83.59,83.59,83.48,83.49,11586,83.49,83.59,-0.1,-0.0,-0.12,1min,73,83.79
2022-04-04 10:44:00,83.49,83.5,83.42,83.42,17424,83.42,83.49,-0.07,-0.0,-0.08,1min,74,83.79
2022-04-04 10:45:00,83.41,83.51,83.39,83.51,21602,83.51,83.42,0.09,0.0,0.11,1min,75,83.8
2022-04-04 10:46:00,83.5,83.51,83.47,83.5,32441,83.5,83.51,-0.01,-0.0,-0.02,1min,76,83.8
2022-04-04 10:47:00,83.51,83.53,83.48,83.53,33535,83.53,83.5,0.03,0.0,0.04,1min,77,83.8
2022-04-04 10:48:00,83.53,83.64,83.53,83.62,21158,83.62,83.53,0.09,0.0,0.11,1min,78,83.8
2022-04-04 10:49:00,83.61,83.7,83.61,83.67,27030,83.67,83.62,0.05,0.0,0.06,1min,79,83.8
2022-04-04 10:50:00,83.67,83.69,83.65,83.66,13095,83.66,83.67,-0.01,-0.0,-0.01,1min,80,83.8
