Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",78.25,79.78,78.24,79.56,5412400,79.56,,,,,1mo
"April 20, 2022",79.79,81.86,79.79,80.29,9472600,80.29,79.56,0.73,0.01,0.92,1mo
"April 21, 2022",81.49,81.6,79.33,79.48,5616100,79.48,80.29,-0.81,-0.01,-1.01,1mo
"April 22, 2022",79.27,79.7,76.16,76.21,9357100,76.21,79.48,-3.27,-0.04,-4.11,1mo
"April 25, 2022",76.2,77.06,74.7,76.98,7305900,76.98,76.21,0.77,0.01,1.01,1mo
"April 26, 2022",76.35,76.65,74.48,74.51,7555200,74.51,76.98,-2.47,-0.03,-3.21,1mo
"April 27, 2022",74.58,76.02,74.42,74.76,7279200,74.76,74.51,0.25,0.0,0.34,1mo
"April 28, 2022",75.52,76.63,74.6,76.14,6177900,76.14,74.76,1.38,0.02,1.85,1mo
"April 29, 2022",75.34,75.87,73.15,73.4,7945400,73.4,76.14,-2.74,-0.04,-3.6,1mo
"May 02, 2022",73.93,74.6,72.53,74.0,7379900,74.0,73.4,0.6,0.01,0.82,1mo
"May 03, 2022",73.85,74.21,72.81,73.29,5211500,73.29,74.0,-0.71,-0.01,-0.96,1mo
"May 04, 2022",73.38,75.35,72.79,75.21,6759900,75.21,73.29,1.92,0.03,2.62,1mo
"May 05, 2022",74.0,74.72,71.99,72.8,7197200,72.8,75.21,-2.41,-0.03,-3.2,1mo
"May 06, 2022",72.13,72.94,71.63,72.49,6221000,72.49,72.8,-0.31,-0.0,-0.43,1mo
"May 09, 2022",71.64,72.59,71.17,71.54,7019700,71.54,72.49,-0.95,-0.01,-1.31,1mo
"May 10, 2022",72.5,73.62,71.27,72.53,8129000,72.53,71.54,0.99,0.01,1.38,1mo
"May 11, 2022",72.31,73.46,70.87,71.03,6932100,71.03,72.53,-1.5,-0.02,-2.07,1mo
"May 12, 2022",70.88,70.93,68.97,70.73,11698900,70.73,71.03,-0.3,-0.0,-0.42,1mo
"May 13, 2022",70.96,71.98,70.53,71.17,6698900,71.17,70.73,0.44,0.01,0.62,1mo
"May 16, 2022",70.69,70.91,69.39,69.71,6942100,69.71,71.17,-1.46,-0.02,-2.05,1mo
"May 17, 2022",71.05,71.9,70.7,71.88,5952500,71.88,69.71,2.17,0.03,3.11,1mo
"May 18, 2022",70.8,70.94,67.81,68.3,7975100,68.3,71.88,-3.58,-0.05,-4.98,1mo
