Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1986-03-10,0.06,0.07,0.06,0.07,576169200.0,0.06,,,,,1wk
1986-03-17,0.07,0.07,0.06,0.06,117352800.0,0.05,0.06,-0.01,-0.1,-10.35,1wk
1986-03-24,0.06,0.06,0.06,0.06,87253200.0,0.05,0.05,0.0,0.05,5.13,1wk
1986-03-31,0.06,0.06,0.06,0.06,65772000.0,0.05,0.05,-0.0,-0.02,-2.44,1wk
1986-04-07,0.06,0.06,0.06,0.06,60652800.0,0.05,0.05,0.0,0.04,3.75,1wk
1986-04-14,0.06,0.08,0.06,0.08,128854800.0,0.07,0.05,0.01,0.25,25.3,1wk
1986-04-21,0.08,0.09,0.08,0.08,91335600.0,0.07,0.07,0.0,0.05,4.81,1wk
1986-04-28,0.08,0.09,0.07,0.07,90687600.0,0.06,0.07,-0.01,-0.12,-11.93,1wk
1986-05-05,0.07,0.08,0.07,0.08,52844400.0,0.07,0.06,0.01,0.1,10.42,1wk
1986-05-12,0.08,0.08,0.08,0.08,54399600.0,0.07,0.07,0.0,0.02,1.89,1wk
1986-05-19,0.08,0.08,0.08,0.08,30488400.0,0.06,0.07,-0.01,-0.09,-9.26,1wk
1986-05-26,0.08,0.08,0.07,0.07,29289600.0,0.06,0.06,-0.0,-0.04,-4.08,1wk
1986-06-02,0.07,0.08,0.06,0.08,126392400.0,0.06,0.06,0.0,0.06,6.38,1wk
1986-06-09,0.08,0.08,0.07,0.08,66355200.0,0.06,0.06,0.0,0.0,0.0,1wk
1986-06-16,0.08,0.08,0.07,0.07,59097600.0,0.06,0.06,-0.0,-0.03,-3.0,1wk
1986-06-23,0.07,0.08,0.07,0.07,48826800.0,0.06,0.06,0.0,0.0,0.0,1wk
1986-06-30,0.07,0.08,0.07,0.07,15292800.0,0.06,0.06,0.0,0.0,0.0,1wk
1986-07-07,0.07,0.08,0.07,0.07,27961200.0,0.06,0.06,-0.0,-0.02,-2.06,1wk
1986-07-14,0.07,0.07,0.05,0.06,314604000.0,0.05,0.06,-0.01,-0.21,-21.05,1wk
1986-07-21,0.06,0.06,0.05,0.05,50155200.0,0.04,0.05,-0.01,-0.12,-12.0,1wk
1986-07-28,0.05,0.05,0.05,0.05,53946000.0,0.04,0.04,-0.0,-0.06,-6.06,1wk
1986-08-04,0.05,0.05,0.04,0.05,29354400.0,0.04,0.04,-0.0,-0.02,-1.61,1wk
1986-08-11,0.05,0.05,0.04,0.05,159343200.0,0.04,0.04,0.0,0.04,4.1,1wk
1986-08-18,0.05,0.05,0.05,0.05,47466000.0,0.04,0.04,-0.0,-0.04,-3.94,1wk
1986-08-25,0.05,0.05,0.04,0.05,115020000.0,0.04,0.04,0.0,0.08,8.2,1wk
1986-09-01,0.05,0.05,0.05,0.05,160218000.0,0.04,0.04,-0.0,-0.05,-4.55,1wk
1986-09-08,0.05,0.05,0.04,0.04,82652400.0,0.04,0.04,-0.0,-0.08,-7.94,1wk
1986-09-15,0.04,0.05,0.04,0.05,43610400.0,0.04,0.04,0.0,0.05,5.17,1wk
1986-09-22,0.05,0.05,0.04,0.04,93862800.0,0.04,0.04,-0.0,-0.07,-6.56,1wk
