Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-05,72.19,74.9,72.06,74.16,25010200,73.04,,,,,1yr,0,83.13
2021-04-06,73.62,74.65,73.16,74.28,14699800,73.16,73.04,0.12,0.0,0.16,1yr,1,83.15
2021-04-07,73.6,74.18,73.45,74.07,12356800,73.27,73.16,0.11,0.0,0.15,1yr,2,83.17
2021-04-08,74.27,75.53,74.15,75.28,13507700,74.47,73.27,1.2,0.02,1.63,1yr,3,83.19
2021-04-09,75.35,75.69,74.9,75.58,13285700,74.76,74.47,0.3,0.0,0.4,1yr,4,83.21
2021-04-12,75.25,76.19,75.2,76.12,10634900,75.3,74.76,0.53,0.01,0.71,1yr,5,83.22
2021-04-13,76.16,77.01,75.9,76.67,13142400,75.84,75.3,0.54,0.01,0.72,1yr,6,83.24
2021-04-14,77.04,77.36,76.51,76.82,12730700,75.99,75.84,0.15,0.0,0.2,1yr,7,83.26
2021-04-15,77.0,78.55,76.83,78.29,13604200,77.44,75.99,1.45,0.02,1.91,1yr,8,83.28
2021-04-16,78.31,79.34,77.86,78.95,13334100,78.1,77.44,0.65,0.01,0.84,1yr,9,83.3
2021-04-19,78.81,80.21,78.34,78.75,19967200,77.9,78.1,-0.2,-0.0,-0.25,1yr,10,83.32
2021-04-20,78.7,79.42,78.65,79.24,12562300,78.38,77.9,0.48,0.01,0.62,1yr,11,83.34
2021-04-21,78.79,79.34,76.53,76.66,18672800,75.83,78.38,-2.55,-0.03,-3.26,1yr,12,83.35
2021-04-22,76.11,76.48,74.75,74.87,16769300,74.06,75.83,-1.77,-0.02,-2.33,1yr,13,83.37
2021-04-23,74.29,75.0,73.85,74.97,10664700,74.16,74.06,0.1,0.0,0.13,1yr,14,83.39
2021-04-26,74.97,75.04,74.2,74.5,9402200,73.7,74.16,-0.46,-0.01,-0.63,1yr,15,83.41
2021-04-27,74.39,75.43,74.22,75.22,9300200,74.41,73.7,0.71,0.01,0.97,1yr,16,83.43
2021-04-28,75.16,75.27,74.66,74.77,6107800,73.96,74.41,-0.45,-0.01,-0.6,1yr,17,83.45
2021-04-29,75.38,75.9,74.64,75.87,7940400,75.05,73.96,1.09,0.01,1.47,1yr,18,83.46
2021-04-30,75.56,75.92,75.19,75.79,7825300,74.97,75.05,-0.08,-0.0,-0.11,1yr,19,83.48
2021-05-03,76.28,77.48,76.08,77.33,15319600,76.49,74.97,1.52,0.02,2.03,1yr,20,83.5
2021-05-04,77.07,78.7,76.93,78.53,15316500,77.68,76.49,1.19,0.02,1.55,1yr,21,83.52
2021-05-05,78.97,79.83,78.42,79.19,12271900,78.33,77.68,0.65,0.01,0.84,1yr,22,83.54
2021-05-06,79.18,79.96,78.56,79.74,14089700,78.88,78.33,0.54,0.01,0.69,1yr,23,83.56
2021-05-07,79.81,80.54,78.58,80.4,14073400,79.53,78.88,0.65,0.01,0.83,1yr,24,83.58
2021-05-10,78.77,80.72,78.6,80.15,17356700,79.28,79.53,-0.25,-0.0,-0.31,1yr,25,83.59
2021-05-11,79.75,79.9,77.25,77.69,12980400,76.85,79.28,-2.43,-0.03,-3.07,1yr,26,83.61
2021-05-12,77.57,78.19,76.53,76.75,12302600,75.92,76.85,-0.93,-0.01,-1.21,1yr,27,83.63
2021-05-13,77.53,78.44,76.88,78.14,11399300,77.3,75.92,1.37,0.02,1.81,1yr,28,83.65
2021-05-14,78.12,79.05,78.12,78.89,9033400,78.04,77.3,0.74,0.01,0.96,1yr,29,83.67
2021-05-17,78.88,79.53,78.85,79.08,6637900,78.23,78.04,0.19,0.0,0.24,1yr,30,83.69
2021-05-18,78.99,79.47,78.39,78.69,6643100,77.84,78.23,-0.39,-0.0,-0.49,1yr,31,83.7
2021-05-19,77.81,78.77,77.55,78.74,8165000,77.89,77.84,0.05,0.0,0.06,1yr,32,83.72
2021-05-20,78.95,79.32,78.68,78.72,8802700,77.87,77.89,-0.02,-0.0,-0.03,1yr,33,83.74
2021-05-21,79.19,79.85,78.98,79.03,8629000,78.18,77.87,0.31,0.0,0.39,1yr,34,83.76
2021-05-24,79.49,79.88,79.14,79.38,7044700,78.52,78.18,0.35,0.0,0.44,1yr,35,83.78
2021-05-25,79.61,79.68,78.65,78.83,7160600,77.98,78.52,-0.54,-0.01,-0.69,1yr,36,83.8
2021-05-26,78.59,79.37,78.55,79.26,12851100,78.4,77.98,0.43,0.01,0.55,1yr,37,83.82
2021-05-27,79.5,80.05,78.84,78.98,12867800,78.13,78.4,-0.28,-0.0,-0.35,1yr,38,83.83
2021-05-28,78.95,79.36,78.67,78.74,6929700,77.89,78.13,-0.24,-0.0,-0.3,1yr,39,83.85
2021-06-01,79.58,79.83,78.48,79.57,10485300,78.71,77.89,0.82,0.01,1.05,1yr,40,83.87
2021-06-02,79.7,80.93,79.51,80.27,12249300,79.4,78.71,0.69,0.01,0.88,1yr,41,83.89
2021-06-03,79.8,81.46,79.65,81.09,12038700,80.21,79.4,0.81,0.01,1.02,1yr,42,83.91
2021-06-04,81.42,83.96,81.37,82.89,14502900,81.99,80.21,1.78,0.02,2.22,1yr,43,83.93
2021-06-07,82.94,84.25,82.85,83.94,10445600,83.03,81.99,1.04,0.01,1.27,1yr,44,83.94
2021-06-08,84.03,85.03,84.0,84.61,10726800,83.7,83.03,0.66,0.01,0.8,1yr,45,83.96
2021-06-09,84.6,84.83,84.03,84.52,9720300,83.61,83.7,-0.09,-0.0,-0.11,1yr,46,83.98
2021-06-10,84.16,84.46,81.71,82.3,16680800,81.41,83.61,-2.2,-0.03,-2.63,1yr,47,84.0
2021-06-11,81.98,83.24,81.84,82.9,11066500,82.0,81.41,0.59,0.01,0.73,1yr,48,84.02
2021-06-14,83.0,83.1,82.13,82.62,10173200,81.73,82.0,-0.28,-0.0,-0.34,1yr,49,84.04
2021-06-15,82.0,82.51,81.35,81.64,17298000,80.76,81.73,-0.97,-0.01,-1.19,1yr,50,84.06
2021-06-16,77.99,78.55,75.9,77.08,36560600,76.25,80.76,-4.51,-0.06,-5.59,1yr,51,84.07
2021-06-17,76.99,77.74,76.56,77.56,14836100,76.72,76.25,0.47,0.01,0.62,1yr,52,84.09
2021-06-18,76.9,76.91,75.97,76.23,22521200,75.41,76.72,-1.32,-0.02,-1.71,1yr,53,84.11
2021-06-21,76.61,78.1,76.55,77.99,8924300,77.15,75.41,1.74,0.02,2.31,1yr,54,84.13
2021-06-22,78.06,79.19,77.66,78.68,9845800,77.83,77.15,0.68,0.01,0.88,1yr,55,84.15
2021-06-23,78.76,78.87,78.06,78.1,7295900,77.26,77.83,-0.57,-0.01,-0.74,1yr,56,84.17
2021-06-24,78.65,78.96,77.61,77.74,9624000,76.9,77.26,-0.36,-0.0,-0.46,1yr,57,84.18
2021-06-25,78.03,78.61,77.56,78.46,12845000,77.61,76.9,0.71,0.01,0.93,1yr,58,84.2
2021-06-28,78.49,78.97,78.33,78.5,5605400,77.65,77.61,0.04,0.0,0.05,1yr,59,84.22
2021-06-29,78.54,78.59,77.82,78.1,5392900,77.26,77.65,-0.4,-0.01,-0.51,1yr,60,84.24
2021-06-30,77.59,78.21,77.58,77.84,7899800,77.0,77.26,-0.26,-0.0,-0.33,1yr,61,84.26
2021-07-01,77.98,79.62,77.91,79.54,13108000,78.68,77.0,1.68,0.02,2.18,1yr,62,84.28
2021-07-02,79.45,82.26,79.35,81.82,15258100,80.94,78.68,2.26,0.03,2.87,1yr,63,84.3
2021-07-06,81.6,83.63,81.36,83.08,14200400,82.18,80.94,1.25,0.02,1.54,1yr,64,84.31
2021-07-07,83.17,87.17,82.96,86.09,20976600,85.16,82.18,2.98,0.04,3.62,1yr,65,84.33
2021-07-08,85.02,86.89,84.66,85.59,16383300,84.67,85.16,-0.49,-0.01,-0.58,1yr,66,84.35
2021-07-09,85.88,88.4,85.78,87.76,15685300,86.81,84.67,2.15,0.03,2.54,1yr,67,84.37
2021-07-12,87.53,88.85,86.97,87.08,16076800,86.14,86.81,-0.67,-0.01,-0.77,1yr,68,84.39
2021-07-13,86.7,87.93,86.53,87.07,12789300,86.13,86.14,-0.01,-0.0,-0.01,1yr,69,84.41
2021-07-14,87.08,88.67,86.66,88.28,13330500,87.65,86.13,1.52,0.02,1.76,1yr,70,84.42
2021-07-15,88.1,88.77,85.51,86.24,18306300,85.62,87.65,-2.03,-0.02,-2.31,1yr,71,84.44
2021-07-16,86.75,88.48,86.52,87.49,14617500,86.86,85.62,1.24,0.01,1.45,1yr,72,84.46
2021-07-19,86.91,87.87,86.19,86.98,15619900,86.36,86.86,-0.51,-0.01,-0.58,1yr,73,84.48
2021-07-20,87.1,89.05,87.02,88.66,12813900,88.03,86.36,1.67,0.02,1.93,1yr,74,84.5
2021-07-21,88.89,90.25,88.46,89.69,13108100,89.05,88.03,1.02,0.01,1.16,1yr,75,84.52
2021-07-22,90.0,91.14,89.68,90.69,13638900,90.04,89.05,0.99,0.01,1.11,1yr,76,84.54
2021-07-23,90.99,91.2,87.12,87.69,12680900,87.06,90.04,-2.98,-0.03,-3.31,1yr,77,84.55
2021-07-26,87.44,88.1,86.67,87.86,10454100,87.23,87.06,0.17,0.0,0.19,1yr,78,84.57
2021-07-27,87.76,88.6,87.12,87.8,8465200,87.17,87.23,-0.06,-0.0,-0.07,1yr,79,84.59
2021-07-28,87.9,87.95,87.12,87.18,6396800,86.56,87.17,-0.62,-0.01,-0.71,1yr,80,84.61
2021-07-29,87.68,88.26,87.33,87.63,6201400,87.0,86.56,0.45,0.01,0.52,1yr,81,84.63
2021-07-30,87.41,88.15,86.87,87.14,7962800,86.52,87.0,-0.49,-0.01,-0.56,1yr,82,84.65
2021-08-02,87.73,87.93,87.09,87.6,5579100,86.97,86.52,0.46,0.01,0.53,1yr,83,84.66
2021-08-03,87.88,90.17,87.81,89.74,9889800,89.1,86.97,2.12,0.02,2.44,1yr,84,84.68
2021-08-04,89.79,90.09,89.28,90.05,7509900,89.41,89.1,0.31,0.0,0.35,1yr,85,84.7
2021-08-05,90.18,90.52,88.76,89.43,8231300,88.79,89.41,-0.62,-0.01,-0.69,1yr,86,84.72
2021-08-06,89.24,89.88,88.82,89.52,6513900,88.88,88.79,0.09,0.0,0.1,1yr,87,84.74
2021-08-09,89.46,90.47,89.1,89.9,5798700,89.26,88.88,0.38,0.0,0.42,1yr,88,84.76
2021-08-10,89.1,90.12,88.93,89.64,5473300,89.0,89.26,-0.26,-0.0,-0.29,1yr,89,84.78
2021-08-11,89.9,90.42,89.51,89.63,8009800,88.99,89.0,-0.01,-0.0,-0.01,1yr,90,84.79
2021-08-12,89.11,89.98,88.67,89.81,5687200,89.17,88.99,0.18,0.0,0.2,1yr,91,84.81
2021-08-13,90.62,91.34,89.95,90.38,6640400,89.73,89.17,0.57,0.01,0.63,1yr,92,84.83
2021-08-16,89.86,90.84,89.54,90.82,7122800,90.17,89.73,0.44,0.0,0.49,1yr,93,84.85
