Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2022-01-05,88.49,88.6,86.22,86.46,11236700,86.14,,,,,3mo,0,83.67
2022-01-06,86.0,87.42,85.55,86.34,7918400,86.34,86.14,0.2,0.0,0.23,3mo,1,83.58
2022-01-07,86.45,88.0,86.28,87.51,9836800,87.51,86.34,1.17,0.01,1.36,3mo,2,83.48
2022-01-10,87.38,89.38,86.95,89.28,11025500,89.28,87.51,1.77,0.02,2.02,3mo,3,83.39
2022-01-11,88.64,89.0,87.41,88.48,7249800,88.48,89.28,-0.8,-0.01,-0.9,3mo,4,83.3
2022-01-12,88.89,89.52,87.67,88.31,5840300,88.31,88.48,-0.17,-0.0,-0.19,3mo,5,83.2
2022-01-13,88.73,88.92,87.55,87.79,6044300,87.79,88.31,-0.52,-0.01,-0.59,3mo,6,83.11
2022-01-14,87.48,88.1,86.66,87.69,6054800,87.69,87.79,-0.1,-0.0,-0.11,3mo,7,83.01
2022-01-18,86.87,86.97,85.34,85.55,6824700,85.55,87.69,-2.14,-0.02,-2.44,3mo,8,82.92
2022-01-19,85.77,86.69,83.23,83.38,10501800,83.38,85.55,-2.17,-0.03,-2.54,3mo,9,82.83
2022-01-20,83.92,85.0,82.52,82.72,10836900,82.72,83.38,-0.66,-0.01,-0.79,3mo,10,82.73
2022-01-21,83.36,83.39,82.03,82.22,11609000,82.22,82.72,-0.5,-0.01,-0.6,3mo,11,82.64
2022-01-24,81.22,82.42,79.59,82.42,16770400,82.42,82.22,0.2,0.0,0.24,3mo,12,82.55
2022-01-25,81.33,82.1,80.2,81.07,13469900,81.07,82.42,-1.35,-0.02,-1.64,3mo,13,82.45
2022-01-26,81.91,82.03,79.28,79.59,13971300,79.59,81.07,-1.48,-0.02,-1.83,3mo,14,82.36
2022-01-27,80.11,81.15,79.2,79.78,10331900,79.78,79.59,0.19,0.0,0.24,3mo,15,82.27
2022-01-28,79.99,80.5,78.57,80.48,7854700,80.48,79.78,0.7,0.01,0.88,3mo,16,82.17
2022-01-31,80.49,81.64,80.12,81.16,10594200,81.16,80.48,0.68,0.01,0.84,3mo,17,82.08
2022-02-01,81.4,81.4,79.65,81.04,8016900,81.04,81.16,-0.12,-0.0,-0.15,3mo,18,81.98
2022-02-02,81.16,82.88,80.84,82.5,9287600,82.5,81.04,1.46,0.02,1.8,3mo,19,81.89
2022-02-03,81.63,82.76,81.63,81.94,8207200,81.94,82.5,-0.56,-0.01,-0.68,3mo,20,81.8
2022-02-04,82.03,82.91,81.47,82.11,5570200,82.11,81.94,0.17,0.0,0.21,3mo,21,81.7
2022-02-07,82.14,82.25,80.66,80.74,6292200,80.74,82.11,-1.37,-0.02,-1.67,3mo,22,81.61
2022-02-08,80.29,80.86,79.8,80.79,6585300,80.79,80.74,0.05,0.0,0.06,3mo,23,81.52
2022-02-09,81.75,83.65,81.65,83.45,8755900,83.45,80.79,2.66,0.03,3.29,3mo,24,81.42
2022-02-10,82.75,83.78,81.62,81.85,6336300,81.85,83.45,-1.6,-0.02,-1.92,3mo,25,81.33
2022-02-11,81.84,82.43,79.53,79.75,7670500,79.75,81.85,-2.1,-0.03,-2.57,3mo,26,81.24
