Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-06-01,0.0,0.82,0.8,0.82,2458771,0.17,,,,,1d
1972-06-02,0.82,0.82,0.8,0.81,1613885,0.17,0.17,-0.0,-0.01,-1.21,1d
1972-06-05,0.81,0.81,0.8,0.8,2585251,0.17,0.17,-0.0,-0.0,-0.31,1d
1972-06-06,0.8,0.83,0.8,0.82,2347469,0.17,0.17,0.0,0.02,2.15,1d
1972-06-07,0.82,0.82,0.81,0.82,1032077,0.17,0.17,0.0,0.0,0.0,1d
1972-06-08,0.82,0.82,0.82,0.82,1067491,0.17,0.17,-0.0,-0.01,-0.6,1d
1972-06-09,0.82,0.82,0.82,0.82,1563293,0.17,0.17,0.0,0.01,0.61,1d
1972-06-12,0.82,0.84,0.82,0.82,1942733,0.17,0.17,0.0,0.0,0.3,1d
1972-06-13,0.82,0.84,0.82,0.83,2175456,0.17,0.17,0.0,0.01,0.9,1d
1972-06-14,0.83,0.84,0.83,0.83,2069213,0.17,0.17,0.0,0.0,0.0,1d
1972-06-15,0.83,0.84,0.82,0.82,2726909,0.17,0.17,-0.0,-0.01,-1.19,1d
1972-06-16,0.82,0.84,0.81,0.84,2398061,0.18,0.17,0.0,0.02,1.81,1d
1972-06-19,0.84,0.84,0.83,0.84,1694832,0.18,0.18,0.0,0.01,1.18,1d
1972-06-20,0.84,0.85,0.84,0.85,2332291,0.18,0.18,0.0,0.01,0.58,1d
1972-06-21,0.85,0.85,0.84,0.84,2038858,0.18,0.18,-0.0,-0.01,-1.16,1d
1972-06-22,0.84,0.85,0.83,0.84,2438534,0.18,0.18,0.0,0.0,0.29,1d
1972-06-23,0.84,0.84,0.82,0.84,1482346,0.18,0.18,-0.0,-0.0,-0.29,1d
1972-06-26,0.84,0.84,0.82,0.83,1618944,0.17,0.18,-0.0,-0.01,-1.18,1d
1972-06-27,0.83,0.84,0.82,0.83,2048976,0.17,0.17,0.0,0.0,0.0,1d
1972-06-28,0.83,0.83,0.82,0.82,1315392,0.17,0.17,-0.0,-0.01,-0.89,1d
1972-06-29,0.82,0.84,0.82,0.84,1118083,0.18,0.17,0.0,0.02,1.5,1d
1972-06-30,0.84,0.85,0.83,0.84,2924218,0.18,0.18,0.0,0.0,0.3,1d
1972-07-03,0.84,0.84,0.83,0.84,824650,0.18,0.18,0.0,0.0,0.3,1d
1972-07-05,0.84,0.86,0.84,0.85,2903981,0.18,0.18,0.0,0.02,1.76,1d
1972-07-06,0.86,0.87,0.86,0.87,3895584,0.18,0.18,0.0,0.02,2.02,1d
1972-07-07,0.87,0.88,0.87,0.88,2119805,0.19,0.18,0.0,0.01,1.42,1d
1972-07-10,0.88,0.9,0.88,0.89,3091171,0.19,0.19,0.0,0.0,0.28,1d
1972-07-11,0.89,0.9,0.89,0.89,2185574,0.19,0.19,0.0,0.0,0.0,1d
1972-07-12,0.89,0.9,0.88,0.89,2696554,0.19,0.19,0.0,0.0,0.28,1d
1972-07-13,0.88,0.88,0.86,0.86,1113024,0.18,0.19,-0.01,-0.03,-2.78,1d
1972-07-14,0.86,0.89,0.86,0.88,1583530,0.19,0.18,0.0,0.02,2.29,1d
1972-07-17,0.88,0.89,0.86,0.88,819590,0.18,0.19,-0.0,-0.01,-0.84,1d
1972-07-18,0.87,0.87,0.84,0.87,1527878,0.18,0.18,-0.0,-0.01,-1.13,1d
1972-07-19,0.87,0.88,0.86,0.87,2145101,0.18,0.18,0.0,0.01,0.57,1d
1972-07-20,0.87,0.88,0.86,0.86,1492464,0.18,0.18,-0.0,-0.01,-1.42,1d
1972-07-21,0.86,0.86,0.85,0.86,956189,0.18,0.18,0.0,0.01,0.57,1d
1972-07-24,0.86,0.86,0.84,0.84,9733901,0.18,0.18,-0.0,-0.02,-2.29,1d
1972-07-25,0.85,0.87,0.85,0.86,2696554,0.18,0.18,0.0,0.02,1.75,1d
1972-07-26,0.86,0.86,0.85,0.85,1355866,0.18,0.18,-0.0,-0.01,-0.57,1d
1972-07-27,0.85,0.86,0.85,0.85,1133261,0.18,0.18,-0.0,-0.01,-0.58,1d
1972-07-28,0.85,0.86,0.85,0.86,1128202,0.18,0.18,0.0,0.01,0.87,1d
1972-07-31,0.86,0.86,0.85,0.85,2043917,0.18,0.18,-0.0,-0.01,-0.86,1d
1972-08-01,0.85,0.87,0.85,0.87,1806134,0.18,0.18,0.0,0.02,2.03,1d
1972-08-02,0.87,0.88,0.87,0.88,3020342,0.18,0.18,0.0,0.01,1.42,1d
1972-08-03,0.88,0.88,0.86,0.87,1305274,0.18,0.18,-0.0,-0.01,-1.4,1d
1972-08-04,0.87,0.88,0.86,0.87,2145101,0.18,0.18,0.0,0.01,0.57,1d
1972-08-07,0.87,0.87,0.86,0.87,1962970,0.18,0.18,0.0,0.0,0.28,1d
1972-08-08,0.87,0.88,0.87,0.87,2403120,0.18,0.18,0.0,0.0,0.0,1d
1972-08-09,0.87,0.88,0.87,0.88,2479008,0.18,0.18,0.0,0.0,0.28,1d
1972-08-10,0.88,0.89,0.87,0.89,1163616,0.19,0.18,0.0,0.01,1.13,1d
1972-08-11,0.89,0.9,0.88,0.9,3162000,0.19,0.19,0.0,0.02,1.95,1d
1972-08-14,0.9,0.91,0.9,0.9,3313776,0.19,0.19,0.0,0.0,0.0,1d
1972-08-15,0.9,0.9,0.89,0.9,1254682,0.19,0.19,-0.0,-0.01,-0.55,1d
1972-08-16,0.9,0.9,0.89,0.89,1532938,0.19,0.19,-0.0,-0.01,-0.55,1d
1972-08-17,0.89,0.91,0.89,0.9,2726909,0.19,0.19,0.0,0.0,0.28,1d
1972-08-18,0.89,0.89,0.88,0.88,3050698,0.18,0.19,-0.0,-0.02,-1.93,1d
1972-08-21,0.88,0.88,0.87,0.88,1295155,0.18,0.18,0.0,0.0,0.0,1d
1972-08-22,0.88,0.89,0.87,0.87,1431754,0.18,0.18,-0.0,-0.01,-0.56,1d
1972-08-23,0.87,0.88,0.86,0.87,1654358,0.18,0.18,-0.0,-0.01,-0.56,1d
1972-08-24,0.87,0.87,0.85,0.86,2155219,0.18,0.18,-0.0,-0.01,-0.57,1d
1972-08-25,0.86,0.87,0.85,0.85,2823034,0.18,0.18,-0.0,-0.01,-1.14,1d
1972-08-28,0.85,0.86,0.85,0.85,1436813,0.18,0.18,-0.0,-0.0,-0.29,1d
1972-08-29,0.85,0.86,0.85,0.86,2140042,0.18,0.18,0.0,0.01,0.95,1d
1972-08-30,0.86,0.86,0.85,0.85,2231107,0.18,0.18,-0.0,-0.01,-0.58,1d
1972-08-31,0.85,0.85,0.84,0.84,2190634,0.18,0.18,-0.0,-0.01,-0.87,1d
1972-09-01,0.84,0.85,0.84,0.85,4877069,0.18,0.18,0.0,0.0,0.29,1d
1972-09-05,0.85,0.85,0.84,0.85,991603,0.18,0.18,0.0,0.0,0.29,1d
1972-09-06,0.85,0.85,0.82,0.83,1917437,0.17,0.18,-0.0,-0.03,-2.62,1d
1972-09-07,0.83,0.83,0.8,0.8,3075994,0.17,0.17,-0.01,-0.03,-2.99,1d
1972-09-08,0.8,0.82,0.8,0.82,1780838,0.17,0.17,0.0,0.02,1.54,1d
1972-09-11,0.82,0.82,0.81,0.81,1391280,0.17,0.17,-0.0,-0.01,-0.61,1d
1972-09-12,0.81,0.82,0.8,0.8,1492464,0.17,0.17,-0.0,-0.02,-1.52,1d
1972-09-13,0.8,0.81,0.79,0.81,4275024,0.17,0.17,0.0,0.01,1.24,1d
1972-09-14,0.81,0.82,0.8,0.8,2069213,0.17,0.17,-0.0,-0.01,-0.92,1d
1972-09-15,0.8,0.82,0.8,0.81,1158557,0.17,0.17,0.0,0.02,1.54,1d
1972-09-18,0.81,0.83,0.81,0.82,728525,0.17,0.17,0.0,0.0,0.3,1d
1972-09-19,0.82,0.83,0.81,0.83,849946,0.17,0.17,0.0,0.01,1.21,1d
1972-09-20,0.83,0.84,0.82,0.82,1158557,0.17,0.17,-0.0,-0.0,-0.3,1d
1972-09-21,0.82,0.83,0.82,0.83,1340688,0.17,0.17,0.0,0.0,0.3,1d
1972-09-22,0.83,0.83,0.82,0.82,1290096,0.17,0.17,-0.0,-0.01,-0.9,1d
1972-09-25,0.82,0.82,0.8,0.81,6799565,0.17,0.17,-0.0,-0.01,-0.91,1d
1972-09-26,0.81,0.83,0.81,0.83,2018621,0.17,0.17,0.0,0.02,1.83,1d
1972-09-27,0.83,0.84,0.83,0.84,2038858,0.18,0.17,0.0,0.02,2.4,1d
1972-09-28,0.84,0.85,0.83,0.85,5752310,0.18,0.18,0.0,0.01,0.58,1d
1972-09-29,0.85,0.85,0.84,0.85,2276640,0.18,0.18,-0.0,-0.0,-0.29,1d
1972-10-02,0.84,0.84,0.84,0.84,2590310,0.18,0.18,-0.0,-0.01,-1.46,1d
1972-10-03,0.83,0.83,0.82,0.82,784176,0.17,0.18,-0.0,-0.02,-2.07,1d
1972-10-04,0.82,0.83,0.81,0.82,1922496,0.17,0.17,0.0,0.0,0.0,1d
1972-10-05,0.81,0.81,0.78,0.79,8261674,0.17,0.17,-0.01,-0.04,-3.63,1d
