Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",58.5,58.55,56.56,57.37,14134551,57.37,,,,,1hr
"January 03, 2022 10:30 AM",57.38,57.38,56.84,57.03,7048418,57.03,57.37,-0.33,-0.01,-0.58,1hr
"January 03, 2022 11:30 AM",57.03,57.38,56.9,57.24,3777291,57.24,57.03,0.2,0.0,0.35,1hr
"January 03, 2022 12:30 PM",57.24,57.26,56.72,56.88,4341074,56.88,57.24,-0.36,-0.01,-0.63,1hr
"January 03, 2022 01:30 PM",56.87,57.04,56.84,56.89,3348842,56.89,56.88,0.02,0.0,0.03,1hr
"January 03, 2022 02:30 PM",56.9,57.01,56.76,56.76,4200448,56.76,56.89,-0.13,-0.0,-0.22,1hr
"January 03, 2022 03:30 PM",56.76,56.79,56.34,56.59,11471527,56.59,56.76,-0.17,-0.0,-0.31,1hr
"January 04, 2022 09:30 AM",56.22,56.43,53.94,54.51,21126564,54.51,56.59,-2.08,-0.04,-3.68,1hr
"January 04, 2022 10:30 AM",54.52,54.94,54.15,54.9,8744282,54.9,54.51,0.4,0.01,0.72,1hr
"January 04, 2022 11:30 AM",54.9,55.43,54.76,55.04,6714545,55.04,54.9,0.14,0.0,0.25,1hr
"January 04, 2022 12:30 PM",55.04,55.17,54.6,54.72,3980166,54.72,55.04,-0.32,-0.01,-0.57,1hr
"January 04, 2022 01:30 PM",54.72,55.01,54.58,55.0,4209142,55.0,54.72,0.28,0.01,0.5,1hr
"January 04, 2022 02:30 PM",55.0,55.14,54.66,54.72,7022920,54.72,55.0,-0.28,-0.01,-0.5,1hr
"January 04, 2022 03:30 PM",54.72,54.75,54.4,54.53,8656794,54.53,54.72,-0.19,-0.0,-0.36,1hr
"January 05, 2022 09:30 AM",55.84,56.3,55.37,55.79,14494858,55.79,54.53,1.26,0.02,2.31,1hr
"January 05, 2022 10:30 AM",55.78,56.44,55.71,55.76,6382408,55.76,55.79,-0.03,-0.0,-0.05,1hr
"January 05, 2022 11:30 AM",55.76,55.85,55.49,55.75,3707857,55.75,55.76,-0.01,-0.0,-0.02,1hr
"January 05, 2022 12:30 PM",55.74,56.04,55.66,55.72,3878187,55.72,55.75,-0.03,-0.0,-0.05,1hr
"January 05, 2022 01:30 PM",55.73,56.24,55.66,56.17,5591135,56.17,55.72,0.44,0.01,0.8,1hr
"January 05, 2022 02:30 PM",56.17,56.38,55.53,55.67,6588727,55.67,56.17,-0.49,-0.01,-0.87,1hr
"January 05, 2022 03:30 PM",55.67,55.92,55.59,55.63,5599631,55.63,55.67,-0.04,-0.0,-0.08,1hr
"January 06, 2022 09:30 AM",55.16,55.34,54.49,54.71,8591818,54.71,55.63,-0.92,-0.02,-1.65,1hr
"January 06, 2022 10:30 AM",54.71,55.6,54.65,55.49,4884738,55.49,54.71,0.79,0.01,1.44,1hr
"January 06, 2022 11:30 AM",55.49,55.57,55.27,55.38,3204233,55.38,55.49,-0.12,-0.0,-0.21,1hr
