Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",51.22,51.29,51.17,51.28,301978,51.28,,,,,1min,0,50.96
"May 18, 2022 09:31 AM",51.28,51.36,51.1,51.17,119737,51.17,51.28,-0.12,-0.0,-0.22,1min,1,50.95
"May 18, 2022 09:32 AM",51.15,51.31,51.13,51.24,43277,51.24,51.17,0.07,0.0,0.14,1min,2,50.95
"May 18, 2022 09:33 AM",51.23,51.26,51.17,51.21,25948,51.21,51.24,-0.03,-0.0,-0.06,1min,3,50.95
"May 18, 2022 09:34 AM",51.21,51.23,51.14,51.22,47394,51.22,51.21,0.01,0.0,0.02,1min,4,50.95
"May 18, 2022 09:35 AM",51.22,51.33,51.17,51.18,67274,51.18,51.22,-0.04,-0.0,-0.08,1min,5,50.95
"May 18, 2022 09:36 AM",51.16,51.26,51.15,51.25,40880,51.25,51.18,0.07,0.0,0.14,1min,6,50.95
"May 18, 2022 09:37 AM",51.27,51.37,51.24,51.35,43737,51.35,51.25,0.1,0.0,0.2,1min,7,50.94
"May 18, 2022 09:38 AM",51.37,51.42,51.31,51.34,57687,51.34,51.35,-0.01,-0.0,-0.02,1min,8,50.94
"May 18, 2022 09:39 AM",51.33,51.34,51.24,51.27,63650,51.27,51.34,-0.07,-0.0,-0.14,1min,9,50.94
"May 18, 2022 09:40 AM",51.27,51.29,51.19,51.19,39040,51.19,51.27,-0.08,-0.0,-0.15,1min,10,50.94
"May 18, 2022 09:41 AM",51.2,51.21,51.13,51.14,38162,51.14,51.19,-0.06,-0.0,-0.11,1min,11,50.94
"May 18, 2022 09:42 AM",51.13,51.26,51.13,51.23,48186,51.23,51.14,0.09,0.0,0.18,1min,12,50.93
"May 18, 2022 09:43 AM",51.22,51.28,51.15,51.15,37714,51.15,51.23,-0.08,-0.0,-0.16,1min,13,50.93
"May 18, 2022 09:44 AM",51.13,51.15,51.1,51.11,45894,51.11,51.15,-0.04,-0.0,-0.08,1min,14,50.93
"May 18, 2022 09:45 AM",51.11,51.2,51.11,51.19,45358,51.19,51.11,0.08,0.0,0.16,1min,15,50.93
"May 18, 2022 09:46 AM",51.18,51.2,51.13,51.2,28613,51.2,51.19,0.01,0.0,0.02,1min,16,50.93
"May 18, 2022 09:47 AM",51.2,51.22,51.17,51.22,32888,51.22,51.2,0.02,0.0,0.04,1min,17,50.92
"May 18, 2022 09:48 AM",51.21,51.27,51.19,51.24,26759,51.24,51.22,0.02,0.0,0.05,1min,18,50.92
"May 18, 2022 09:49 AM",51.24,51.25,51.19,51.19,34878,51.19,51.24,-0.06,-0.0,-0.11,1min,19,50.92
"May 18, 2022 09:50 AM",51.19,51.21,51.14,51.14,36493,51.14,51.19,-0.05,-0.0,-0.1,1min,20,50.92
"May 18, 2022 09:51 AM",51.14,51.15,51.06,51.08,50298,51.08,51.14,-0.07,-0.0,-0.13,1min,21,50.92
"May 18, 2022 09:52 AM",51.08,51.1,51.03,51.05,36080,51.05,51.08,-0.02,-0.0,-0.04,1min,22,50.91
"May 18, 2022 09:53 AM",51.05,51.09,51.04,51.08,26107,51.08,51.05,0.03,0.0,0.06,1min,23,50.91
"May 18, 2022 09:54 AM",51.08,51.15,51.08,51.15,18371,51.15,51.08,0.06,0.0,0.12,1min,24,50.91
"May 18, 2022 09:55 AM",51.15,51.19,51.14,51.15,24268,51.15,51.15,0.0,0.0,0.01,1min,25,50.91
"May 18, 2022 09:56 AM",51.14,51.18,51.14,51.15,43850,51.15,51.15,0.0,0.0,0.0,1min,26,50.91
"May 18, 2022 09:57 AM",51.14,51.14,51.06,51.06,40142,51.06,51.15,-0.09,-0.0,-0.18,1min,27,50.9
"May 18, 2022 09:58 AM",51.05,51.05,50.98,50.98,56040,50.98,51.06,-0.08,-0.0,-0.15,1min,28,50.9
"May 18, 2022 09:59 AM",50.99,51.03,50.98,51.03,27789,51.03,50.98,0.05,0.0,0.1,1min,29,50.9
"May 18, 2022 10:00 AM",51.03,51.04,50.94,51.03,41838,51.03,51.03,0.0,0.0,0.0,1min,30,50.9
"May 18, 2022 10:01 AM",51.03,51.03,50.9,50.9,36846,50.9,51.03,-0.13,-0.0,-0.25,1min,31,50.9
"May 18, 2022 10:02 AM",50.9,50.93,50.9,50.91,22874,50.91,50.9,0.01,0.0,0.02,1min,32,50.89
"May 18, 2022 10:03 AM",50.92,50.97,50.91,50.95,52671,50.95,50.91,0.04,0.0,0.08,1min,33,50.89
"May 18, 2022 10:04 AM",50.95,50.99,50.92,50.97,37700,50.97,50.95,0.02,0.0,0.05,1min,34,50.89
"May 18, 2022 10:05 AM",50.97,50.97,50.94,50.94,48091,50.94,50.97,-0.03,-0.0,-0.07,1min,35,50.89
"May 18, 2022 10:06 AM",50.94,50.97,50.9,50.91,36652,50.91,50.94,-0.03,-0.0,-0.07,1min,36,50.89
"May 18, 2022 10:07 AM",50.9,50.92,50.8,50.82,63432,50.82,50.91,-0.09,-0.0,-0.17,1min,37,50.88
"May 18, 2022 10:08 AM",50.82,50.82,50.75,50.78,37709,50.78,50.82,-0.04,-0.0,-0.08,1min,38,50.88
"May 18, 2022 10:09 AM",50.78,50.84,50.71,50.71,36692,50.71,50.78,-0.07,-0.0,-0.13,1min,39,50.88
"May 18, 2022 10:10 AM",50.72,50.75,50.7,50.71,37195,50.71,50.71,-0.0,-0.0,-0.01,1min,40,50.88
"May 18, 2022 10:11 AM",50.71,50.73,50.68,50.71,47356,50.71,50.71,0.0,0.0,0.01,1min,41,50.88
"May 18, 2022 10:12 AM",50.72,50.74,50.68,50.71,32019,50.71,50.71,-0.01,-0.0,-0.02,1min,42,50.87
"May 18, 2022 10:13 AM",50.71,50.74,50.69,50.71,25956,50.71,50.71,-0.0,-0.0,-0.0,1min,43,50.87
"May 18, 2022 10:14 AM",50.7,50.76,50.7,50.76,31223,50.76,50.71,0.05,0.0,0.11,1min,44,50.87
"May 18, 2022 10:15 AM",50.77,50.79,50.76,50.78,33311,50.78,50.76,0.02,0.0,0.03,1min,45,50.87
"May 18, 2022 10:16 AM",50.78,50.8,50.75,50.77,53703,50.77,50.78,-0.01,-0.0,-0.01,1min,46,50.87
"May 18, 2022 10:17 AM",50.78,50.81,50.75,50.78,38890,50.78,50.77,0.01,0.0,0.02,1min,47,50.87
"May 18, 2022 10:18 AM",50.77,50.8,50.75,50.79,29030,50.79,50.78,0.01,0.0,0.03,1min,48,50.86
"May 18, 2022 10:19 AM",50.79,50.82,50.76,50.77,42478,50.77,50.79,-0.02,-0.0,-0.05,1min,49,50.86
"May 18, 2022 10:20 AM",50.77,50.81,50.76,50.8,39515,50.8,50.77,0.03,0.0,0.06,1min,50,50.86
"May 18, 2022 10:21 AM",50.81,50.81,50.76,50.78,30755,50.78,50.8,-0.02,-0.0,-0.05,1min,51,50.86
"May 18, 2022 10:22 AM",50.78,50.79,50.76,50.77,23338,50.77,50.78,-0.01,-0.0,-0.01,1min,52,50.86
"May 18, 2022 10:23 AM",50.76,50.77,50.72,50.72,30578,50.72,50.77,-0.05,-0.0,-0.1,1min,53,50.85
"May 18, 2022 10:24 AM",50.71,50.77,50.71,50.75,53020,50.75,50.72,0.03,0.0,0.06,1min,54,50.85
"May 18, 2022 10:25 AM",50.75,50.76,50.69,50.69,28334,50.69,50.75,-0.06,-0.0,-0.11,1min,55,50.85
"May 18, 2022 10:26 AM",50.69,50.71,50.67,50.68,32371,50.68,50.69,-0.01,-0.0,-0.03,1min,56,50.85
"May 18, 2022 10:27 AM",50.67,50.69,50.66,50.69,53043,50.69,50.68,0.01,0.0,0.02,1min,57,50.85
"May 18, 2022 10:28 AM",50.69,50.71,50.67,50.68,37051,50.68,50.69,-0.01,-0.0,-0.02,1min,58,50.84
"May 18, 2022 10:29 AM",50.68,50.72,50.68,50.7,39369,50.7,50.68,0.02,0.0,0.04,1min,59,50.84
"May 18, 2022 10:30 AM",50.71,50.75,50.69,50.75,39616,50.75,50.7,0.05,0.0,0.1,1min,60,50.84
