Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",51.66,51.88,49.37,50.18,33441500,49.77,,,,,1mo
"April 20, 2022",50.0,50.16,49.21,49.75,24751800,49.35,49.77,-0.43,-0.01,-0.86,1mo
"April 21, 2022",49.93,50.01,48.92,49.11,19105600,48.71,49.35,-0.63,-0.01,-1.29,1mo
"April 22, 2022",48.95,49.1,47.9,48.13,22156800,47.74,48.71,-0.97,-0.02,-2.0,1mo
"April 25, 2022",47.85,49.19,47.12,48.95,27390600,48.55,47.74,0.81,0.02,1.7,1mo
"April 26, 2022",48.99,50.25,48.92,49.03,25366500,48.63,48.55,0.08,0.0,0.16,1mo
"April 27, 2022",49.11,49.91,48.21,49.74,25819200,49.34,48.63,0.7,0.01,1.45,1mo
"April 28, 2022",50.44,50.77,49.49,50.51,28225400,50.1,49.34,0.76,0.02,1.55,1mo
"April 29, 2022",49.87,50.34,49.0,49.07,28325400,48.67,50.1,-1.43,-0.03,-2.85,1mo
"May 02, 2022",47.68,48.76,47.46,48.34,36228400,47.95,48.67,-0.72,-0.01,-1.49,1mo
"May 03, 2022",48.87,50.04,47.7,49.29,33716900,48.89,47.95,0.94,0.02,1.97,1mo
"May 04, 2022",48.89,49.87,47.91,49.66,28613700,49.26,48.89,0.37,0.01,0.75,1mo
"May 05, 2022",49.46,49.55,47.55,48.45,28333000,48.06,49.26,-1.2,-0.02,-2.44,1mo
"May 06, 2022",48.09,49.22,48.04,49.04,19886200,48.64,48.06,0.59,0.01,1.22,1mo
"May 09, 2022",48.38,49.17,47.77,48.64,25012300,48.25,48.64,-0.4,-0.01,-0.82,1mo
"May 10, 2022",49.04,49.9,48.69,49.49,27335900,49.09,48.25,0.84,0.02,1.75,1mo
"May 11, 2022",49.07,50.24,49.03,49.45,29699500,49.05,49.09,-0.04,-0.0,-0.08,1mo
"May 12, 2022",49.0,50.43,48.72,50.39,33468400,50.39,49.05,1.34,0.03,2.73,1mo
"May 13, 2022",50.38,50.79,49.68,49.92,22413900,49.92,50.39,-0.47,-0.01,-0.93,1mo
"May 16, 2022",49.87,51.05,49.87,50.67,19435600,50.67,49.92,0.75,0.02,1.5,1mo
"May 17, 2022",50.95,51.52,50.18,51.34,19918200,51.34,50.67,0.67,0.01,1.32,1mo
"May 18, 2022",51.22,51.42,50.16,50.4,22269300,50.4,51.34,-0.94,-0.02,-1.83,1mo
