Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
1972-05-29,0.82,0.82,0.8,0.81,4072656.0,0.17,,,,,1wk
1972-06-05,0.81,0.83,0.8,0.82,8595581.0,0.17,0.17,0.0,0.02,1.84,1wk
1972-06-12,0.82,0.84,0.81,0.84,11312372.0,0.18,0.17,0.0,0.02,1.81,1wk
1972-06-19,0.84,0.85,0.82,0.84,9986861.0,0.18,0.18,0.0,0.01,0.59,1wk
1972-06-26,0.84,0.85,0.82,0.84,9025613.0,0.18,0.18,-0.0,-0.0,-0.29,1wk
1972-07-03,0.84,0.88,0.83,0.88,9744020.0,0.19,0.18,0.01,0.06,5.6,1wk
1972-07-10,0.88,0.9,0.86,0.88,10669853.0,0.19,0.19,0.0,0.0,0.0,1wk
1972-07-17,0.88,0.89,0.84,0.86,6941222.0,0.18,0.19,-0.0,-0.02,-2.23,1wk
1972-07-24,0.86,0.87,0.84,0.86,16047784.0,0.18,0.18,-0.0,-0.01,-0.86,1wk
1972-07-31,0.86,0.88,0.85,0.87,10320768.0,0.18,0.18,0.0,0.02,1.73,1wk
1972-08-07,0.87,0.9,0.86,0.9,11170714.0,0.19,0.18,0.01,0.04,3.68,1wk
1972-08-14,0.9,0.91,0.88,0.88,11879003.0,0.18,0.19,-0.01,-0.03,-2.73,1wk
1972-08-21,0.88,0.89,0.85,0.85,9359520.0,0.18,0.18,-0.01,-0.03,-2.81,1wk
1972-08-28,0.85,0.86,0.84,0.85,12875665.0,0.18,0.18,-0.0,-0.01,-0.87,1wk
1972-08-29,,,,,,,0.18,,,,1wk
1972-09-04,0.85,0.85,0.8,0.82,7765872.0,0.17,,,,,1wk
1972-09-11,0.82,0.82,0.79,0.81,10386538.0,0.17,0.17,-0.0,-0.0,-0.3,1wk
1972-09-18,0.81,0.84,0.81,0.82,5367812.0,0.17,0.17,0.0,0.01,0.61,1wk
1972-09-25,0.82,0.85,0.8,0.85,18885994.0,0.18,0.17,0.01,0.04,3.63,1wk
1972-10-02,0.84,0.84,0.78,0.8,15961776.0,0.17,0.18,-0.01,-0.05,-5.25,1wk
1972-10-09,0.8,0.82,0.78,0.79,10700208.0,0.17,0.17,-0.0,-0.02,-2.15,1wk
1972-10-16,0.79,0.81,0.77,0.81,11570390.0,0.17,0.17,0.0,0.03,2.52,1wk
1972-10-23,0.81,0.83,0.8,0.81,8711942.0,0.17,0.17,0.0,0.01,0.92,1wk
1972-10-30,0.81,0.89,0.8,0.89,14160700.0,0.19,0.17,0.02,0.09,9.42,1wk
1972-11-06,0.89,0.89,0.84,0.85,12359626.0,0.18,0.19,-0.01,-0.04,-4.44,1wk
1972-11-13,0.85,0.86,0.84,0.85,15309139.0,0.18,0.18,0.0,0.0,0.0,1wk
