Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-05,36.44,36.57,36.1,36.28,22096900,35.03,,,,,1yr,0,37.27
2021-04-06,36.26,36.4,36.0,36.05,20722900,34.81,35.03,-0.22,-0.01,-0.63,1yr,1,37.34
2021-04-07,36.03,36.24,35.76,35.91,21933800,34.67,34.81,-0.14,-0.0,-0.39,1yr,2,37.41
2021-04-08,35.96,36.15,35.87,35.96,18129400,34.72,34.67,0.05,0.0,0.14,1yr,3,37.48
2021-04-09,35.9,36.81,35.9,36.6,31686700,35.34,34.72,0.62,0.02,1.78,1yr,4,37.55
2021-04-12,36.48,37.03,36.33,36.97,29944900,35.69,35.34,0.36,0.01,1.01,1yr,5,37.62
2021-04-13,37.41,37.65,36.89,37.16,33967400,35.88,35.69,0.18,0.01,0.51,1yr,6,37.69
2021-04-14,37.17,37.38,36.96,37.17,23842900,35.89,35.88,0.01,0.0,0.03,1yr,7,37.76
2021-04-15,37.26,37.74,37.26,37.6,24945800,36.3,35.89,0.42,0.01,1.16,1yr,8,37.83
2021-04-16,37.87,38.7,37.81,38.57,52829500,37.24,36.3,0.94,0.03,2.58,1yr,9,37.9
2021-04-19,38.6,38.96,38.33,38.93,30905100,37.59,37.24,0.35,0.01,0.93,1yr,10,37.97
2021-04-20,38.75,39.24,38.75,39.03,26459400,37.68,37.59,0.1,0.0,0.26,1yr,11,38.04
2021-04-21,39.14,39.67,39.13,39.53,29365000,38.17,37.68,0.48,0.01,1.28,1yr,12,38.11
2021-04-22,39.48,39.5,38.52,38.64,33373600,37.31,38.17,-0.86,-0.02,-2.25,1yr,13,38.19
2021-04-23,38.63,38.83,38.43,38.66,24375000,37.33,37.31,0.02,0.0,0.05,1yr,14,38.26
2021-04-26,38.73,38.74,38.49,38.68,19773400,37.34,37.33,0.02,0.0,0.05,1yr,15,38.33
2021-04-27,38.51,38.61,38.35,38.45,19061500,37.12,37.34,-0.22,-0.01,-0.59,1yr,16,38.4
