Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2022-04-06 09:30:00,51.16,51.83,51.16,51.82,2018579,51.82,,,,,5min
2022-04-06 09:35:00,51.83,52.09,51.7,52.05,689594,52.05,51.82,0.23,0.0,0.44,5min
2022-04-06 09:40:00,52.06,52.34,51.94,52.25,593537,52.25,52.05,0.2,0.0,0.38,5min
2022-04-06 09:45:00,52.26,52.64,52.17,52.48,715271,52.48,52.25,0.23,0.0,0.44,5min
2022-04-06 09:50:00,52.48,52.76,52.39,52.7,3043690,52.7,52.48,0.22,0.0,0.42,5min
2022-04-06 09:55:00,52.7,52.75,52.43,52.43,429601,52.43,52.7,-0.27,-0.01,-0.51,5min
2022-04-06 10:00:00,52.44,52.62,52.29,52.41,439897,52.41,52.43,-0.02,-0.0,-0.04,5min
2022-04-06 10:05:00,52.41,52.51,52.36,52.41,320865,52.41,52.41,0.0,0.0,0.0,5min
2022-04-06 10:10:00,52.41,52.71,52.39,52.67,416619,52.67,52.41,0.26,0.01,0.51,5min
2022-04-06 10:15:00,52.67,52.84,52.65,52.8,498304,52.8,52.67,0.12,0.0,0.24,5min
2022-04-06 10:20:00,52.8,52.83,52.65,52.69,436872,52.69,52.8,-0.1,-0.0,-0.2,5min
2022-04-06 10:25:00,52.69,52.78,52.49,52.49,287135,52.49,52.69,-0.2,-0.0,-0.38,5min
2022-04-06 10:30:00,52.49,52.49,52.28,52.35,201116,52.35,52.49,-0.15,-0.0,-0.28,5min
2022-04-06 10:35:00,52.36,52.44,52.28,52.28,247327,52.28,52.35,-0.07,-0.0,-0.13,5min
2022-04-06 10:40:00,52.28,52.33,52.21,52.26,191068,52.26,52.28,-0.02,-0.0,-0.04,5min
2022-04-06 10:45:00,52.25,52.28,52.06,52.13,275767,52.13,52.26,-0.13,-0.0,-0.25,5min
2022-04-06 10:50:00,52.14,52.15,52.01,52.02,270881,52.02,52.13,-0.11,-0.0,-0.22,5min
2022-04-06 10:55:00,52.02,52.14,51.96,52.03,321006,52.03,52.02,0.02,0.0,0.03,5min
2022-04-06 11:00:00,52.04,52.06,51.99,52.02,242488,52.02,52.03,-0.01,-0.0,-0.03,5min
2022-04-06 11:05:00,52.03,52.11,52.01,52.04,125042,52.04,52.02,0.02,0.0,0.05,5min
2022-04-06 11:10:00,52.05,52.11,52.03,52.03,207288,52.03,52.04,-0.02,-0.0,-0.04,5min
2022-04-06 11:15:00,52.03,52.07,51.99,52.06,157899,52.06,52.03,0.04,0.0,0.08,5min
2022-04-06 11:20:00,52.06,52.15,52.03,52.08,222502,52.08,52.06,0.02,0.0,0.04,5min
2022-04-06 11:25:00,52.09,52.17,52.08,52.11,229309,52.11,52.08,0.03,0.0,0.05,5min
2022-04-06 11:30:00,52.12,52.32,52.11,52.29,249144,52.29,52.11,0.18,0.0,0.35,5min
2022-04-06 11:35:00,52.29,52.35,52.18,52.18,144566,52.18,52.29,-0.11,-0.0,-0.21,5min
2022-04-06 11:40:00,52.19,52.28,52.16,52.21,179121,52.21,52.18,0.02,0.0,0.05,5min
2022-04-06 11:45:00,52.21,52.22,52.1,52.21,151148,52.21,52.21,0.0,0.0,0.01,5min
2022-04-06 11:50:00,52.22,52.37,52.19,52.36,190778,52.36,52.21,0.15,0.0,0.29,5min
2022-04-06 11:55:00,52.36,52.38,52.29,52.38,108393,52.38,52.36,0.02,0.0,0.03,5min
2022-04-06 12:00:00,52.38,52.41,52.31,52.33,136041,52.33,52.38,-0.05,-0.0,-0.1,5min
2022-04-06 12:05:00,52.33,52.41,52.32,52.38,123889,52.38,52.33,0.06,0.0,0.11,5min
2022-04-06 12:10:00,52.39,52.47,52.38,52.45,213834,52.45,52.38,0.07,0.0,0.12,5min
2022-04-06 12:15:00,52.44,52.48,52.38,52.42,239979,52.42,52.45,-0.03,-0.0,-0.06,5min
2022-04-06 12:20:00,52.43,52.5,52.4,52.46,172335,52.46,52.42,0.04,0.0,0.08,5min
2022-04-06 12:25:00,52.46,52.47,52.38,52.4,124282,52.4,52.46,-0.06,-0.0,-0.12,5min
2022-04-06 12:30:00,52.41,52.49,52.41,52.42,122061,52.42,52.4,0.03,0.0,0.06,5min
2022-04-06 12:35:00,52.42,52.47,52.42,52.45,112320,52.45,52.42,0.03,0.0,0.05,5min
2022-04-06 12:40:00,52.44,52.5,52.42,52.5,115409,52.5,52.45,0.05,0.0,0.1,5min
2022-04-06 12:45:00,52.49,52.5,52.34,52.35,149955,52.35,52.5,-0.15,-0.0,-0.28,5min
2022-04-06 12:50:00,52.36,52.36,52.22,52.29,237696,52.29,52.35,-0.06,-0.0,-0.11,5min
