Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2019-04-18,23.75,25.18,23.05,24.4,87109500,24.4,,,,,1d
2019-04-22,24.62,25.68,23.57,24.99,19746800,24.99,24.4,0.59,0.02,2.42,1d
2019-04-23,25.38,27.75,25.23,25.85,19245400,25.85,24.99,0.86,0.03,3.44,1d
2019-04-24,26.5,27.03,25.93,26.8,9477200,26.8,25.85,0.95,0.04,3.68,1d
2019-04-25,27.45,29.4,26.67,28.8,16648300,28.8,26.8,2.0,0.07,7.46,1d
2019-04-26,29.84,30.68,28.37,29.85,16825600,29.85,28.8,1.05,0.04,3.65,1d
2019-04-29,30.77,34.41,29.86,34.26,25616700,34.26,29.85,4.41,0.15,14.77,1d
2019-04-30,35.2,35.29,30.53,30.98,35885700,30.98,34.26,-3.28,-0.1,-9.57,1d
2019-05-01,31.5,32.89,30.5,31.23,13981300,31.23,30.98,0.25,0.01,0.81,1d
2019-05-02,31.62,31.68,28.86,29.74,14052400,29.74,31.23,-1.49,-0.05,-4.77,1d
2019-05-03,29.55,30.55,28.12,28.36,10611000,28.36,29.74,-1.38,-0.05,-4.64,1d
2019-05-06,27.67,30.0,26.9,29.5,9930600,29.5,28.36,1.14,0.04,4.02,1d
2019-05-07,29.67,29.75,28.16,28.69,6310900,28.69,29.5,-0.81,-0.03,-2.75,1d
2019-05-08,28.46,30.2,28.37,29.51,7115900,29.51,28.69,0.82,0.03,2.86,1d
2019-05-09,29.09,29.26,28.42,28.75,4507200,28.75,29.51,-0.76,-0.03,-2.58,1d
2019-05-10,29.08,29.45,27.66,29.05,5709000,29.05,28.75,0.3,0.01,1.04,1d
2019-05-13,27.8,28.0,26.39,26.63,9111300,26.63,29.05,-2.42,-0.08,-8.33,1d
2019-05-14,27.41,29.02,27.02,28.99,7075100,28.99,26.63,2.36,0.09,8.86,1d
2019-05-15,28.95,29.1,28.13,28.63,4492800,28.63,28.99,-0.36,-0.01,-1.24,1d
2019-05-16,28.85,31.15,28.45,30.86,17612000,30.86,28.63,2.23,0.08,7.79,1d
2019-05-17,25.87,28.12,25.7,26.7,26271800,26.7,30.86,-4.16,-0.13,-13.48,1d
2019-05-20,27.24,27.24,25.71,25.85,7269200,25.85,26.7,-0.85,-0.03,-3.18,1d
2019-05-21,26.3,26.55,25.3,25.41,6481700,25.41,25.85,-0.44,-0.02,-1.7,1d
2019-05-22,25.3,25.34,24.1,24.6,7955700,24.6,25.41,-0.81,-0.03,-3.19,1d
2019-05-23,24.15,24.33,23.6,23.8,4718200,23.8,24.6,-0.8,-0.03,-3.25,1d
2019-05-24,24.0,25.99,23.89,25.5,7738300,25.5,23.8,1.7,0.07,7.14,1d
2019-05-28,25.65,26.38,25.41,25.8,4550900,25.8,25.5,0.3,0.01,1.18,1d
2019-05-29,25.42,25.78,24.95,25.58,2537700,25.58,25.8,-0.22,-0.01,-0.85,1d
2019-05-30,25.54,25.89,25.13,25.51,1982200,25.51,25.58,-0.07,-0.0,-0.27,1d
2019-05-31,24.99,25.63,24.75,24.92,2618000,24.92,25.51,-0.59,-0.02,-2.31,1d
2019-06-03,24.98,25.14,24.23,24.4,3691300,24.4,24.92,-0.52,-0.02,-2.09,1d
2019-06-04,24.86,24.95,24.07,24.2,3687100,24.2,24.4,-0.2,-0.01,-0.82,1d
2019-06-05,24.52,25.07,23.91,24.94,2703200,24.94,24.2,0.74,0.03,3.06,1d
2019-06-06,24.94,25.97,24.91,25.81,3573700,25.81,24.94,0.87,0.03,3.49,1d
2019-06-07,26.0,27.74,25.97,27.61,6580200,27.61,25.81,1.8,0.07,6.97,1d
2019-06-10,27.84,28.95,27.07,27.94,5750900,27.94,27.61,0.33,0.01,1.2,1d
2019-06-11,28.18,28.19,26.17,26.48,4269000,26.48,27.94,-1.46,-0.05,-5.23,1d
2019-06-12,26.23,27.5,26.21,27.05,3160100,27.05,26.48,0.57,0.02,2.15,1d
2019-06-13,27.29,27.36,26.67,26.95,1629500,26.95,27.05,-0.1,-0.0,-0.37,1d
2019-06-14,26.9,27.96,26.5,27.41,2630300,27.41,26.95,0.46,0.02,1.71,1d
2019-06-17,27.66,28.73,27.33,27.85,4439500,27.85,27.41,0.44,0.02,1.61,1d
2019-06-18,29.46,29.81,28.22,28.8,8769900,28.8,27.85,0.95,0.03,3.41,1d
2019-06-19,29.0,29.1,27.56,28.09,3978800,28.09,28.8,-0.71,-0.02,-2.47,1d
2019-06-20,28.84,29.08,27.44,27.54,3975900,27.54,28.09,-0.55,-0.02,-1.96,1d
2019-06-21,27.32,27.98,27.22,27.98,5794600,27.98,27.54,0.44,0.02,1.6,1d
2019-06-24,27.98,28.11,26.57,26.69,3242900,26.69,27.98,-1.29,-0.05,-4.61,1d
2019-06-25,26.55,27.09,25.82,26.14,2658700,26.14,26.69,-0.55,-0.02,-2.06,1d
2019-06-26,26.37,26.69,25.86,26.23,1960000,26.23,26.14,0.09,0.0,0.34,1d
2019-06-27,26.33,27.37,26.3,27.23,2281800,27.23,26.23,1.0,0.04,3.81,1d
2019-06-28,27.37,27.65,26.6,27.22,2714500,27.22,27.23,-0.01,-0.0,-0.04,1d
2019-07-01,27.6,28.05,26.44,26.68,3739800,26.68,27.22,-0.54,-0.02,-1.98,1d
2019-07-02,26.8,27.16,26.41,26.91,2749000,26.91,26.68,0.23,0.01,0.86,1d
2019-07-03,26.94,27.69,26.94,27.47,2329600,27.47,26.91,0.56,0.02,2.08,1d
2019-07-05,27.47,27.5,26.82,27.25,1870500,27.25,27.47,-0.22,-0.01,-0.8,1d
