Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",21.93,22.54,21.85,22.25,803301,22.25,,,,,15min
"May 18, 2022 09:45 AM",22.25,22.55,22.18,22.39,332182,22.39,22.25,0.14,0.01,0.63,15min
"May 18, 2022 10:00 AM",22.38,22.67,22.37,22.52,296127,22.52,22.39,0.13,0.01,0.58,15min
"May 18, 2022 10:15 AM",22.52,22.65,22.44,22.5,442012,22.5,22.52,-0.02,-0.0,-0.09,15min
"May 18, 2022 10:30 AM",22.49,22.61,22.39,22.61,237965,22.61,22.5,0.11,0.0,0.49,15min
"May 18, 2022 10:45 AM",22.6,22.68,22.53,22.67,205188,22.67,22.61,0.06,0.0,0.27,15min
"May 18, 2022 11:00 AM",22.67,22.67,22.33,22.35,181757,22.35,22.67,-0.32,-0.01,-1.41,15min
"May 18, 2022 11:15 AM",22.35,22.38,22.03,22.06,175828,22.06,22.35,-0.3,-0.01,-1.32,15min
"May 18, 2022 11:30 AM",22.07,22.14,21.95,22.1,246587,22.1,22.06,0.05,0.0,0.23,15min
"May 18, 2022 11:45 AM",22.1,22.12,21.93,22.0,294033,22.0,22.1,-0.1,-0.0,-0.45,15min
"May 18, 2022 12:00 PM",22.0,22.06,21.89,21.97,326791,21.97,22.0,-0.04,-0.0,-0.18,15min
"May 18, 2022 12:15 PM",21.98,22.01,21.81,21.88,173199,21.88,21.97,-0.09,-0.0,-0.39,15min
"May 18, 2022 12:30 PM",21.88,21.92,21.78,21.83,191858,21.83,21.88,-0.05,-0.0,-0.21,15min
"May 18, 2022 12:45 PM",21.83,22.11,21.78,22.1,481513,22.1,21.83,0.27,0.01,1.24,15min
"May 18, 2022 01:00 PM",22.11,22.11,21.82,21.84,250770,21.84,22.1,-0.26,-0.01,-1.18,15min
"May 18, 2022 01:15 PM",21.84,22.02,21.83,22.0,496744,22.0,21.84,0.15,0.01,0.69,15min
"May 18, 2022 01:30 PM",21.99,22.03,21.89,21.89,247955,21.89,22.0,-0.11,-0.01,-0.5,15min
"May 18, 2022 01:45 PM",21.89,21.92,21.83,21.91,201519,21.91,21.89,0.02,0.0,0.11,15min
"May 18, 2022 02:00 PM",21.92,21.99,21.84,21.91,213580,21.91,21.91,0.0,0.0,0.0,15min
"May 18, 2022 02:15 PM",21.92,22.04,21.91,22.01,188451,22.01,21.91,0.1,0.0,0.46,15min
"May 18, 2022 02:30 PM",22.0,22.05,21.88,22.0,164573,22.0,22.01,-0.01,-0.0,-0.05,15min
"May 18, 2022 02:45 PM",22.01,22.23,22.0,22.11,670067,22.11,22.0,0.11,0.01,0.5,15min
"May 18, 2022 03:00 PM",22.11,22.26,22.09,22.17,460699,22.17,22.11,0.06,0.0,0.29,15min
"May 18, 2022 03:15 PM",22.17,22.22,22.0,22.05,584503,22.05,22.17,-0.13,-0.01,-0.59,15min
"May 18, 2022 03:30 PM",22.05,22.2,22.04,22.17,893078,22.17,22.05,0.12,0.01,0.54,15min
"May 18, 2022 03:45 PM",22.17,22.23,22.03,22.12,1564201,22.12,22.17,-0.05,-0.0,-0.2,15min
"May 18, 2022 04:00 PM",22.09,22.09,22.09,22.09,0,22.09,22.12,-0.03,-0.0,-0.14,15min
