Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"January 03, 2022 09:30 AM",36.8,36.95,35.94,36.47,2217827,36.47,,,,,1hr
"January 03, 2022 10:30 AM",36.47,36.76,36.01,36.13,2391188,36.13,36.47,-0.34,-0.01,-0.93,1hr
"January 03, 2022 11:30 AM",36.13,36.33,35.95,36.03,588447,36.03,36.13,-0.1,-0.0,-0.29,1hr
"January 03, 2022 12:30 PM",36.02,36.34,36.0,36.21,494542,36.21,36.03,0.18,0.01,0.51,1hr
"January 03, 2022 01:30 PM",36.21,36.45,36.19,36.33,596071,36.33,36.21,0.12,0.0,0.33,1hr
"January 03, 2022 02:30 PM",36.33,36.38,36.18,36.32,876555,36.32,36.33,-0.01,-0.0,-0.03,1hr
"January 03, 2022 03:30 PM",36.31,36.5,36.27,36.4,969830,36.4,36.32,0.08,0.0,0.22,1hr
"January 04, 2022 09:30 AM",35.17,35.56,33.56,33.78,5603883,33.78,36.4,-2.62,-0.07,-7.2,1hr
"January 04, 2022 10:30 AM",33.77,33.83,32.89,33.0,3677018,33.0,33.78,-0.78,-0.02,-2.31,1hr
"January 04, 2022 11:30 AM",33.0,33.35,32.75,32.78,2584524,32.78,33.0,-0.22,-0.01,-0.67,1hr
"January 04, 2022 12:30 PM",32.78,33.19,32.6,32.72,2393906,32.72,32.78,-0.06,-0.0,-0.2,1hr
"January 04, 2022 01:30 PM",32.72,32.75,32.42,32.71,1675105,32.71,32.72,-0.01,-0.0,-0.02,1hr
"January 04, 2022 02:30 PM",32.7,33.18,32.65,33.08,2535143,33.08,32.71,0.37,0.01,1.12,1hr
"January 04, 2022 03:30 PM",33.07,33.31,33.01,33.12,2723419,33.12,33.08,0.05,0.0,0.15,1hr
"January 05, 2022 09:30 AM",33.51,34.3,33.25,33.65,4323799,33.65,33.12,0.53,0.02,1.59,1hr
"January 05, 2022 10:30 AM",33.62,33.9,33.34,33.51,1429858,33.51,33.65,-0.14,-0.0,-0.42,1hr
"January 05, 2022 11:30 AM",33.51,33.56,33.23,33.27,1007935,33.27,33.51,-0.24,-0.01,-0.72,1hr
"January 05, 2022 12:30 PM",33.27,33.35,33.06,33.34,1151548,33.34,33.27,0.07,0.0,0.21,1hr
"January 05, 2022 01:30 PM",33.33,33.48,32.92,33.11,1552705,33.11,33.34,-0.23,-0.01,-0.7,1hr
"January 05, 2022 02:30 PM",33.11,33.17,32.5,32.6,1707313,32.6,33.11,-0.51,-0.02,-1.55,1hr
"January 05, 2022 03:30 PM",32.59,33.1,32.57,32.83,1984215,32.83,32.6,0.24,0.01,0.72,1hr
"January 06, 2022 09:30 AM",32.55,33.2,31.61,32.04,3125884,32.04,32.83,-0.79,-0.02,-2.41,1hr
"January 06, 2022 10:30 AM",32.04,33.18,32.03,33.02,2744932,33.02,32.04,0.98,0.03,3.06,1hr
"January 06, 2022 11:30 AM",33.02,33.4,32.73,33.12,1888990,33.12,33.02,0.1,0.0,0.3,1hr
"January 06, 2022 12:30 PM",33.11,33.3,32.93,32.95,883469,32.95,33.12,-0.17,-0.01,-0.5,1hr
"January 06, 2022 01:30 PM",32.97,33.29,32.83,33.17,760401,33.17,32.95,0.22,0.01,0.66,1hr
"January 06, 2022 02:30 PM",33.16,33.23,32.94,33.17,1066321,33.17,33.17,0.0,0.0,0.0,1hr
"January 06, 2022 03:30 PM",33.16,33.21,32.62,32.7,1246987,32.7,33.17,-0.47,-0.01,-1.42,1hr
"January 07, 2022 09:30 AM",32.48,33.48,32.32,32.79,1753648,32.79,32.7,0.09,0.0,0.28,1hr
"January 07, 2022 10:30 AM",32.76,32.85,32.1,32.53,1048942,32.53,32.79,-0.26,-0.01,-0.78,1hr
"January 07, 2022 11:30 AM",32.52,33.22,32.45,33.04,1029964,33.04,32.53,0.51,0.02,1.55,1hr
"January 07, 2022 12:30 PM",33.04,33.19,32.84,32.88,877308,32.88,33.04,-0.16,-0.0,-0.48,1hr
"January 07, 2022 01:30 PM",32.88,32.97,32.63,32.71,572715,32.71,32.88,-0.17,-0.01,-0.52,1hr
"January 07, 2022 02:30 PM",32.69,32.87,32.57,32.65,774081,32.65,32.71,-0.06,-0.0,-0.18,1hr
"January 07, 2022 03:30 PM",32.64,32.79,32.37,32.42,1587529,32.42,32.65,-0.23,-0.01,-0.7,1hr
"January 10, 2022 09:30 AM",31.7,32.58,31.39,31.45,2087050,31.45,32.42,-0.97,-0.03,-2.99,1hr
"January 10, 2022 10:30 AM",31.45,31.74,31.01,31.68,1576858,31.68,31.45,0.23,0.01,0.75,1hr
"January 10, 2022 11:30 AM",31.69,31.91,31.43,31.43,1126650,31.43,31.68,-0.25,-0.01,-0.8,1hr
"January 10, 2022 12:30 PM",31.44,31.85,31.37,31.81,714750,31.81,31.43,0.38,0.01,1.19,1hr
"January 10, 2022 01:30 PM",31.81,32.86,31.72,32.79,1526934,32.79,31.81,0.99,0.03,3.1,1hr
"January 10, 2022 02:30 PM",32.78,32.97,32.22,32.63,1229485,32.63,32.79,-0.16,-0.0,-0.49,1hr
"January 10, 2022 03:30 PM",32.63,32.9,32.57,32.69,1676922,32.69,32.63,0.06,0.0,0.18,1hr
"January 11, 2022 09:30 AM",33.0,34.27,32.6,33.9,2498129,33.9,32.69,1.22,0.04,3.72,1hr
"January 11, 2022 10:30 AM",33.9,34.12,33.41,34.05,1445344,34.05,33.9,0.15,0.0,0.43,1hr
"January 11, 2022 11:30 AM",34.06,34.38,33.89,34.0,1152361,34.0,34.05,-0.05,-0.0,-0.15,1hr
"January 11, 2022 12:30 PM",34.02,34.19,33.92,34.07,548492,34.07,34.0,0.07,0.0,0.21,1hr
"January 11, 2022 01:30 PM",34.07,34.15,33.91,33.94,637426,33.94,34.07,-0.13,-0.0,-0.38,1hr
"January 11, 2022 02:30 PM",33.95,34.05,33.75,34.01,799472,34.01,33.94,0.07,0.0,0.2,1hr
"January 11, 2022 03:30 PM",34.02,34.1,33.94,34.01,1175472,34.01,34.01,-0.0,-0.0,-0.01,1hr
"January 12, 2022 09:30 AM",34.27,35.04,34.12,34.41,2375427,34.41,34.01,0.4,0.01,1.19,1hr
"January 12, 2022 10:30 AM",34.42,34.43,33.42,33.96,1722460,33.96,34.41,-0.45,-0.01,-1.31,1hr
"January 12, 2022 11:30 AM",33.95,34.7,33.92,34.64,1157337,34.64,33.96,0.68,0.02,2.0,1hr
"January 12, 2022 12:30 PM",34.65,34.92,34.53,34.63,854267,34.63,34.64,-0.01,-0.0,-0.03,1hr
"January 12, 2022 01:30 PM",34.62,34.72,34.43,34.61,791300,34.61,34.63,-0.02,-0.0,-0.06,1hr
"January 12, 2022 02:30 PM",34.61,34.64,34.42,34.47,724889,34.47,34.61,-0.15,-0.0,-0.42,1hr
"January 12, 2022 03:30 PM",34.47,34.52,34.37,34.43,1270135,34.43,34.47,-0.03,-0.0,-0.1,1hr
"January 13, 2022 09:30 AM",34.43,34.7,33.66,33.75,1282567,33.75,34.43,-0.68,-0.02,-1.96,1hr
"January 13, 2022 10:30 AM",33.76,33.97,33.28,33.84,941103,33.84,33.75,0.09,0.0,0.26,1hr
"January 13, 2022 11:30 AM",33.83,34.05,33.65,33.68,593669,33.68,33.84,-0.16,-0.0,-0.47,1hr
"January 13, 2022 12:30 PM",33.67,33.77,33.38,33.57,848462,33.57,33.68,-0.11,-0.0,-0.33,1hr
"January 13, 2022 01:30 PM",33.56,33.81,33.43,33.61,537244,33.61,33.57,0.04,0.0,0.12,1hr
"January 13, 2022 02:30 PM",33.59,33.6,33.27,33.37,723391,33.37,33.61,-0.24,-0.01,-0.73,1hr
