Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",21.93,22.04,21.85,22.04,165423,22.04,,,,,1min,0,22.37
"May 18, 2022 09:31 AM",22.08,22.25,22.08,22.2,72683,22.2,22.04,0.16,0.01,0.73,1min,1,22.37
"May 18, 2022 09:32 AM",22.22,22.36,22.2,22.31,62780,22.31,22.2,0.11,0.0,0.5,1min,2,22.37
"May 18, 2022 09:33 AM",22.31,22.48,22.28,22.47,73296,22.47,22.31,0.16,0.01,0.72,1min,3,22.37
"May 18, 2022 09:34 AM",22.47,22.54,22.34,22.37,67618,22.37,22.47,-0.1,-0.0,-0.45,1min,4,22.36
"May 18, 2022 09:35 AM",22.37,22.39,22.21,22.37,34426,22.37,22.37,0.0,0.0,0.0,1min,5,22.36
"May 18, 2022 09:36 AM",22.38,22.43,22.34,22.36,29762,22.36,22.37,-0.01,-0.0,-0.04,1min,6,22.36
"May 18, 2022 09:37 AM",22.36,22.43,22.35,22.4,30133,22.4,22.36,0.04,0.0,0.18,1min,7,22.36
"May 18, 2022 09:38 AM",22.39,22.47,22.37,22.39,29899,22.39,22.4,-0.01,-0.0,-0.04,1min,8,22.36
"May 18, 2022 09:39 AM",22.39,22.39,22.25,22.32,51068,22.32,22.39,-0.07,-0.0,-0.31,1min,9,22.36
"May 18, 2022 09:40 AM",22.32,22.38,22.28,22.34,40086,22.34,22.32,0.02,0.0,0.09,1min,10,22.36
"May 18, 2022 09:41 AM",22.34,22.34,22.21,22.22,36811,22.22,22.34,-0.12,-0.01,-0.54,1min,11,22.36
"May 18, 2022 09:42 AM",22.22,22.23,22.08,22.22,54917,22.22,22.22,0.0,0.0,0.0,1min,12,22.36
"May 18, 2022 09:43 AM",22.21,22.25,22.11,22.25,34104,22.25,22.22,0.03,0.0,0.11,1min,13,22.35
"May 18, 2022 09:44 AM",22.27,22.3,22.21,22.25,20295,22.25,22.25,0.0,0.0,0.02,1min,14,22.35
"May 18, 2022 09:45 AM",22.25,22.35,22.25,22.3,28401,22.3,22.25,0.05,0.0,0.23,1min,15,22.35
"May 18, 2022 09:46 AM",22.32,22.32,22.23,22.28,23794,22.28,22.3,-0.02,-0.0,-0.09,1min,16,22.35
"May 18, 2022 09:47 AM",22.28,22.4,22.25,22.4,14652,22.4,22.28,0.12,0.01,0.54,1min,17,22.35
"May 18, 2022 09:48 AM",22.37,22.4,22.25,22.26,18784,22.26,22.4,-0.14,-0.01,-0.62,1min,18,22.35
"May 18, 2022 09:49 AM",22.26,22.28,22.22,22.27,18625,22.27,22.26,0.01,0.0,0.04,1min,19,22.35
"May 18, 2022 09:50 AM",22.28,22.28,22.18,22.19,23854,22.19,22.27,-0.08,-0.0,-0.34,1min,20,22.35
"May 18, 2022 09:51 AM",22.2,22.34,22.19,22.32,18376,22.32,22.19,0.12,0.01,0.56,1min,21,22.34
"May 18, 2022 09:52 AM",22.32,22.38,22.3,22.38,39420,22.38,22.32,0.06,0.0,0.27,1min,22,22.34
"May 18, 2022 09:53 AM",22.38,22.55,22.38,22.5,34888,22.5,22.38,0.12,0.01,0.54,1min,23,22.34
"May 18, 2022 09:54 AM",22.5,22.51,22.44,22.47,12610,22.47,22.5,-0.03,-0.0,-0.13,1min,24,22.34
"May 18, 2022 09:55 AM",22.42,22.44,22.38,22.42,15025,22.42,22.47,-0.05,-0.0,-0.22,1min,25,22.34
"May 18, 2022 09:56 AM",22.43,22.44,22.32,22.34,39401,22.34,22.42,-0.08,-0.0,-0.36,1min,26,22.34
"May 18, 2022 09:57 AM",22.34,22.35,22.26,22.31,10156,22.31,22.34,-0.03,-0.0,-0.13,1min,27,22.34
"May 18, 2022 09:58 AM",22.28,22.41,22.27,22.37,19612,22.37,22.31,0.06,0.0,0.27,1min,28,22.34
"May 18, 2022 09:59 AM",22.39,22.4,22.35,22.39,14584,22.39,22.37,0.02,0.0,0.09,1min,29,22.33
"May 18, 2022 10:00 AM",22.38,22.47,22.37,22.45,25336,22.45,22.39,0.07,0.0,0.29,1min,30,22.33
"May 18, 2022 10:01 AM",22.47,22.61,22.47,22.59,24069,22.59,22.45,0.14,0.01,0.6,1min,31,22.33
"May 18, 2022 10:02 AM",22.59,22.61,22.57,22.58,22278,22.58,22.59,-0.01,-0.0,-0.05,1min,32,22.33
"May 18, 2022 10:03 AM",22.58,22.63,22.55,22.57,19670,22.57,22.58,-0.01,-0.0,-0.04,1min,33,22.33
"May 18, 2022 10:04 AM",22.55,22.57,22.52,22.56,14532,22.56,22.57,-0.01,-0.0,-0.04,1min,34,22.33
"May 18, 2022 10:05 AM",22.55,22.64,22.55,22.64,23182,22.64,22.56,0.08,0.0,0.36,1min,35,22.33
"May 18, 2022 10:06 AM",22.65,22.67,22.59,22.62,41920,22.62,22.64,-0.02,-0.0,-0.09,1min,36,22.33
"May 18, 2022 10:07 AM",22.64,22.64,22.57,22.59,9666,22.59,22.62,-0.03,-0.0,-0.13,1min,37,22.33
"May 18, 2022 10:08 AM",22.57,22.64,22.55,22.62,21884,22.62,22.59,0.03,0.0,0.13,1min,38,22.32
"May 18, 2022 10:09 AM",22.6,22.6,22.51,22.54,16992,22.54,22.62,-0.08,-0.0,-0.35,1min,39,22.32
"May 18, 2022 10:10 AM",22.52,22.58,22.5,22.56,26842,22.56,22.54,0.02,0.0,0.09,1min,40,22.32
"May 18, 2022 10:11 AM",22.57,22.57,22.42,22.48,18008,22.48,22.56,-0.08,-0.0,-0.35,1min,41,22.32
"May 18, 2022 10:12 AM",22.49,22.5,22.41,22.42,10715,22.42,22.48,-0.06,-0.0,-0.27,1min,42,22.32
"May 18, 2022 10:13 AM",22.42,22.53,22.42,22.53,10754,22.53,22.42,0.11,0.0,0.49,1min,43,22.32
"May 18, 2022 10:14 AM",22.51,22.54,22.5,22.52,10279,22.52,22.53,-0.01,-0.0,-0.04,1min,44,22.32
"May 18, 2022 10:15 AM",22.52,22.52,22.44,22.52,17899,22.52,22.52,0.0,0.0,0.0,1min,45,22.32
"May 18, 2022 10:16 AM",22.53,22.55,22.49,22.54,27482,22.54,22.52,0.02,0.0,0.09,1min,46,22.31
"May 18, 2022 10:17 AM",22.53,22.53,22.47,22.52,18486,22.52,22.54,-0.02,-0.0,-0.09,1min,47,22.31
"May 18, 2022 10:18 AM",22.52,22.57,22.5,22.55,11852,22.55,22.52,0.03,0.0,0.13,1min,48,22.31
"May 18, 2022 10:19 AM",22.53,22.55,22.47,22.53,38584,22.53,22.55,-0.01,-0.0,-0.07,1min,49,22.31
"May 18, 2022 10:20 AM",22.51,22.59,22.5,22.58,14944,22.58,22.53,0.05,0.0,0.2,1min,50,22.31
"May 18, 2022 10:21 AM",22.58,22.58,22.53,22.55,6920,22.55,22.58,-0.03,-0.0,-0.13,1min,51,22.31
"May 18, 2022 10:22 AM",22.56,22.61,22.56,22.58,16273,22.58,22.55,0.03,0.0,0.13,1min,52,22.31
"May 18, 2022 10:23 AM",22.55,22.59,22.51,22.51,21806,22.51,22.58,-0.07,-0.0,-0.31,1min,53,22.31
"May 18, 2022 10:24 AM",22.5,22.55,22.44,22.5,22139,22.5,22.51,-0.01,-0.0,-0.04,1min,54,22.3
"May 18, 2022 10:25 AM",22.5,22.56,22.48,22.54,13077,22.54,22.5,0.04,0.0,0.18,1min,55,22.3
"May 18, 2022 10:26 AM",22.54,22.61,22.54,22.59,22832,22.59,22.54,0.05,0.0,0.22,1min,56,22.3
"May 18, 2022 10:27 AM",22.58,22.64,22.55,22.64,74976,22.64,22.59,0.05,0.0,0.22,1min,57,22.3
