Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",21.62,22.97,21.36,22.72,8948400,22.72,,,,,1mo
"April 20, 2022",22.37,22.39,21.03,21.04,14979700,21.04,22.72,-1.68,-0.07,-7.39,1mo
"April 21, 2022",21.15,21.38,19.87,20.23,16627300,20.23,21.04,-0.81,-0.04,-3.85,1mo
"April 22, 2022",19.91,20.47,19.47,19.59,14250800,19.59,20.23,-0.64,-0.03,-3.16,1mo
"April 25, 2022",19.47,20.11,19.3,20.0,12583000,20.0,19.59,0.41,0.02,2.09,1mo
"April 26, 2022",19.86,19.88,18.91,19.22,13351700,19.22,20.0,-0.78,-0.04,-3.9,1mo
"April 27, 2022",18.87,19.68,18.32,18.67,27148800,18.67,19.22,-0.55,-0.03,-2.86,1mo
"April 28, 2022",20.2,21.26,19.05,21.2,30332400,21.2,18.67,2.53,0.14,13.55,1mo
"April 29, 2022",21.28,21.72,20.49,20.52,14946400,20.52,21.2,-0.68,-0.03,-3.21,1mo
"May 02, 2022",20.56,22.27,20.33,22.16,18476500,22.16,20.52,1.64,0.08,7.99,1mo
"May 03, 2022",22.04,22.82,21.71,22.39,12750900,22.39,22.16,0.23,0.01,1.04,1mo
"May 04, 2022",22.2,24.31,21.94,24.2,18400000,24.2,22.39,1.81,0.08,8.08,1mo
"May 05, 2022",23.52,23.6,22.13,22.63,14967200,22.63,24.2,-1.57,-0.06,-6.49,1mo
"May 06, 2022",22.47,23.33,21.68,22.69,15881300,22.69,22.63,0.06,0.0,0.27,1mo
"May 09, 2022",22.15,22.62,21.05,21.08,15999900,21.08,22.69,-1.61,-0.07,-7.1,1mo
"May 10, 2022",21.59,21.74,19.77,20.22,13901300,20.22,21.08,-0.86,-0.04,-4.08,1mo
"May 11, 2022",20.09,20.73,18.87,18.89,13663800,18.89,20.22,-1.33,-0.07,-6.58,1mo
"May 12, 2022",18.49,20.16,18.33,20.16,16886100,20.16,18.89,1.27,0.07,6.72,1mo
"May 13, 2022",20.27,21.49,20.23,21.47,13264400,21.47,20.16,1.31,0.06,6.5,1mo
"May 16, 2022",21.1,22.12,20.92,21.49,16265900,21.49,21.47,0.02,0.0,0.09,1mo
"May 17, 2022",21.86,22.5,21.65,22.48,10309700,22.48,21.49,0.99,0.05,4.61,1mo
"May 18, 2022",21.93,22.68,21.78,22.09,11906600,22.09,22.48,-0.39,-0.02,-1.73,1mo
