Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2019-04-15,23.75,25.18,23.05,24.4,87109500,24.4,,,,,1wk
2019-04-22,24.62,30.68,23.57,29.85,81943300,29.85,24.4,5.45,0.22,22.34,1wk
2019-04-29,30.77,35.29,28.12,28.36,100147100,28.36,29.85,-1.49,-0.05,-4.99,1wk
2019-05-06,27.67,30.2,26.9,29.05,33573600,29.05,28.36,0.69,0.02,2.43,1wk
2019-05-13,27.8,31.15,25.7,26.7,64563000,26.7,29.05,-2.35,-0.08,-8.09,1wk
2019-05-20,27.24,27.24,23.6,25.5,34163100,25.5,26.7,-1.2,-0.04,-4.49,1wk
2019-05-27,25.65,26.38,24.75,24.92,11688800,24.92,25.5,-0.58,-0.02,-2.27,1wk
2019-06-03,24.98,27.74,23.91,27.61,20235500,27.61,24.92,2.69,0.11,10.79,1wk
2019-06-10,27.84,28.95,26.17,27.41,17439800,27.41,27.61,-0.2,-0.01,-0.72,1wk
2019-06-17,27.66,29.81,27.22,27.98,26958700,27.98,27.41,0.57,0.02,2.08,1wk
2019-06-24,27.98,28.11,25.82,27.22,12857900,27.22,27.98,-0.76,-0.03,-2.72,1wk
2019-07-01,27.6,28.05,26.41,27.25,10688900,27.25,27.22,0.03,0.0,0.11,1wk
2019-07-08,27.2,27.85,25.87,26.41,11351400,26.41,27.25,-0.84,-0.03,-3.08,1wk
2019-07-15,26.58,26.99,25.32,25.56,7674000,25.56,26.41,-0.85,-0.03,-3.22,1wk
2019-07-22,25.63,28.4,25.45,27.64,14435500,27.64,25.56,2.08,0.08,8.14,1wk
2019-07-29,27.8,35.21,27.18,33.57,58930900,33.57,27.64,5.93,0.21,21.45,1wk
2019-08-05,32.9,34.43,31.52,33.43,26255600,33.43,33.57,-0.14,-0.0,-0.42,1wk
2019-08-12,33.47,36.1,31.53,32.22,23276500,32.22,33.43,-1.21,-0.04,-3.62,1wk
2019-08-19,32.88,36.83,32.58,34.5,28214100,34.5,32.22,2.28,0.07,7.08,1wk
2019-08-26,34.88,36.14,33.01,34.42,13112700,34.42,34.5,-0.08,-0.0,-0.23,1wk
2019-09-02,33.93,34.67,30.0,30.36,16444800,30.36,34.42,-4.06,-0.12,-11.8,1wk
2019-09-09,30.46,30.5,27.35,29.04,28033400,29.04,30.36,-1.32,-0.04,-4.35,1wk
2019-09-16,28.65,30.73,28.62,30.22,25178800,30.22,29.04,1.18,0.04,4.06,1wk
2019-09-23,29.97,30.09,25.87,26.5,22338300,26.5,30.22,-3.72,-0.12,-12.31,1wk
2019-09-30,26.37,28.04,25.14,27.31,23654600,27.31,26.5,0.81,0.03,3.06,1wk
2019-10-07,27.29,27.51,25.3,26.89,19119800,26.89,27.31,-0.42,-0.02,-1.54,1wk
2019-10-14,26.32,26.85,24.27,25.31,86527600,25.31,26.89,-1.58,-0.06,-5.88,1wk
2019-10-21,25.83,27.0,25.24,25.86,42544900,25.86,25.31,0.55,0.02,2.17,1wk
2019-10-28,26.14,26.69,18.71,20.86,121584400,20.86,25.86,-5.0,-0.19,-19.33,1wk
2019-11-04,20.66,21.1,19.6,20.06,66623600,20.06,20.86,-0.8,-0.04,-3.84,1wk
2019-11-11,20.09,20.9,19.53,19.54,39285600,19.54,20.06,-0.52,-0.03,-2.59,1wk
2019-11-18,19.5,20.05,18.38,18.65,41410100,18.65,19.54,-0.89,-0.05,-4.55,1wk
