Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-04-09,85.26,86.09,83.13,85.53,8565400,85.53,,,,,1yr,0,78.18
2021-04-12,85.0,85.0,81.54,83.98,8730000,83.98,85.53,-1.55,-0.02,-1.81,1yr,1,77.96
2021-04-13,84.46,84.61,82.45,83.9,7394600,83.9,83.98,-0.08,-0.0,-0.1,1yr,2,77.73
2021-04-14,84.66,88.83,82.97,83.49,9402000,83.49,83.9,-0.41,-0.0,-0.49,1yr,3,77.51
2021-04-15,84.84,85.16,83.3,84.43,7782700,84.43,83.49,0.94,0.01,1.13,1yr,4,77.28
2021-04-16,84.08,84.08,75.31,76.22,35050400,76.22,84.43,-8.21,-0.1,-9.72,1yr,5,77.05
2021-04-19,75.6,75.79,71.51,73.91,16897000,73.91,76.22,-2.31,-0.03,-3.03,1yr,6,76.83
2021-04-20,73.79,74.24,70.65,71.32,10904800,71.32,73.91,-2.59,-0.04,-3.5,1yr,7,76.6
2021-04-21,70.86,72.94,69.85,72.51,9923500,72.51,71.32,1.19,0.02,1.67,1yr,8,76.38
2021-04-22,73.97,74.22,71.43,71.99,11826400,71.99,72.51,-0.52,-0.01,-0.72,1yr,9,76.15
2021-04-23,74.97,75.89,72.35,74.99,14231700,74.99,71.99,3.0,0.04,4.17,1yr,10,75.93
2021-04-26,74.89,76.74,74.13,76.73,9903900,76.73,74.99,1.74,0.02,2.32,1yr,11,75.7
2021-04-27,76.39,78.63,75.95,77.58,19171800,77.58,76.73,0.85,0.01,1.11,1yr,12,75.47
2021-04-28,69.19,69.67,65.83,66.33,60523500,66.33,77.58,-11.25,-0.15,-14.5,1yr,13,75.25
2021-04-29,67.11,68.4,65.36,68.21,21440300,68.21,66.33,1.88,0.03,2.83,1yr,14,75.02
2021-04-30,66.92,67.41,65.81,66.37,14473300,66.37,68.21,-1.84,-0.03,-2.7,1yr,15,74.8
2021-05-03,66.71,67.37,63.25,63.71,15241900,63.71,66.37,-2.66,-0.04,-4.01,1yr,16,74.57
2021-05-04,62.93,63.22,59.85,62.3,21606000,62.3,63.71,-1.41,-0.02,-2.21,1yr,17,74.34
2021-05-05,62.9,63.12,61.25,61.83,13432300,61.83,62.3,-0.47,-0.01,-0.75,1yr,18,74.12
2021-05-06,61.04,61.08,57.05,59.22,25708600,59.22,61.83,-2.61,-0.04,-4.22,1yr,19,73.89
2021-05-07,60.1,61.33,58.91,59.86,15522400,59.86,59.22,0.64,0.01,1.08,1yr,20,73.67
2021-05-10,58.51,60.14,57.19,58.36,17872200,58.36,59.86,-1.5,-0.03,-2.51,1yr,21,73.44
2021-05-11,55.86,60.34,55.6,59.71,16676700,59.71,58.36,1.35,0.02,2.31,1yr,22,73.21
2021-05-12,58.44,59.41,55.25,57.12,15598600,57.12,59.71,-2.59,-0.04,-4.34,1yr,23,72.99
2021-05-13,57.73,57.8,53.94,55.45,13914500,55.45,57.12,-1.67,-0.03,-2.92,1yr,24,72.76
