Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
2021-10-11,51.35,51.87,50.82,50.93,4633000,50.93,,,,,6mo,0,50.57
2021-10-12,51.05,51.66,50.31,51.41,5760600,51.41,50.93,0.48,0.01,0.94,6mo,1,50.32
2021-10-13,51.8,52.06,51.49,51.57,5877100,51.57,51.41,0.16,0.0,0.31,6mo,2,50.07
2021-10-14,51.77,53.4,51.19,52.52,7899400,52.52,51.57,0.95,0.02,1.84,6mo,3,49.81
2021-10-15,52.96,53.27,52.27,52.67,4844000,52.67,52.52,0.15,0.0,0.29,6mo,4,49.56
2021-10-18,51.66,53.92,51.65,53.59,9011900,53.59,52.67,0.92,0.02,1.75,6mo,5,49.31
2021-10-19,54.0,56.2,52.9,55.58,11612600,55.58,53.59,1.99,0.04,3.71,6mo,6,49.05
2021-10-20,56.09,66.0,55.48,62.68,113376300,62.68,55.58,7.1,0.13,12.77,6mo,7,48.8
2021-10-21,61.91,62.37,60.69,61.35,28218700,61.35,62.68,-1.33,-0.02,-2.12,6mo,8,48.55
2021-10-22,59.97,60.37,57.63,58.06,16282300,58.06,61.35,-3.29,-0.05,-5.36,6mo,9,48.3
2021-10-25,49.64,51.39,49.1,50.68,46619100,50.68,58.06,-7.38,-0.13,-12.71,6mo,10,48.04
2021-10-26,51.0,51.19,47.51,47.89,21872300,47.89,50.68,-2.79,-0.06,-5.51,6mo,11,47.79
2021-10-27,47.5,48.04,45.3,45.36,21042900,45.36,47.89,-2.53,-0.05,-5.28,6mo,12,47.54
2021-10-28,45.44,46.29,44.54,45.61,15397700,45.61,45.36,0.25,0.01,0.55,6mo,13,47.28
2021-10-29,45.5,45.61,44.04,44.64,12028800,44.64,45.61,-0.97,-0.02,-2.13,6mo,14,47.03
2021-11-01,44.5,45.9,44.48,45.26,14541500,45.26,44.64,0.62,0.01,1.39,6mo,15,46.78
2021-11-02,45.5,45.51,43.6,44.35,11168200,44.35,45.26,-0.91,-0.02,-2.01,6mo,16,46.53
2021-11-03,44.17,45.08,43.92,44.68,7477400,44.68,44.35,0.33,0.01,0.74,6mo,17,46.27
2021-11-04,44.79,45.49,43.5,43.64,16512100,43.64,44.68,-1.04,-0.02,-2.33,6mo,18,46.02
2021-11-05,44.16,46.98,43.3,46.22,22817600,46.22,43.64,2.58,0.06,5.91,6mo,19,45.77
2021-11-08,46.18,47.04,45.26,46.56,11340300,46.56,46.22,0.34,0.01,0.74,6mo,20,45.51
2021-11-09,47.01,47.91,46.21,46.64,7263900,46.64,46.56,0.08,0.0,0.17,6mo,21,45.26
2021-11-10,46.04,47.14,45.21,45.86,7523200,45.86,46.64,-0.78,-0.02,-1.67,6mo,22,45.01
2021-11-11,46.17,46.3,44.88,45.01,7666600,45.01,45.86,-0.85,-0.02,-1.85,6mo,23,44.76
2021-11-12,45.45,46.18,45.18,45.96,5412400,45.96,45.01,0.95,0.02,2.11,6mo,24,44.5
2021-11-15,46.5,48.86,46.42,47.94,10847400,47.94,45.96,1.98,0.04,4.31,6mo,25,44.25
2021-11-16,47.88,49.1,47.69,48.79,8092400,48.79,47.94,0.85,0.02,1.77,6mo,26,44.0
2021-11-17,48.4,48.63,47.41,47.47,5876200,47.47,48.79,-1.32,-0.03,-2.71,6mo,27,43.74
2021-11-18,47.55,47.6,45.02,46.0,10332700,46.0,47.47,-1.47,-0.03,-3.1,6mo,28,43.49
2021-11-19,45.94,46.57,44.35,44.76,6937400,44.76,46.0,-1.24,-0.03,-2.7,6mo,29,43.24
2021-11-22,44.6,44.66,41.87,43.07,12529100,43.07,44.76,-1.69,-0.04,-3.78,6mo,30,42.99
2021-11-23,42.57,43.07,40.93,41.77,11685300,41.77,43.07,-1.3,-0.03,-3.02,6mo,31,42.73
2021-11-24,41.38,42.76,41.04,42.34,8334500,42.34,41.77,0.57,0.01,1.36,6mo,32,42.48
2021-11-26,41.85,42.89,41.48,42.8,5184700,42.8,42.34,0.46,0.01,1.09,6mo,33,42.23
2021-11-29,42.87,43.24,40.47,40.54,13330500,40.54,42.8,-2.26,-0.05,-5.28,6mo,34,41.97
2021-11-30,40.78,41.71,39.34,40.06,13744100,40.06,40.54,-0.48,-0.01,-1.18,6mo,35,41.72
2021-12-01,40.05,40.29,37.21,37.29,12201300,37.29,40.06,-2.77,-0.07,-6.91,6mo,36,41.47
2021-12-02,36.29,38.0,35.91,37.58,11462100,37.58,37.29,0.29,0.01,0.78,6mo,37,41.22
2021-12-03,37.43,37.46,35.13,35.84,11860500,35.84,37.58,-1.74,-0.05,-4.63,6mo,38,40.96
2021-12-06,35.04,38.26,34.56,37.82,11488800,37.82,35.84,1.98,0.06,5.52,6mo,39,40.71
2021-12-07,38.51,39.84,38.51,38.68,7094800,38.68,37.82,0.86,0.02,2.27,6mo,40,40.46
2021-12-08,39.0,41.23,38.58,40.52,8970100,40.52,38.68,1.84,0.05,4.76,6mo,41,40.2
2021-12-09,40.26,41.13,38.42,38.75,7382900,38.75,40.52,-1.77,-0.04,-4.37,6mo,42,39.95
2021-12-10,39.32,39.33,36.7,37.26,7291000,37.26,38.75,-1.49,-0.04,-3.85,6mo,43,39.7
2021-12-13,36.99,37.35,35.01,36.04,11205000,36.04,37.26,-1.22,-0.03,-3.27,6mo,44,39.45
2021-12-14,35.35,36.33,35.28,35.62,9918600,35.62,36.04,-0.42,-0.01,-1.17,6mo,45,39.19
2021-12-15,35.32,36.3,34.07,36.05,10914100,36.05,35.62,0.43,0.01,1.21,6mo,46,38.94
2021-12-16,36.47,36.9,34.57,34.93,12229600,34.93,36.05,-1.12,-0.03,-3.11,6mo,47,38.69
2021-12-17,34.95,37.29,34.11,36.51,12783700,36.51,34.93,1.58,0.05,4.52,6mo,48,38.43
2021-12-20,35.65,36.31,35.28,35.76,10048800,35.76,36.51,-0.75,-0.02,-2.05,6mo,49,38.18
2021-12-21,36.03,36.98,35.58,36.74,9836600,36.74,35.76,0.98,0.03,2.74,6mo,50,37.93
2021-12-22,36.53,38.6,36.2,37.26,13556900,37.26,36.74,0.52,0.01,1.42,6mo,51,37.68
2021-12-23,37.03,37.66,36.11,37.42,6259000,37.42,37.26,0.16,0.0,0.43,6mo,52,37.42
2021-12-27,37.02,37.81,36.79,36.93,7052500,36.93,37.42,-0.49,-0.01,-1.31,6mo,53,37.17
2021-12-28,36.61,37.9,36.33,36.52,7074000,36.52,36.93,-0.41,-0.01,-1.11,6mo,54,36.92
2021-12-29,36.21,36.57,35.05,35.95,6911000,35.95,36.52,-0.57,-0.02,-1.56,6mo,55,36.66
2021-12-30,36.0,38.62,35.85,37.95,9244300,37.95,35.95,2.0,0.06,5.56,6mo,56,36.41
2021-12-31,37.4,38.2,36.32,36.35,6684600,36.35,37.95,-1.6,-0.04,-4.22,6mo,57,36.16
2022-01-03,36.8,36.95,35.94,36.41,8505800,36.41,36.35,0.06,0.0,0.17,6mo,58,35.91
2022-01-04,35.17,35.56,32.42,33.13,22289800,33.13,36.41,-3.28,-0.09,-9.01,6mo,59,35.65
2022-01-05,33.51,34.3,32.5,32.84,13840300,32.84,33.13,-0.29,-0.01,-0.88,6mo,60,35.4
2022-01-06,32.55,33.4,31.61,32.69,12147300,32.69,32.84,-0.15,-0.0,-0.46,6mo,61,35.15
2022-01-07,32.65,33.48,32.1,32.42,8246300,32.42,32.69,-0.27,-0.01,-0.83,6mo,62,34.89
2022-01-10,31.7,32.97,31.01,32.7,12904700,32.7,32.42,0.28,0.01,0.86,6mo,63,34.64
2022-01-11,33.0,34.38,32.6,34.0,8739800,34.0,32.7,1.3,0.04,3.98,6mo,64,34.39
2022-01-12,34.27,35.04,33.42,34.43,9564300,34.43,34.0,0.43,0.01,1.26,6mo,65,34.14
2022-01-13,34.43,34.7,32.89,32.97,6813200,32.97,34.43,-1.46,-0.04,-4.24,6mo,66,33.88
2022-01-14,32.75,33.21,31.68,32.83,7312900,32.83,32.97,-0.14,-0.0,-0.42,6mo,67,33.63
2022-01-18,32.28,32.49,31.5,31.69,7422100,31.69,32.83,-1.14,-0.03,-3.47,6mo,68,33.38
2022-01-19,31.79,32.85,31.53,31.64,6327600,31.64,31.69,-0.05,-0.0,-0.16,6mo,69,33.12
2022-01-20,32.35,33.79,31.88,31.95,8918300,31.95,31.64,0.31,0.01,0.98,6mo,70,32.87
