Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2021-03-10,64.5,74.83,60.5,69.5,97069300,69.5,,,,,1d
2021-03-11,74.93,77.78,70.13,73.9,59629300,73.9,69.5,4.4,0.06,6.33,1d
2021-03-12,72.47,72.96,69.11,69.7,19714700,69.7,73.9,-4.2,-0.06,-5.68,1d
2021-03-15,70.02,74.06,66.25,72.15,19549800,72.15,69.7,2.45,0.04,3.52,1d
2021-03-16,73.73,78.0,73.18,77.0,30274400,77.0,72.15,4.85,0.07,6.72,1d
2021-03-17,76.03,79.1,74.89,76.79,10054100,76.79,77.0,-0.21,-0.0,-0.27,1d
2021-03-18,76.0,77.0,66.8,67.3,9627400,67.3,76.79,-9.49,-0.12,-12.36,1d
2021-03-19,69.47,72.7,68.08,70.5,6776500,70.5,67.3,3.2,0.05,4.75,1d
2021-03-22,71.81,72.49,69.54,70.0,4238500,70.0,70.5,-0.5,-0.01,-0.71,1d
2021-03-23,70.1,71.75,67.63,68.0,4456000,68.0,70.0,-2.0,-0.03,-2.86,1d
2021-03-24,69.97,70.0,64.01,64.5,5460000,64.5,68.0,-3.5,-0.05,-5.15,1d
2021-03-25,62.01,69.85,60.69,67.85,6283000,67.85,64.5,3.35,0.05,5.19,1d
2021-03-26,67.89,71.2,64.77,70.97,4531200,70.97,67.85,3.12,0.05,4.6,1d
2021-03-29,69.0,69.09,66.51,67.03,4351600,67.03,70.97,-3.94,-0.06,-5.55,1d
2021-03-30,66.98,66.99,64.47,65.17,3394500,65.17,67.03,-1.86,-0.03,-2.77,1d
2021-03-31,65.5,67.19,64.57,64.83,4094900,64.83,65.17,-0.34,-0.01,-0.52,1d
2021-04-01,66.8,69.67,65.9,67.34,4063100,67.34,64.83,2.51,0.04,3.87,1d
2021-04-05,70.14,72.86,68.56,70.76,8609500,70.76,67.34,3.42,0.05,5.08,1d
2021-04-06,71.24,72.39,70.76,71.32,3915500,71.32,70.76,0.56,0.01,0.79,1d
2021-04-07,70.7,71.14,67.88,68.73,4424800,68.73,71.32,-2.59,-0.04,-3.63,1d
2021-04-08,69.47,71.49,68.84,70.76,4244000,70.76,68.73,2.03,0.03,2.95,1d
