Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",31.65,31.75,31.35,31.4,544066,31.4,,,,,1min,0,33.28
"May 18, 2022 09:31 AM",31.4,31.51,31.02,31.08,225896,31.08,31.4,-0.32,-0.01,-1.03,1min,1,33.27
"May 18, 2022 09:32 AM",31.05,31.44,30.93,31.17,131632,31.17,31.08,0.08,0.0,0.27,1min,2,33.27
"May 18, 2022 09:33 AM",31.14,31.55,31.05,31.55,133556,31.55,31.17,0.38,0.01,1.24,1min,3,33.27
"May 18, 2022 09:34 AM",31.53,31.9,31.48,31.76,161919,31.76,31.55,0.21,0.01,0.67,1min,4,33.26
"May 18, 2022 09:35 AM",31.72,32.12,31.5,32.1,166438,32.1,31.76,0.34,0.01,1.07,1min,5,33.26
"May 18, 2022 09:36 AM",32.11,32.43,32.01,32.06,272256,32.06,32.1,-0.04,-0.0,-0.12,1min,6,33.25
"May 18, 2022 09:37 AM",32.04,32.41,32.0,32.35,206373,32.35,32.06,0.29,0.01,0.9,1min,7,33.25
"May 18, 2022 09:38 AM",32.34,32.62,32.33,32.53,281113,32.53,32.35,0.18,0.01,0.56,1min,8,33.25
"May 18, 2022 09:39 AM",32.47,32.51,31.82,32.0,492285,32.0,32.53,-0.53,-0.02,-1.64,1min,9,33.24
"May 18, 2022 09:40 AM",32.0,32.13,31.8,31.89,323187,31.89,32.0,-0.11,-0.0,-0.34,1min,10,33.24
"May 18, 2022 09:41 AM",31.9,32.06,31.6,31.6,161418,31.6,31.89,-0.28,-0.01,-0.89,1min,11,33.24
"May 18, 2022 09:42 AM",31.61,31.73,31.39,31.63,224628,31.63,31.6,0.03,0.0,0.09,1min,12,33.23
"May 18, 2022 09:43 AM",31.63,31.71,31.46,31.64,151900,31.64,31.63,0.01,0.0,0.03,1min,13,33.23
"May 18, 2022 09:44 AM",31.67,31.89,31.65,31.77,146700,31.77,31.64,0.14,0.0,0.43,1min,14,33.22
"May 18, 2022 09:45 AM",31.72,32.25,31.72,32.22,210864,32.22,31.77,0.44,0.01,1.38,1min,15,33.22
"May 18, 2022 09:46 AM",32.21,32.28,31.97,32.07,140214,32.07,32.22,-0.15,-0.0,-0.45,1min,16,33.22
"May 18, 2022 09:47 AM",32.07,32.61,32.07,32.55,206951,32.55,32.07,0.48,0.01,1.5,1min,17,33.21
"May 18, 2022 09:48 AM",32.55,32.67,32.31,32.48,199141,32.48,32.55,-0.07,-0.0,-0.22,1min,18,33.21
"May 18, 2022 09:49 AM",32.43,32.62,32.39,32.62,127707,32.62,32.48,0.14,0.0,0.43,1min,19,33.21
"May 18, 2022 09:50 AM",32.66,32.67,32.22,32.24,156498,32.24,32.62,-0.38,-0.01,-1.15,1min,20,33.2
"May 18, 2022 09:51 AM",32.24,32.65,32.16,32.57,162575,32.57,32.24,0.32,0.01,0.99,1min,21,33.2
"May 18, 2022 09:52 AM",32.58,33.09,32.54,33.01,342536,33.01,32.57,0.45,0.01,1.38,1min,22,33.19
"May 18, 2022 09:53 AM",33.02,33.25,32.99,33.09,266340,33.09,33.01,0.08,0.0,0.23,1min,23,33.19
"May 18, 2022 09:54 AM",33.1,33.23,33.06,33.08,151771,33.08,33.09,-0.01,-0.0,-0.03,1min,24,33.19
"May 18, 2022 09:55 AM",33.07,33.18,32.88,33.18,171338,33.18,33.08,0.1,0.0,0.3,1min,25,33.18
"May 18, 2022 09:56 AM",33.15,33.2,32.85,32.89,219849,32.89,33.18,-0.29,-0.01,-0.87,1min,26,33.18
"May 18, 2022 09:57 AM",32.87,32.96,32.69,32.75,217463,32.75,32.89,-0.14,-0.0,-0.43,1min,27,33.18
"May 18, 2022 09:58 AM",32.74,33.03,32.72,32.99,119852,32.99,32.75,0.24,0.01,0.73,1min,28,33.17
"May 18, 2022 09:59 AM",33.03,33.18,32.92,33.03,168328,33.03,32.99,0.03,0.0,0.11,1min,29,33.17
"May 18, 2022 10:00 AM",33.04,33.5,32.96,33.5,349389,33.5,33.03,0.47,0.01,1.44,1min,30,33.17
"May 18, 2022 10:01 AM",33.47,33.88,33.47,33.72,459784,33.72,33.5,0.22,0.01,0.66,1min,31,33.16
"May 18, 2022 10:02 AM",33.74,33.86,33.67,33.8,201138,33.8,33.72,0.08,0.0,0.24,1min,32,33.16
"May 18, 2022 10:03 AM",33.81,33.87,33.62,33.68,176627,33.68,33.8,-0.12,-0.0,-0.36,1min,33,33.15
"May 18, 2022 10:04 AM",33.67,33.69,33.46,33.6,147064,33.6,33.68,-0.08,-0.0,-0.24,1min,34,33.15
"May 18, 2022 10:05 AM",33.59,33.87,33.52,33.83,202535,33.83,33.6,0.23,0.01,0.68,1min,35,33.15
"May 18, 2022 10:06 AM",33.82,33.9,33.72,33.87,211590,33.87,33.83,0.04,0.0,0.12,1min,36,33.14
"May 18, 2022 10:07 AM",33.87,33.91,33.73,33.73,214218,33.73,33.87,-0.14,-0.0,-0.41,1min,37,33.14
"May 18, 2022 10:08 AM",33.75,33.96,33.72,33.93,314696,33.93,33.73,0.2,0.01,0.59,1min,38,33.14
"May 18, 2022 10:09 AM",33.92,33.92,33.47,33.48,268971,33.48,33.93,-0.45,-0.01,-1.33,1min,39,33.13
"May 18, 2022 10:10 AM",33.49,33.57,33.4,33.54,167943,33.54,33.48,0.06,0.0,0.18,1min,40,33.13
"May 18, 2022 10:11 AM",33.52,33.52,33.13,33.28,228813,33.28,33.54,-0.26,-0.01,-0.78,1min,41,33.12
"May 18, 2022 10:12 AM",33.3,33.45,33.17,33.2,100329,33.2,33.28,-0.08,-0.0,-0.24,1min,42,33.12
"May 18, 2022 10:13 AM",33.18,33.52,33.18,33.51,103113,33.51,33.2,0.31,0.01,0.93,1min,43,33.12
"May 18, 2022 10:14 AM",33.52,33.58,33.34,33.42,139970,33.42,33.51,-0.09,-0.0,-0.27,1min,44,33.11
"May 18, 2022 10:15 AM",33.42,33.71,33.25,33.62,185192,33.62,33.42,0.2,0.01,0.58,1min,45,33.11
