Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",39.28,42.87,38.65,42.0,20957500,42.0,,,,,1mo
"April 20, 2022",40.54,40.76,36.05,36.75,37932100,36.75,42.0,-5.25,-0.12,-12.5,1mo
"April 21, 2022",37.28,37.55,34.34,34.61,22536700,34.61,36.75,-2.14,-0.06,-5.82,1mo
"April 22, 2022",35.0,35.83,33.54,34.35,18453300,34.35,34.61,-0.26,-0.01,-0.75,1mo
"April 25, 2022",33.99,35.13,33.67,34.61,20815400,34.61,34.35,0.26,0.01,0.76,1mo
"April 26, 2022",34.25,34.35,31.62,31.76,24176700,31.76,34.61,-2.85,-0.08,-8.23,1mo
"April 27, 2022",30.64,31.93,29.9,30.36,27858300,30.36,31.76,-1.4,-0.04,-4.41,1mo
"April 28, 2022",30.83,32.67,29.52,32.11,24732000,32.11,30.36,1.75,0.06,5.76,1mo
"April 29, 2022",31.75,33.53,30.61,30.65,19166200,30.65,32.11,-1.46,-0.05,-4.55,1mo
"May 02, 2022",30.28,32.74,30.0,32.68,17155000,32.68,30.65,2.03,0.07,6.62,1mo
"May 03, 2022",32.09,33.84,31.8,33.1,16264500,33.1,32.68,0.42,0.01,1.29,1mo
"May 04, 2022",32.79,35.06,30.77,34.88,20852400,34.88,33.1,1.78,0.05,5.38,1mo
"May 05, 2022",34.19,34.19,29.93,30.44,21665800,30.44,34.88,-4.44,-0.13,-12.73,1mo
"May 06, 2022",30.91,31.0,27.33,27.81,30704800,27.81,30.44,-2.63,-0.09,-8.64,1mo
"May 09, 2022",27.15,27.49,24.39,24.61,28258400,24.61,27.81,-3.2,-0.12,-11.51,1mo
"May 10, 2022",25.1,25.67,21.65,23.19,53591400,23.19,24.61,-1.42,-0.06,-5.77,1mo
"May 11, 2022",21.92,28.37,21.89,23.97,105794300,23.97,23.19,0.78,0.03,3.36,1mo
"May 12, 2022",23.35,31.11,22.61,28.58,95005400,28.58,23.97,4.61,0.19,19.23,1mo
"May 13, 2022",30.36,33.19,29.87,32.97,57150100,32.97,28.58,4.39,0.15,15.36,1mo
"May 16, 2022",32.23,36.43,31.43,32.14,68469900,32.14,32.97,-0.83,-0.03,-2.52,1mo
"May 17, 2022",32.88,34.08,29.89,31.94,48152300,31.94,32.14,-0.2,-0.01,-0.62,1mo
"May 18, 2022",31.65,34.66,30.93,32.55,42906600,32.55,31.94,0.61,0.02,1.91,1mo
