Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2021-03-08,64.5,77.78,60.5,69.7,176413300,69.7,,,,,1wk
2021-03-15,70.02,79.1,66.25,70.5,76282200,70.5,69.7,0.8,0.01,1.15,1wk
2021-03-22,71.81,72.49,60.69,70.97,24968700,70.97,70.5,0.47,0.01,0.67,1wk
2021-03-29,69.0,69.67,64.47,67.34,15904100,67.34,70.97,-3.63,-0.05,-5.11,1wk
2021-04-05,70.14,74.99,67.88,71.83,30439300,71.83,67.34,4.49,0.07,6.67,1wk
2021-04-12,71.82,83.41,71.51,75.85,54680900,75.85,71.83,4.02,0.06,5.6,1wk
2021-04-19,75.87,78.3,67.3,71.78,25657800,71.78,75.85,-4.07,-0.05,-5.37,1wk
2021-04-26,72.0,77.6,71.31,74.55,17272700,74.55,71.78,2.77,0.04,3.86,1wk
2021-05-03,74.86,75.1,63.83,67.9,23989300,67.9,74.55,-6.65,-0.09,-8.92,1wk
2021-05-10,68.84,77.79,64.0,70.95,85388800,70.95,67.9,3.05,0.04,4.49,1wk
2021-05-17,70.95,84.68,70.33,82.5,81995700,82.5,70.95,11.55,0.16,16.28,1wk
2021-05-24,82.6,98.95,82.5,93.77,88288700,93.77,82.5,11.27,0.14,13.66,1wk
2021-05-31,94.77,103.87,93.22,99.57,55940700,99.57,93.77,5.8,0.06,6.19,1wk
2021-06-07,99.34,100.95,86.83,92.82,63300800,92.82,99.57,-6.75,-0.07,-6.78,1wk
2021-06-14,93.26,93.26,79.88,81.14,89852400,81.14,92.82,-11.68,-0.13,-12.58,1wk
2021-06-21,80.57,88.94,78.56,87.0,45874200,87.0,81.14,5.86,0.07,7.22,1wk
2021-06-28,86.99,94.39,84.21,86.2,42299900,86.2,87.0,-0.8,-0.01,-0.92,1wk
2021-07-05,87.32,89.35,82.51,86.26,23120600,86.26,86.2,0.06,0.0,0.07,1wk
2021-07-12,87.1,89.87,75.59,77.56,41568800,77.56,86.26,-8.7,-0.1,-10.09,1wk
2021-07-19,75.85,83.25,74.78,81.83,21814400,81.83,77.56,4.27,0.06,5.51,1wk
2021-07-26,80.1,81.25,71.96,76.98,31029100,76.98,81.83,-4.85,-0.06,-5.93,1wk
2021-08-02,77.0,82.48,73.46,77.92,32002600,77.92,76.98,0.94,0.01,1.22,1wk
2021-08-09,79.09,87.51,78.47,83.96,39119000,83.96,77.92,6.04,0.08,7.75,1wk
2021-08-16,83.7,84.56,73.9,82.77,61066100,82.77,83.96,-1.19,-0.01,-1.42,1wk
2021-08-23,83.05,90.95,80.85,85.4,41181400,85.4,82.77,2.63,0.03,3.18,1wk
2021-08-30,84.6,86.74,80.0,82.87,28280900,82.87,85.4,-2.53,-0.03,-2.96,1wk
2021-09-06,83.82,90.43,81.66,87.88,38671600,87.88,82.87,5.01,0.06,6.05,1wk
2021-09-13,87.47,88.88,78.77,80.81,33315700,80.81,87.88,-7.07,-0.08,-8.05,1wk
2021-09-20,78.15,84.5,76.77,83.22,28205000,83.22,80.81,2.41,0.03,2.98,1wk
2021-09-27,83.18,83.3,73.48,75.59,30855500,75.59,83.22,-7.63,-0.09,-9.17,1wk
2021-10-04,75.38,78.21,70.19,70.44,49580700,70.44,75.59,-5.15,-0.07,-6.81,1wk
2021-10-11,70.63,77.21,69.77,76.58,24149100,76.58,70.44,6.14,0.09,8.72,1wk
2021-10-18,77.46,84.78,76.23,83.98,27700100,83.98,76.58,7.4,0.1,9.66,1wk
2021-10-25,81.52,86.15,79.11,84.02,31219000,84.02,83.98,0.04,0.0,0.05,1wk
2021-11-01,83.95,84.09,77.05,77.99,28975700,77.99,84.02,-6.03,-0.07,-7.18,1wk
2021-11-08,79.02,109.97,76.83,107.58,218309500,107.58,77.99,29.59,0.38,37.94,1wk
2021-11-15,108.44,138.77,103.82,134.72,219855200,134.72,107.58,27.14,0.25,25.23,1wk
2021-11-22,140.74,141.6,113.33,122.65,123200700,122.65,134.72,-12.07,-0.09,-8.96,1wk
