Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",31.65,31.9,30.93,31.76,1197069,31.76,,,,,5min
"May 18, 2022 09:35 AM",31.72,32.62,31.5,32.0,1418465,32.0,31.76,0.24,0.01,0.74,5min
"May 18, 2022 09:40 AM",32.0,32.13,31.39,31.77,1007833,31.77,32.0,-0.22,-0.01,-0.69,5min
"May 18, 2022 09:45 AM",31.72,32.67,31.72,32.62,884877,32.62,31.77,0.84,0.03,2.66,5min
"May 18, 2022 09:50 AM",32.66,33.25,32.16,33.08,1079720,33.08,32.62,0.46,0.01,1.41,5min
"May 18, 2022 09:55 AM",33.07,33.2,32.69,33.03,896830,33.03,33.08,-0.06,-0.0,-0.17,5min
"May 18, 2022 10:00 AM",33.04,33.88,32.96,33.6,1334002,33.6,33.03,0.57,0.02,1.74,5min
"May 18, 2022 10:05 AM",33.59,33.96,33.47,33.48,1212010,33.48,33.6,-0.12,-0.0,-0.36,5min
"May 18, 2022 10:10 AM",33.49,33.58,33.13,33.42,740168,33.42,33.48,-0.06,-0.0,-0.18,5min
"May 18, 2022 10:15 AM",33.42,33.88,33.25,33.64,710063,33.64,33.42,0.22,0.01,0.66,5min
"May 18, 2022 10:20 AM",33.62,33.91,33.37,33.56,587465,33.56,33.64,-0.08,-0.0,-0.23,5min
"May 18, 2022 10:25 AM",33.55,34.02,33.25,33.28,813936,33.28,33.56,-0.28,-0.01,-0.84,5min
"May 18, 2022 10:30 AM",33.29,33.59,33.06,33.3,872056,33.3,33.28,0.02,0.0,0.06,5min
"May 18, 2022 10:35 AM",33.31,33.63,33.19,33.61,457762,33.61,33.3,0.31,0.01,0.93,5min
"May 18, 2022 10:40 AM",33.61,34.32,33.51,33.93,1071278,33.93,33.61,0.32,0.01,0.94,5min
"May 18, 2022 10:45 AM",33.94,34.36,33.84,34.3,684400,34.3,33.93,0.37,0.01,1.1,5min
"May 18, 2022 10:50 AM",34.31,34.45,34.07,34.29,561774,34.29,34.3,-0.01,-0.0,-0.03,5min
"May 18, 2022 10:55 AM",34.29,34.66,34.12,34.62,829257,34.62,34.29,0.33,0.01,0.98,5min
"May 18, 2022 11:00 AM",34.62,34.65,34.3,34.32,464033,34.32,34.62,-0.31,-0.01,-0.88,5min
"May 18, 2022 11:05 AM",34.31,34.36,33.89,33.89,538760,33.89,34.32,-0.43,-0.01,-1.25,5min
"May 18, 2022 11:10 AM",33.88,33.95,33.72,33.8,277748,33.8,33.89,-0.09,-0.0,-0.27,5min
"May 18, 2022 11:15 AM",33.79,33.81,33.27,33.38,553623,33.38,33.8,-0.42,-0.01,-1.24,5min
"May 18, 2022 11:20 AM",33.39,33.41,33.23,33.31,443230,33.31,33.38,-0.07,-0.0,-0.19,5min
"May 18, 2022 11:25 AM",33.33,33.41,33.1,33.11,386117,33.11,33.31,-0.2,-0.01,-0.62,5min
"May 18, 2022 11:30 AM",33.11,33.11,32.91,33.09,487576,33.09,33.11,-0.02,-0.0,-0.06,5min
"May 18, 2022 11:35 AM",33.09,33.24,32.9,33.16,374337,33.16,33.09,0.07,0.0,0.21,5min
"May 18, 2022 11:40 AM",33.14,33.33,33.08,33.26,285148,33.26,33.16,0.1,0.0,0.3,5min
"May 18, 2022 11:45 AM",33.26,33.3,33.01,33.2,241335,33.2,33.26,-0.06,-0.0,-0.18,5min
"May 18, 2022 11:50 AM",33.21,33.24,32.67,32.76,365538,32.76,33.2,-0.44,-0.01,-1.33,5min
"May 18, 2022 11:55 AM",32.74,32.87,32.65,32.68,295067,32.68,32.76,-0.08,-0.0,-0.24,5min
"May 18, 2022 12:00 PM",32.69,32.78,32.52,32.61,390833,32.61,32.68,-0.07,-0.0,-0.21,5min
"May 18, 2022 12:05 PM",32.63,32.63,32.31,32.32,362912,32.32,32.61,-0.29,-0.01,-0.89,5min
"May 18, 2022 12:10 PM",32.33,32.34,32.22,32.29,315557,32.29,32.32,-0.03,-0.0,-0.09,5min
"May 18, 2022 12:15 PM",32.28,32.47,32.16,32.41,413420,32.41,32.29,0.12,0.0,0.37,5min
"May 18, 2022 12:20 PM",32.4,32.4,31.86,31.98,525555,31.98,32.41,-0.43,-0.01,-1.33,5min
"May 18, 2022 12:25 PM",31.97,32.2,31.94,32.15,292539,32.15,31.98,0.17,0.01,0.54,5min
"May 18, 2022 12:30 PM",32.13,32.15,31.98,32.13,257818,32.13,32.15,-0.02,-0.0,-0.06,5min
"May 18, 2022 12:35 PM",32.12,32.21,31.96,32.19,262791,32.19,32.13,0.06,0.0,0.19,5min
"May 18, 2022 12:40 PM",32.18,32.19,31.99,32.02,254406,32.02,32.19,-0.17,-0.01,-0.53,5min
"May 18, 2022 12:45 PM",32.03,32.29,31.92,32.26,396140,32.26,32.02,0.24,0.01,0.74,5min
"May 18, 2022 12:50 PM",32.24,32.62,32.21,32.39,614124,32.39,32.26,0.13,0.0,0.41,5min
"May 18, 2022 12:55 PM",32.4,32.54,32.16,32.36,308663,32.36,32.39,-0.03,-0.0,-0.09,5min
"May 18, 2022 01:00 PM",32.36,32.36,31.82,31.89,454447,31.89,32.36,-0.47,-0.01,-1.45,5min
"May 18, 2022 01:05 PM",31.89,31.95,31.61,31.62,311585,31.62,31.89,-0.27,-0.01,-0.85,5min
"May 18, 2022 01:10 PM",31.63,31.7,31.52,31.55,419575,31.55,31.62,-0.07,-0.0,-0.22,5min
"May 18, 2022 01:15 PM",31.54,31.69,31.4,31.42,405166,31.42,31.55,-0.13,-0.0,-0.41,5min
"May 18, 2022 01:20 PM",31.43,31.69,31.43,31.5,331111,31.5,31.42,0.08,0.0,0.25,5min
"May 18, 2022 01:25 PM",31.49,31.65,31.41,31.62,190475,31.62,31.5,0.12,0.0,0.38,5min
"May 18, 2022 01:30 PM",31.62,31.83,31.53,31.78,330935,31.78,31.62,0.16,0.01,0.51,5min
"May 18, 2022 01:35 PM",31.78,31.96,31.67,31.77,551640,31.77,31.78,-0.01,-0.0,-0.03,5min
"May 18, 2022 01:40 PM",31.77,31.77,31.47,31.55,333544,31.55,31.77,-0.22,-0.01,-0.7,5min
"May 18, 2022 01:45 PM",31.56,31.61,31.37,31.48,239475,31.48,31.55,-0.07,-0.0,-0.22,5min
"May 18, 2022 01:50 PM",31.48,31.55,31.41,31.5,148625,31.5,31.48,0.02,0.0,0.06,5min
"May 18, 2022 01:55 PM",31.48,31.59,31.36,31.59,179140,31.59,31.5,0.09,0.0,0.29,5min
"May 18, 2022 02:00 PM",31.59,31.72,31.45,31.54,187975,31.54,31.59,-0.05,-0.0,-0.16,5min
"May 18, 2022 02:05 PM",31.54,31.66,31.46,31.62,183385,31.62,31.54,0.08,0.0,0.26,5min
"May 18, 2022 02:10 PM",31.61,31.72,31.55,31.65,230543,31.65,31.62,0.03,0.0,0.09,5min
"May 18, 2022 02:15 PM",31.68,31.92,31.64,31.83,277848,31.83,31.65,0.18,0.01,0.57,5min
"May 18, 2022 02:20 PM",31.83,32.04,31.79,31.89,340265,31.89,31.83,0.06,0.0,0.17,5min
"May 18, 2022 02:25 PM",31.9,32.08,31.84,32.06,386562,32.06,31.89,0.18,0.01,0.56,5min
