Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2015-05-20,17.0,17.0,17.0,17.0,0,17.0,,,,,1d
2015-05-21,28.0,28.74,24.11,25.68,12303900,25.68,17.0,8.68,0.51,51.06,1d
2015-05-22,26.07,31.1,26.0,28.31,2841200,28.31,25.68,2.63,0.1,10.24,1d
2015-05-26,29.8,30.34,29.08,29.65,820200,29.65,28.31,1.34,0.05,4.73,1d
2015-05-27,30.67,30.81,27.0,27.5,797600,27.5,29.65,-2.15,-0.07,-7.25,1d
2015-05-28,27.55,27.74,26.48,27.45,400000,27.45,27.5,-0.05,-0.0,-0.18,1d
2015-05-29,27.25,27.38,26.87,27.2,255400,27.2,27.45,-0.25,-0.01,-0.91,1d
2015-06-01,27.2,27.44,26.6,27.33,256900,27.33,27.2,0.13,0.0,0.48,1d
2015-06-02,27.47,27.47,26.65,26.95,379800,26.95,27.33,-0.38,-0.01,-1.39,1d
2015-06-03,26.76,27.5,26.5,27.44,302400,27.44,26.95,0.49,0.02,1.82,1d
2015-06-04,27.42,27.49,25.51,26.78,322600,26.78,27.44,-0.66,-0.02,-2.41,1d
2015-06-05,26.66,27.39,26.1,27.39,129400,27.39,26.78,0.61,0.02,2.28,1d
2015-06-08,26.9,27.48,26.82,26.98,280900,26.98,27.39,-0.41,-0.01,-1.5,1d
2015-06-09,26.64,28.46,26.64,28.34,337500,28.34,26.98,1.36,0.05,5.04,1d
2015-06-10,28.45,28.88,27.95,28.1,273400,28.1,28.34,-0.24,-0.01,-0.85,1d
2015-06-11,28.49,30.73,28.49,30.73,460600,30.73,28.1,2.63,0.09,9.36,1d
2015-06-12,31.32,33.7,31.25,33.63,847400,33.63,30.73,2.9,0.09,9.44,1d
2015-06-15,33.97,38.12,32.92,35.5,1694300,35.5,33.63,1.87,0.06,5.56,1d
2015-06-16,36.06,38.38,35.84,38.11,1109500,38.11,35.5,2.61,0.07,7.35,1d
2015-06-17,39.63,42.13,38.01,38.63,1595200,38.63,38.11,0.52,0.01,1.36,1d
2015-06-18,38.42,38.89,34.33,35.55,1148200,35.55,38.63,-3.08,-0.08,-7.97,1d
2015-06-19,36.33,36.74,32.55,35.52,979700,35.52,35.55,-0.03,-0.0,-0.08,1d
2015-06-22,36.76,38.5,36.09,36.94,792200,36.94,35.52,1.42,0.04,4.0,1d
2015-06-23,37.75,38.1,35.17,35.43,293900,35.43,36.94,-1.51,-0.04,-4.09,1d
2015-06-24,35.12,37.43,34.14,35.96,564400,35.96,35.43,0.53,0.01,1.5,1d
2015-06-25,36.34,36.5,34.8,34.84,208200,34.84,35.96,-1.12,-0.03,-3.11,1d
2015-06-26,34.87,35.32,32.63,33.52,346500,33.52,34.84,-1.32,-0.04,-3.79,1d
2015-06-29,32.52,33.51,31.2,31.32,315500,31.32,33.52,-2.2,-0.07,-6.56,1d
2015-06-30,31.5,34.44,31.5,33.95,473300,33.95,31.32,2.63,0.08,8.4,1d
2015-07-01,34.03,34.97,29.88,31.11,1012600,31.11,33.95,-2.84,-0.08,-8.37,1d
2015-07-02,31.51,31.73,30.62,31.31,303200,31.31,31.11,0.2,0.01,0.64,1d
2015-07-06,31.07,31.74,30.38,30.53,149300,30.53,31.31,-0.78,-0.02,-2.49,1d
2015-07-07,30.47,30.83,28.5,30.76,348900,30.76,30.53,0.23,0.01,0.75,1d
2015-07-08,30.02,30.36,29.03,29.19,186900,29.19,30.76,-1.57,-0.05,-5.1,1d
2015-07-09,29.73,30.38,28.8,29.06,249100,29.06,29.19,-0.13,-0.0,-0.45,1d
2015-07-10,29.32,30.29,29.1,29.6,280500,29.6,29.06,0.54,0.02,1.86,1d
2015-07-13,29.85,30.99,29.76,30.42,220100,30.42,29.6,0.82,0.03,2.77,1d
2015-07-14,30.78,31.33,30.5,30.86,145500,30.86,30.42,0.44,0.01,1.45,1d
2015-07-15,30.89,31.01,28.91,29.34,357000,29.34,30.86,-1.52,-0.05,-4.93,1d
2015-07-16,29.06,29.87,28.93,29.39,148200,29.39,29.34,0.05,0.0,0.17,1d
2015-07-17,29.32,32.35,29.15,32.27,1619800,32.27,29.39,2.88,0.1,9.8,1d
2015-07-20,32.37,33.93,31.64,33.75,414000,33.75,32.27,1.48,0.05,4.59,1d
2015-07-21,33.95,34.66,32.09,33.22,414800,33.22,33.75,-0.53,-0.02,-1.57,1d
2015-07-22,32.99,33.49,31.36,32.14,255600,32.14,33.22,-1.08,-0.03,-3.25,1d
2015-07-23,32.59,34.43,32.58,33.11,265500,33.11,32.14,0.97,0.03,3.02,1d
2015-07-24,33.45,34.75,33.24,33.57,357700,33.57,33.11,0.46,0.01,1.39,1d
2015-07-27,33.4,33.95,32.05,32.87,200500,32.87,33.57,-0.7,-0.02,-2.09,1d
2015-07-28,33.5,34.48,32.83,34.06,174600,34.06,32.87,1.19,0.04,3.62,1d
2015-07-29,34.1,34.85,33.2,34.16,200800,34.16,34.06,0.1,0.0,0.29,1d
2015-07-30,38.65,40.25,37.01,38.13,1162200,38.13,34.16,3.97,0.12,11.62,1d
2015-07-31,38.13,38.25,36.35,37.39,525800,37.39,38.13,-0.74,-0.02,-1.94,1d
2015-08-03,37.49,40.49,36.6,40.36,535100,40.36,37.39,2.97,0.08,7.94,1d
2015-08-04,40.11,41.11,38.13,38.41,572500,38.41,40.36,-1.95,-0.05,-4.83,1d
