Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"May 18, 2022 09:30 AM",363.06,369.97,359.0,361.66,431832,361.66,,,,,15min
"May 18, 2022 09:45 AM",362.0,367.34,359.01,360.86,241488,360.86,361.66,-0.79,-0.0,-0.22,15min
"May 18, 2022 10:00 AM",360.8,379.73,360.34,372.8,437770,372.8,360.86,11.93,0.03,3.31,15min
"May 18, 2022 10:15 AM",373.21,374.99,368.18,370.09,208673,370.09,372.8,-2.71,-0.01,-0.73,15min
"May 18, 2022 10:30 AM",370.0,373.99,369.0,372.46,209985,372.46,370.09,2.37,0.01,0.64,15min
"May 18, 2022 10:45 AM",371.82,377.72,370.59,375.94,197770,375.94,372.46,3.48,0.01,0.93,15min
"May 18, 2022 11:00 AM",376.41,376.48,370.6,371.34,111332,371.34,375.94,-4.6,-0.01,-1.22,15min
"May 18, 2022 11:15 AM",371.48,371.89,364.31,364.31,194080,364.31,371.34,-7.03,-0.02,-1.89,15min
"May 18, 2022 11:30 AM",364.84,369.35,362.8,367.95,122611,367.95,364.31,3.64,0.01,1.0,15min
"May 18, 2022 11:45 AM",368.43,368.86,363.1,365.03,88042,365.03,367.95,-2.92,-0.01,-0.79,15min
"May 18, 2022 12:00 PM",364.55,364.78,359.27,362.84,101493,362.84,365.03,-2.19,-0.01,-0.6,15min
"May 18, 2022 12:15 PM",362.63,364.77,361.98,364.29,121490,364.29,362.84,1.45,0.0,0.4,15min
"May 18, 2022 12:30 PM",364.09,367.0,363.19,364.88,90314,364.88,364.29,0.58,0.0,0.16,15min
"May 18, 2022 12:45 PM",364.27,368.67,363.12,366.65,81690,366.65,364.88,1.77,0.0,0.49,15min
"May 18, 2022 01:00 PM",366.16,366.57,359.51,360.0,107644,360.0,366.65,-6.65,-0.02,-1.81,15min
"May 18, 2022 01:15 PM",359.93,360.99,357.81,360.19,87200,360.19,360.0,0.19,0.0,0.05,15min
"May 18, 2022 01:30 PM",359.58,362.31,359.0,360.04,80794,360.04,360.19,-0.15,-0.0,-0.04,15min
"May 18, 2022 01:45 PM",360.04,360.31,355.02,357.53,126533,357.53,360.04,-2.51,-0.01,-0.7,15min
"May 18, 2022 02:00 PM",357.22,359.64,356.1,358.11,111580,358.11,357.53,0.58,0.0,0.16,15min
"May 18, 2022 02:15 PM",358.08,361.42,357.7,360.3,84934,360.3,358.11,2.19,0.01,0.61,15min
"May 18, 2022 02:30 PM",360.08,361.0,357.13,359.51,73409,359.51,360.3,-0.79,-0.0,-0.22,15min
"May 18, 2022 02:45 PM",359.31,361.93,358.56,359.9,68984,359.9,359.51,0.39,0.0,0.11,15min
"May 18, 2022 03:00 PM",359.77,362.97,359.77,360.19,68664,360.19,359.9,0.29,0.0,0.08,15min
"May 18, 2022 03:15 PM",360.5,361.1,356.01,357.27,115231,357.27,360.19,-2.92,-0.01,-0.81,15min
"May 18, 2022 03:30 PM",357.5,361.24,357.5,358.0,123029,358.0,357.27,0.73,0.0,0.21,15min
"May 18, 2022 03:45 PM",357.66,361.02,357.38,360.69,258639,360.69,358.0,2.69,0.01,0.75,15min
"May 18, 2022 04:00 PM",360.62,360.62,360.62,360.62,0,360.62,360.69,-0.07,-0.0,-0.02,15min
