Datetime,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval,Numbers,prePred
"May 18, 2022 09:30 AM",363.06,366.0,360.06,360.35,117775,360.35,,,,,1min,0,370.83
"May 18, 2022 09:31 AM",362.46,365.89,360.58,362.99,23246,362.99,360.35,2.64,0.01,0.73,1min,1,370.79
"May 18, 2022 09:32 AM",363.73,365.0,361.2,363.14,27446,363.14,362.99,0.15,0.0,0.04,1min,2,370.76
"May 18, 2022 09:33 AM",363.2,369.78,362.18,367.75,20916,367.75,363.14,4.61,0.01,1.27,1min,3,370.72
"May 18, 2022 09:34 AM",368.49,369.9,366.38,367.97,7504,367.97,367.75,0.22,0.0,0.06,1min,4,370.69
"May 18, 2022 09:35 AM",365.96,368.84,363.12,365.67,16295,365.67,367.97,-2.3,-0.01,-0.63,1min,5,370.65
"May 18, 2022 09:36 AM",364.92,367.67,364.37,364.75,14590,364.75,365.67,-0.92,-0.0,-0.25,1min,6,370.62
"May 18, 2022 09:37 AM",365.98,369.0,364.05,367.65,17155,367.65,364.75,2.9,0.01,0.8,1min,7,370.58
"May 18, 2022 09:38 AM",367.56,369.97,367.49,368.76,32595,368.76,367.65,1.11,0.0,0.3,1min,8,370.55
"May 18, 2022 09:39 AM",369.86,369.86,360.96,361.37,39570,361.37,368.76,-7.39,-0.02,-2.0,1min,9,370.51
"May 18, 2022 09:40 AM",361.88,363.34,360.52,361.0,17197,361.0,361.37,-0.37,-0.0,-0.1,1min,10,370.48
"May 18, 2022 09:41 AM",360.02,361.78,359.0,359.0,33252,359.0,361.0,-2.0,-0.01,-0.55,1min,11,370.44
"May 18, 2022 09:42 AM",359.83,361.6,359.23,361.5,37686,361.5,359.0,2.5,0.01,0.7,1min,12,370.41
"May 18, 2022 09:43 AM",361.83,362.75,359.47,361.8,17530,361.8,361.5,0.3,0.0,0.08,1min,13,370.37
"May 18, 2022 09:44 AM",361.8,362.37,360.7,361.66,9075,361.66,361.8,-0.14,-0.0,-0.04,1min,14,370.34
"May 18, 2022 09:45 AM",362.0,364.5,361.6,363.43,14054,363.43,361.66,1.77,0.0,0.49,1min,15,370.3
"May 18, 2022 09:46 AM",363.15,364.0,360.97,361.86,18156,361.86,363.43,-1.57,-0.0,-0.43,1min,16,370.27
"May 18, 2022 09:47 AM",362.19,363.27,361.0,363.27,9189,363.27,361.86,1.4,0.0,0.39,1min,17,370.23
"May 18, 2022 09:48 AM",364.0,364.35,361.0,361.58,14363,361.58,363.27,-1.68,-0.0,-0.46,1min,18,370.2
"May 18, 2022 09:49 AM",361.83,361.9,359.79,361.55,12189,361.55,361.58,-0.04,-0.0,-0.01,1min,19,370.16
"May 18, 2022 09:50 AM",361.09,361.55,359.42,360.84,34171,360.84,361.55,-0.71,-0.0,-0.2,1min,20,370.13
"May 18, 2022 09:51 AM",360.08,364.0,359.41,362.42,38393,362.42,360.84,1.58,0.0,0.44,1min,21,370.09
"May 18, 2022 09:52 AM",361.82,364.78,361.08,363.24,11834,363.24,362.42,0.82,0.0,0.23,1min,22,370.06
"May 18, 2022 09:53 AM",362.46,367.34,362.46,365.65,13939,365.65,363.24,2.41,0.01,0.66,1min,23,370.02
"May 18, 2022 09:54 AM",365.81,365.81,364.0,364.78,5610,364.78,365.65,-0.88,-0.0,-0.24,1min,24,369.99
"May 18, 2022 09:55 AM",364.05,364.13,362.38,363.54,4679,363.54,364.78,-1.24,-0.0,-0.34,1min,25,369.95
"May 18, 2022 09:56 AM",362.58,362.58,360.73,360.73,10733,360.73,363.54,-2.8,-0.01,-0.77,1min,26,369.92
"May 18, 2022 09:57 AM",360.57,361.38,359.2,360.0,31616,360.0,360.73,-0.73,-0.0,-0.2,1min,27,369.88
"May 18, 2022 09:58 AM",360.18,362.49,359.01,361.82,18345,361.82,360.0,1.82,0.01,0.51,1min,28,369.85
"May 18, 2022 09:59 AM",361.66,362.1,360.76,360.86,4217,360.86,361.82,-0.96,-0.0,-0.26,1min,29,369.81
"May 18, 2022 10:00 AM",360.8,366.0,360.34,365.57,47338,365.57,360.86,4.71,0.01,1.3,1min,30,369.78
"May 18, 2022 10:01 AM",365.43,369.9,365.24,369.15,15768,369.15,365.57,3.58,0.01,0.98,1min,31,369.74
"May 18, 2022 10:02 AM",369.5,372.78,369.2,372.0,37834,372.0,369.15,2.85,0.01,0.77,1min,32,369.71
"May 18, 2022 10:03 AM",372.41,373.93,370.82,371.33,23154,371.33,372.0,-0.67,-0.0,-0.18,1min,33,369.67
"May 18, 2022 10:04 AM",371.3,372.55,370.31,371.77,21486,371.77,371.33,0.44,0.0,0.12,1min,34,369.64
"May 18, 2022 10:05 AM",371.92,378.38,371.92,378.38,46795,378.38,371.77,6.61,0.02,1.78,1min,35,369.6
"May 18, 2022 10:06 AM",378.33,379.67,376.54,379.45,106700,379.45,378.38,1.07,0.0,0.28,1min,36,369.57
"May 18, 2022 10:07 AM",379.51,379.73,375.3,375.85,32286,375.85,379.45,-3.6,-0.01,-0.95,1min,37,369.53
"May 18, 2022 10:08 AM",376.07,377.75,375.3,377.16,15206,377.16,375.85,1.31,0.0,0.35,1min,38,369.5
"May 18, 2022 10:09 AM",376.0,376.5,373.25,373.52,13545,373.52,377.16,-3.64,-0.01,-0.97,1min,39,369.46
"May 18, 2022 10:10 AM",373.07,374.99,373.0,373.99,17827,373.99,373.52,0.47,0.0,0.13,1min,40,369.43
"May 18, 2022 10:11 AM",373.95,374.53,370.51,372.66,18675,372.66,373.99,-1.33,-0.0,-0.35,1min,41,369.39
"May 18, 2022 10:12 AM",371.79,373.66,371.33,372.49,18297,372.49,372.66,-0.17,-0.0,-0.05,1min,42,369.36
"May 18, 2022 10:13 AM",371.32,373.74,371.32,373.52,11403,373.52,372.49,1.03,0.0,0.28,1min,43,369.32
"May 18, 2022 10:14 AM",373.61,374.94,372.73,372.8,11456,372.8,373.52,-0.72,-0.0,-0.19,1min,44,369.29
"May 18, 2022 10:15 AM",373.21,373.48,371.43,373.48,12228,373.48,372.8,0.68,0.0,0.18,1min,45,369.25
"May 18, 2022 10:16 AM",373.2,373.24,371.04,371.43,12766,371.43,373.48,-2.05,-0.01,-0.55,1min,46,369.22
"May 18, 2022 10:17 AM",371.0,371.64,369.86,370.44,13815,370.44,371.43,-0.99,-0.0,-0.27,1min,47,369.18
"May 18, 2022 10:18 AM",370.59,372.07,370.59,372.07,8621,372.07,370.44,1.63,0.0,0.44,1min,48,369.15
"May 18, 2022 10:19 AM",371.66,371.9,369.78,371.22,18857,371.22,372.07,-0.85,-0.0,-0.23,1min,49,369.11
"May 18, 2022 10:20 AM",371.22,373.7,370.12,373.54,15435,373.54,371.22,2.32,0.01,0.62,1min,50,369.08
"May 18, 2022 10:21 AM",373.0,373.57,372.35,372.87,4004,372.87,373.54,-0.67,-0.0,-0.18,1min,51,369.04
"May 18, 2022 10:22 AM",372.48,373.5,372.09,372.09,5578,372.09,372.87,-0.78,-0.0,-0.21,1min,52,369.01
"May 18, 2022 10:23 AM",372.25,372.35,369.77,370.0,17399,370.0,372.09,-2.09,-0.01,-0.56,1min,53,368.97
"May 18, 2022 10:24 AM",369.65,371.2,368.18,369.74,21902,369.74,370.0,-0.26,-0.0,-0.07,1min,54,368.94
"May 18, 2022 10:25 AM",370.83,372.7,370.83,371.98,12258,371.98,369.74,2.24,0.01,0.61,1min,55,368.9
"May 18, 2022 10:26 AM",372.99,373.63,372.89,372.98,6893,372.98,371.98,1.0,0.0,0.27,1min,56,368.87
"May 18, 2022 10:27 AM",373.12,374.62,371.31,374.62,19240,374.62,372.98,1.64,0.0,0.44,1min,57,368.83
"May 18, 2022 10:28 AM",374.18,374.99,373.34,373.9,10497,373.9,374.62,-0.72,-0.0,-0.19,1min,58,368.8
"May 18, 2022 10:29 AM",373.33,373.94,370.09,370.09,29180,370.09,373.9,-3.81,-0.01,-1.02,1min,59,368.76
"May 18, 2022 10:30 AM",370.0,371.38,369.0,370.83,12876,370.83,370.09,0.74,0.0,0.2,1min,60,368.73
"May 18, 2022 10:31 AM",370.5,370.88,369.07,370.04,4153,370.04,370.83,-0.79,-0.0,-0.21,1min,61,368.69
