Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
"April 19, 2022",577.5,614.0,576.0,605.63,2142500,605.63,,,,,1mo
"April 20, 2022",592.98,594.0,525.0,525.0,5118700,525.0,605.63,-80.63,-0.13,-13.31,1mo
"April 21, 2022",535.01,537.74,472.57,481.0,5935500,481.0,525.0,-44.0,-0.08,-8.38,1mo
"April 22, 2022",480.0,492.71,454.03,459.97,4486000,459.97,481.0,-21.03,-0.04,-4.37,1mo
"April 25, 2022",461.98,475.85,453.39,459.21,4006900,459.21,459.97,-0.76,-0.0,-0.17,1mo
"April 26, 2022",455.06,458.53,428.0,428.09,3741200,428.09,459.21,-31.12,-0.07,-6.78,1mo
"April 27, 2022",423.99,439.97,413.32,416.2,3191300,416.2,428.09,-11.89,-0.03,-2.78,1mo
"April 28, 2022",428.81,452.13,411.17,443.28,4185600,443.28,416.2,27.08,0.07,6.51,1mo
"April 29, 2022",422.0,463.38,421.49,426.82,3974600,426.82,443.28,-16.46,-0.04,-3.71,1mo
"May 02, 2022",421.15,454.14,421.15,452.98,3371900,452.98,426.82,26.16,0.06,6.13,1mo
"May 03, 2022",451.75,475.35,449.45,465.2,3736300,465.2,452.98,12.22,0.03,2.7,1mo
"May 04, 2022",457.66,487.99,439.1,485.49,4470800,485.49,465.2,20.29,0.04,4.36,1mo
"May 05, 2022",407.64,424.88,395.86,413.09,11360800,413.09,485.49,-72.4,-0.15,-14.91,1mo
"May 06, 2022",401.06,401.49,355.13,377.49,10265300,377.49,413.09,-35.6,-0.09,-8.62,1mo
"May 09, 2022",362.0,371.71,337.29,340.04,6412700,340.04,377.49,-37.45,-0.1,-9.92,1mo
"May 10, 2022",354.9,366.1,318.0,335.39,6086200,335.39,340.04,-4.65,-0.01,-1.37,1mo
"May 11, 2022",331.94,346.0,315.25,318.59,6328700,318.59,335.39,-16.8,-0.05,-5.01,1mo
"May 12, 2022",313.61,385.0,308.06,353.51,9427400,353.51,318.59,34.92,0.11,10.96,1mo
"May 13, 2022",372.18,408.63,372.18,402.48,6143000,402.48,353.51,48.97,0.14,13.85,1mo
"May 16, 2022",397.76,398.24,356.95,359.95,5413400,359.95,402.48,-42.53,-0.11,-10.57,1mo
"May 17, 2022",374.01,384.97,346.38,372.64,4719600,372.64,359.95,12.69,0.04,3.53,1mo
"May 18, 2022",363.06,379.73,355.02,360.62,4233700,360.62,372.64,-12.02,-0.03,-3.23,1mo
