Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2015-05-18,17.0,31.1,17.0,28.31,15145100,28.31,,,,,1wk
2015-05-25,29.8,30.81,26.48,27.2,2273200,27.2,28.31,-1.11,-0.04,-3.92,1wk
2015-06-01,27.2,27.5,25.51,27.39,1391100,27.39,27.2,0.19,0.01,0.7,1wk
2015-06-08,26.9,33.7,26.64,33.63,2199800,33.63,27.39,6.24,0.23,22.78,1wk
2015-06-15,33.97,42.13,32.55,35.52,6526900,35.52,33.63,1.89,0.06,5.62,1wk
2015-06-22,36.76,38.5,32.63,33.52,2205200,33.52,35.52,-2.0,-0.06,-5.63,1wk
2015-06-29,32.52,34.97,29.88,31.31,2104600,31.31,33.52,-2.21,-0.07,-6.59,1wk
2015-07-06,31.07,31.74,28.5,29.6,1214700,29.6,31.31,-1.71,-0.05,-5.46,1wk
2015-07-13,29.85,32.35,28.91,32.27,2490600,32.27,29.6,2.67,0.09,9.02,1wk
2015-07-20,32.37,34.75,31.36,33.57,1707600,33.57,32.27,1.3,0.04,4.03,1wk
2015-07-27,33.4,40.25,32.05,37.39,2263900,37.39,33.57,3.82,0.11,11.38,1wk
2015-08-03,37.49,41.11,34.25,35.16,2102900,35.16,37.39,-2.23,-0.06,-5.96,1wk
2015-08-10,35.3,36.49,32.87,34.56,1355700,34.56,35.16,-0.6,-0.02,-1.71,1wk
2015-08-17,34.77,35.0,27.31,27.77,1467800,27.77,34.56,-6.79,-0.2,-19.65,1wk
2015-08-24,25.51,29.78,22.7,28.0,1526700,28.0,27.77,0.23,0.01,0.83,1wk
2015-08-31,28.14,28.77,26.06,26.81,689200,26.81,28.0,-1.19,-0.04,-4.25,1wk
2015-09-07,27.03,28.51,25.55,26.36,754300,26.36,26.81,-0.45,-0.02,-1.68,1wk
2015-09-14,26.27,37.95,26.01,35.66,3504100,35.66,26.36,9.3,0.35,35.28,1wk
2015-09-21,35.7,37.0,32.09,33.91,1666000,33.91,35.66,-1.75,-0.05,-4.91,1wk
2015-09-28,33.64,36.1,32.41,35.81,1210700,35.81,33.91,1.9,0.06,5.6,1wk
2015-10-05,36.05,39.29,35.01,37.02,1817600,37.02,35.81,1.21,0.03,3.38,1wk
2015-10-12,37.04,37.34,30.5,34.33,1836900,34.33,37.02,-2.69,-0.07,-7.27,1wk
2015-10-19,34.28,34.89,31.09,31.66,1163000,31.66,34.33,-2.67,-0.08,-7.78,1wk
2015-10-26,31.66,32.49,29.72,32.22,945500,32.22,31.66,0.56,0.02,1.77,1wk
2015-11-02,32.36,33.93,29.63,31.54,2785100,31.54,32.22,-0.68,-0.02,-2.11,1wk
2015-11-09,31.63,31.64,27.58,28.33,1864100,28.33,31.54,-3.21,-0.1,-10.18,1wk
2015-11-16,28.26,29.72,25.53,28.23,7358600,28.23,28.33,-0.1,-0.0,-0.35,1wk
2015-11-23,28.15,29.0,26.26,26.71,2827000,26.71,28.23,-1.52,-0.05,-5.38,1wk
2015-11-30,26.9,27.4,25.8,27.12,2571300,27.12,26.71,0.41,0.02,1.54,1wk
2015-12-07,26.63,27.15,24.42,24.76,2783700,24.76,27.12,-2.36,-0.09,-8.7,1wk
2015-12-14,24.63,26.8,24.16,25.31,2153700,25.31,24.76,0.55,0.02,2.22,1wk
2015-12-21,25.5,25.74,24.06,25.34,702400,25.34,25.31,0.03,0.0,0.12,1wk
2015-12-28,25.27,26.56,24.76,25.8,774900,25.8,25.34,0.46,0.02,1.82,1wk
2016-01-04,25.42,26.5,24.18,24.93,1830000,24.93,25.8,-0.87,-0.03,-3.37,1wk
2016-01-11,24.95,25.03,18.48,19.89,2909700,19.89,24.93,-5.04,-0.2,-20.22,1wk
2016-01-18,21.43,23.71,18.61,23.07,3270900,23.07,19.89,3.18,0.16,15.99,1wk
2016-01-25,23.13,23.68,22.0,23.22,1656300,23.22,23.07,0.15,0.01,0.65,1wk
2016-02-01,23.26,23.79,21.27,21.87,3223400,21.87,23.22,-1.35,-0.06,-5.81,1wk
2016-02-08,21.52,21.75,18.58,19.33,1884400,19.33,21.87,-2.54,-0.12,-11.61,1wk
2016-02-15,20.54,24.81,19.82,20.57,6773600,20.57,19.33,1.24,0.06,6.41,1wk
2016-02-22,20.8,22.12,19.51,22.0,5419000,22.0,20.57,1.43,0.07,6.95,1wk
2016-02-29,22.03,25.71,21.9,25.16,4924300,25.16,22.0,3.16,0.14,14.36,1wk
2016-03-07,25.0,26.99,24.77,26.7,4285300,26.7,25.16,1.54,0.06,6.12,1wk
2016-03-14,26.93,28.78,25.57,28.49,2902400,28.49,26.7,1.79,0.07,6.7,1wk
2016-03-21,28.48,28.63,26.09,26.99,2140300,26.99,28.49,-1.5,-0.05,-5.27,1wk
2016-03-28,27.68,28.67,26.88,28.45,2675400,28.45,26.99,1.46,0.05,5.41,1wk
2016-04-04,29.02,30.0,28.64,29.55,3435900,29.55,28.45,1.1,0.04,3.87,1wk
2016-04-11,29.94,31.09,29.28,30.97,2389700,30.97,29.55,1.42,0.05,4.81,1wk
2016-04-18,31.07,32.39,30.23,31.81,2033800,31.81,30.97,0.84,0.03,2.71,1wk
2016-04-25,31.9,32.28,30.8,31.85,1430900,31.85,31.81,0.04,0.0,0.13,1wk
