Date,Open,High,Low,Close,Volume,Adj Close,prevClose,change,pchange,finalpchange,interval
2017-03-02,24.0,26.05,23.5,24.48,217048900,24.48,,,,,1d
2017-03-03,26.39,29.44,26.06,27.09,148166400,27.09,24.48,2.61,0.11,10.66,1d
2017-03-06,28.17,28.25,23.77,23.77,72903000,23.77,27.09,-3.32,-0.12,-12.26,1d
2017-03-07,22.21,22.5,20.64,21.44,71857800,21.44,23.77,-2.33,-0.1,-9.8,1d
2017-03-08,22.03,23.43,21.31,22.81,49819100,22.81,21.44,1.37,0.06,6.39,1d
2017-03-09,23.17,23.68,22.51,22.71,25803200,22.71,22.81,-0.1,-0.0,-0.44,1d
2017-03-10,23.36,23.4,22.0,22.07,18337600,22.07,22.71,-0.64,-0.03,-2.82,1d
2017-03-13,22.05,22.15,20.96,21.09,20605900,21.09,22.07,-0.98,-0.04,-4.44,1d
2017-03-14,20.9,20.98,20.15,20.58,20033200,20.58,21.09,-0.51,-0.02,-2.42,1d
2017-03-15,20.08,21.4,20.05,20.77,24985900,20.77,20.58,0.19,0.01,0.92,1d
2017-03-16,20.65,20.69,19.75,19.89,25630200,19.89,20.77,-0.88,-0.04,-4.24,1d
2017-03-17,19.8,19.85,18.9,19.54,34252000,19.54,19.89,-0.35,-0.02,-1.76,1d
2017-03-20,19.94,20.43,19.72,19.93,21016000,19.93,19.54,0.39,0.02,2.0,1d
2017-03-21,20.04,20.54,19.55,20.38,19801500,20.38,19.93,0.45,0.02,2.26,1d
2017-03-22,20.65,22.25,20.52,21.82,47599300,21.82,20.38,1.44,0.07,7.07,1d
2017-03-23,22.69,23.3,22.22,23.13,40645400,23.13,21.82,1.31,0.06,6.0,1d
2017-03-24,23.05,23.1,22.34,22.74,17263200,22.74,23.13,-0.39,-0.02,-1.69,1d
2017-03-27,23.09,24.4,22.6,23.83,48398200,23.83,22.74,1.09,0.05,4.79,1d
2017-03-28,23.31,23.36,22.17,22.21,49889900,22.21,23.83,-1.62,-0.07,-6.8,1d
2017-03-29,21.77,22.71,21.33,22.55,31475600,22.55,22.21,0.34,0.02,1.53,1d
2017-03-30,22.55,22.85,22.0,22.23,17094300,22.23,22.55,-0.32,-0.01,-1.42,1d
2017-03-31,22.05,22.62,22.0,22.53,15087100,22.53,22.23,0.3,0.01,1.35,1d
2017-04-03,22.7,22.9,22.11,22.35,12521300,22.35,22.53,-0.18,-0.01,-0.8,1d
2017-04-04,22.21,22.67,21.88,22.14,16313500,22.14,22.35,-0.21,-0.01,-0.94,1d
2017-04-05,22.15,22.22,20.67,20.7,26099300,20.7,22.14,-1.44,-0.07,-6.5,1d
2017-04-06,20.76,20.76,20.03,20.57,21933900,20.57,20.7,-0.13,-0.01,-0.63,1d
2017-04-07,20.68,21.08,20.6,20.82,10580900,20.82,20.57,0.25,0.01,1.22,1d
2017-04-10,21.09,21.27,20.7,20.97,8629800,20.97,20.82,0.15,0.01,0.72,1d
2017-04-11,21.01,21.2,20.34,20.7,13310700,20.7,20.97,-0.27,-0.01,-1.29,1d
2017-04-12,20.7,20.83,20.18,20.22,9362600,20.22,20.7,-0.48,-0.02,-2.32,1d
2017-04-13,20.2,20.37,19.81,20.19,13600400,20.19,20.22,-0.03,-0.0,-0.15,1d
2017-04-17,20.09,20.21,19.8,19.94,11714700,19.94,20.19,-0.25,-0.01,-1.24,1d
2017-04-18,19.83,20.89,19.73,20.55,15974700,20.55,19.94,0.61,0.03,3.06,1d
2017-04-19,20.5,20.91,20.41,20.62,8737800,20.62,20.55,0.07,0.0,0.34,1d
2017-04-20,20.63,21.26,20.62,21.15,10025600,21.15,20.62,0.53,0.03,2.57,1d
2017-04-21,21.37,21.49,20.71,20.93,7724300,20.93,21.15,-0.22,-0.01,-1.04,1d
2017-04-24,21.2,21.3,21.01,21.2,5928200,21.2,20.93,0.27,0.01,1.29,1d
2017-04-25,21.08,21.4,20.56,21.34,9588000,21.34,21.2,0.14,0.01,0.66,1d
2017-04-26,21.25,21.65,21.08,21.58,10141300,21.58,21.34,0.24,0.01,1.12,1d
2017-04-27,21.58,22.12,21.58,22.01,10764400,22.01,21.58,0.43,0.02,1.99,1d
2017-04-28,22.05,22.59,22.01,22.55,9031600,22.55,22.01,0.54,0.02,2.45,1d
